QUARTER,TIME_REMAINING,PHOENIX_ACTION,ORLANDO_ACTION,PHOENIX_SCORE,ORLANDO_SCORE
1,11:41.0,,A. Gordon makes 2-pt jump shot from 19 ft,0,2
1,11:16.0,M. Bridges misses 2-pt jump shot from 17 ft,,0,2
1,11:09.0,Offensive rebound by M. Bridges,,0,2
1,11:09.0,M. Bridges misses 2-pt layup from 1 ft,,0,2
1,11:08.0,,Defensive rebound by N. Vučević,0,2
1,11:00.0,,J. Isaac misses 2-pt layup from 1 ft,0,2
1,10:54.0,,Offensive rebound by N. Vučević,0,2
1,10:54.0,,N. Vučević makes 2-pt layup at rim,0,4
1,10:44.0,D. Booker makes 2-pt jump shot from 13 ft (assist by D. Ayton),,2,4
1,10:27.0,,Turnover by E. Fournier (bad pass; steal by T. Warren),2,4
1,10:23.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,4,4
1,10:08.0,,Personal foul by T. Warren (drawn by A. Gordon),4,4
1,10:03.0,,Shooting foul by D. Booker (drawn by J. Isaac),4,4
1,10:03.0,,J. Isaac misses free throw 1 of 2,4,4
1,10:03.0,,Offensive rebound by Team,4,4
1,10:03.0,,J. Isaac makes free throw 2 of 2,4,5
1,9:53.0,Def 3 sec tech foul by Team,,4,5
1,9:53.0,D. Booker misses technical free throw,,4,5
1,9:53.0,Offensive rebound by Team,,4,5
1,9:45.0,D. Booker misses 2-pt jump shot from 17 ft,,4,5
1,9:43.0,,Defensive rebound by A. Gordon,4,5
1,9:35.0,,Turnover by N. Vučević (lost ball; steal by M. Bridges),4,5
1,9:28.0,T. Warren makes 3-pt jump shot from 25 ft (assist by D. Melton),,7,5
1,9:13.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by D. Augustin),7,8
1,8:55.0,Turnover by D. Booker (bad pass; steal by N. Vučević),,7,8
1,8:48.0,,J. Isaac makes 2-pt layup from 1 ft,7,10
1,8:30.0,Shooting foul by J. Isaac (drawn by T. Warren),,7,10
1,8:30.0,T. Warren makes free throw 1 of 2,,8,10
1,8:30.0,T. Warren makes free throw 2 of 2,,9,10
1,8:09.0,,N. Vučević misses 2-pt jump shot from 15 ft,9,10
1,8:09.0,,Offensive rebound by J. Isaac,9,10
1,8:05.0,,J. Isaac misses 2-pt layup at rim,9,10
1,8:04.0,Defensive rebound by D. Melton,,9,10
1,8:00.0,M. Bridges misses 3-pt jump shot from 23 ft,,9,10
1,7:58.0,,Defensive rebound by E. Fournier,9,10
1,7:53.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by E. Fournier),9,12
1,7:39.0,Shooting foul by E. Fournier (drawn by D. Booker),,9,12
1,7:39.0,D. Booker makes free throw 1 of 2,,10,12
1,7:39.0,D. Booker makes free throw 2 of 2,,11,12
1,7:26.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by N. Vučević),11,15
1,7:16.0,D. Booker misses 2-pt jump shot from 16 ft,,11,15
1,7:13.0,,Defensive rebound by A. Gordon,11,15
1,7:04.0,,E. Fournier makes 2-pt layup from 1 ft,11,17
1,7:04.0,Phoenix full timeout,,11,17
1,6:52.0,Turnover by D. Booker (bad pass),,11,17
1,6:34.0,,E. Fournier misses 3-pt jump shot from 26 ft,11,17
1,6:31.0,Defensive rebound by D. Ayton,,11,17
1,6:24.0,D. Ayton misses 2-pt jump shot from 21 ft,,11,17
1,6:22.0,Offensive rebound by D. Ayton,,11,17
1,6:16.0,T. Warren misses 2-pt jump shot from 20 ft,,11,17
1,6:14.0,,Defensive rebound by N. Vučević,11,17
1,6:05.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),11,20
1,5:47.0,D. Melton makes 2-pt jump shot from 6 ft (assist by D. Booker),,13,20
1,5:34.0,,Personal foul by D. Ayton (drawn by A. Gordon),13,20
1,5:34.0,J. Jackson enters the game for M. Bridges,,13,20
1,5:34.0,,J. Simmons enters the game for A. Gordon,13,20
1,5:27.0,,D. Augustin makes 3-pt jump shot from 24 ft (assist by E. Fournier),13,23
1,5:05.0,D. Melton misses 2-pt jump shot from 18 ft,,13,23
1,5:03.0,Offensive rebound by D. Ayton,,13,23
1,5:02.0,D. Ayton misses 2-pt hook shot from 7 ft,,13,23
1,5:00.0,,Defensive rebound by J. Isaac,13,23
1,4:53.0,,Turnover by D. Augustin (bad pass; steal by D. Booker),13,23
1,4:48.0,J. Jackson misses 2-pt jump shot from 5 ft,,13,23
1,4:47.0,Offensive rebound by Team,,13,23
1,4:47.0,,J. Grant enters the game for D. Augustin,13,23
1,4:38.0,D. Melton makes 2-pt layup from 7 ft,,15,23
1,4:23.0,,N. Vučević misses 2-pt layup from 6 ft (block by D. Ayton),15,23
1,4:23.0,,Offensive rebound by Team,15,23
1,4:21.0,,Offensive foul by J. Grant (drawn by D. Booker),15,23
1,4:21.0,,Turnover by J. Grant (offensive foul),15,23
1,4:03.0,D. Booker makes 3-pt jump shot from 25 ft,,18,23
1,3:49.0,,E. Fournier makes 3-pt jump shot from 26 ft,18,26
1,3:33.0,Turnover by T. Warren (traveling),,18,26
1,3:33.0,,T. Ross enters the game for E. Fournier,18,26
1,3:23.0,,Turnover by N. Vučević (traveling),18,26
1,3:17.0,D. Booker makes 2-pt jump shot from 19 ft,,20,26
1,3:03.0,,Turnover by N. Vučević (bad pass),20,26
1,3:03.0,,M. Bamba enters the game for N. Vučević,20,26
1,2:44.0,Turnover by D. Booker (lost ball; steal by J. Simmons),,20,26
1,2:25.0,,J. Simmons makes 2-pt jump shot from 8 ft,20,28
1,2:15.0,Turnover by D. Melton (step out of bounds),,20,28
1,2:15.0,,Orlando full timeout,20,28
1,2:15.0,R. Holmes enters the game for D. Ayton,,20,28
1,2:15.0,E. Okobo enters the game for D. Booker,,20,28
1,2:15.0,K. Oubre enters the game for D. Melton,,20,28
1,2:15.0,,A. Gordon enters the game for J. Isaac,20,28
1,1:55.0,,M. Bamba misses 3-pt jump shot from 26 ft,20,28
1,1:51.0,Defensive rebound by R. Holmes,,20,28
1,1:29.0,K. Oubre misses 3-pt jump shot from 27 ft,,20,28
1,1:26.0,,Defensive rebound by A. Gordon,20,28
1,1:13.0,,T. Ross misses 3-pt jump shot from 25 ft,20,28
1,1:10.0,,Offensive rebound by J. Grant,20,28
1,0:59.0,,A. Gordon makes 2-pt jump shot from 6 ft,20,30
1,0:45.0,J. Jackson misses 2-pt jump shot from 7 ft,,20,30
1,0:42.0,,Defensive rebound by J. Grant,20,30
1,0:40.0,,J. Simmons makes 2-pt layup from 1 ft (assist by J. Grant),20,32
1,0:29.0,E. Okobo makes 3-pt jump shot from 27 ft,,23,32
1,0:08.0,,J. Simmons misses 2-pt jump shot from 8 ft,23,32
1,0:05.0,Defensive rebound by T. Warren,,23,32
1,0:00.0,T. Warren makes 3-pt jump shot from 29 ft,,26,32
2,11:48.0,Shooting foul by M. Bamba (drawn by K. Oubre),,26,32
2,11:48.0,K. Oubre makes free throw 1 of 2,,27,32
2,11:48.0,K. Oubre makes free throw 2 of 2,,28,32
2,11:37.0,,Orlando full timeout,28,32
