QUARTER,TIME_REMAINING,DALLAS_ACTION,MEMPHIS_ACTION,DALLAS_SCORE,MEMPHIS_SCORE
1,11:42.0,,M. Conley misses 3-pt jump shot from 24 ft,0,0
1,11:38.0,Defensive rebound by D. Smith,,0,0
1,11:32.0,D. Smith misses 2-pt jump shot from 19 ft,,0,0
1,11:28.0,Offensive rebound by L. Dončić,,0,0
1,11:21.0,L. Dončić misses 3-pt jump shot from 26 ft,,0,0
1,11:17.0,,Defensive rebound by M. Gasol,0,0
1,11:08.0,,Turnover by J. Jackson (lost ball; steal by D. Smith),0,0
1,11:02.0,D. Smith makes 2-pt layup from 1 ft (assist by L. Dončić),,2,0
1,10:39.0,,J. Jackson misses 3-pt jump shot from 25 ft,2,0
1,10:36.0,Defensive rebound by D. Finney-Smith,,2,0
1,10:25.0,L. Dončić misses 2-pt jump shot from 15 ft,,2,0
1,10:21.0,,Defensive rebound by M. Gasol,2,0
1,10:14.0,,M. Gasol misses 3-pt jump shot from 26 ft,2,0
1,10:12.0,Defensive rebound by D. Jordan,,2,0
1,9:58.0,Def 3 sec tech foul by Team,,2,0
1,9:58.0,H. Barnes makes technical free throw,,3,0
1,9:56.0,Personal foul by G. Temple (drawn by L. Dončić),,3,0
1,9:45.0,D. Finney-Smith makes 3-pt jump shot from 26 ft,,6,0
1,9:27.0,,J. Jackson makes 2-pt hook shot from 9 ft (assist by M. Gasol),6,2
1,9:18.0,D. Smith misses 3-pt jump shot from 26 ft,,6,2
1,9:14.0,,Defensive rebound by M. Gasol,6,2
1,9:07.0,,K. Anderson makes 2-pt jump shot from 10 ft (assist by G. Temple),6,4
1,8:52.0,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by D. Jordan),,9,4
1,8:34.0,,Shooting foul by D. Finney-Smith (drawn by M. Gasol),9,4
1,8:34.0,,M. Gasol makes free throw 1 of 2,9,5
1,8:34.0,,M. Gasol makes free throw 2 of 2,9,6
1,8:14.0,L. Dončić misses 2-pt jump shot from 12 ft,,9,6
1,8:10.0,,Defensive rebound by M. Gasol,9,6
1,8:01.0,,J. Jackson misses 2-pt hook shot from 10 ft,9,6
1,7:58.0,Defensive rebound by D. Jordan,,9,6
1,7:51.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,9,6
1,7:48.0,,Defensive rebound by M. Gasol,9,6
1,7:34.0,,J. Jackson misses 3-pt jump shot from 24 ft,9,6
