QUARTER,TIME_REMAINING,MIAMI_ACTION,DALLAS_ACTION,MIAMI_SCORE,DALLAS_SCORE
1,11:48.0,J. Richardson makes 2-pt layup from 2 ft (assist by K. Olynyk),,2,0
1,11:48.0,,Violation by Team (def goaltending),2,0
1,11:35.0,,Turnover by L. Dončić (bad pass; steal by H. Whiteside),2,0
1,11:19.0,D. Waiters misses 2-pt layup from 2 ft,,2,0
1,11:16.0,,Defensive rebound by L. Dončić,2,0
1,11:13.0,,M. Kleber makes 3-pt jump shot from 26 ft (assist by L. Dončić),2,3
1,10:55.0,H. Whiteside misses 2-pt hook shot from 5 ft,,2,3
1,10:51.0,,Defensive rebound by M. Kleber,2,3
1,10:46.0,,M. Kleber misses 3-pt jump shot from 25 ft,2,3
1,10:43.0,Defensive rebound by K. Olynyk,,2,3
1,10:36.0,Personal foul by L. Dončić (drawn by K. Olynyk),,2,3
1,10:32.0,J. Richardson makes 2-pt jump shot from 16 ft (assist by J. Winslow),,4,3
1,10:20.0,,D. Finney-Smith misses 2-pt layup from 4 ft (block by J. Richardson),4,3
1,10:17.0,Defensive rebound by J. Richardson,,4,3
1,10:14.0,J. Richardson misses 3-pt jump shot from 26 ft,,4,3
1,10:10.0,,Defensive rebound by D. Finney-Smith,4,3
1,9:59.0,,T. Hardaway misses 3-pt jump shot from 25 ft,4,3
1,9:55.0,Defensive rebound by H. Whiteside,,4,3
1,9:42.0,Turnover by H. Whiteside (3 sec),,4,3
1,9:30.0,,S. Mejri makes 2-pt dunk from 1 ft (assist by L. Dončić),4,5
1,9:07.0,D. Waiters makes 3-pt jump shot from 25 ft,,7,5
1,8:52.0,,Personal foul by J. Winslow (drawn by L. Dončić),7,5
1,8:45.0,,L. Dončić misses 3-pt jump shot from 29 ft,7,5
1,8:41.0,Defensive rebound by J. Winslow,,7,5
1,8:35.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Winslow),,9,5
1,8:20.0,,L. Dončić misses 2-pt layup from 1 ft,9,5
1,8:18.0,Defensive rebound by K. Olynyk,,9,5
1,8:12.0,Personal foul by M. Kleber (drawn by H. Whiteside),,9,5
