QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SAN ANTONIO_ACTION,MEMPHIS_SCORE,SAN ANTONIO_SCORE
1,11:40.0,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Conley),,2,0
1,11:18.0,,B. Forbes misses 3-pt jump shot from 26 ft,2,0
1,11:15.0,Defensive rebound by M. Gasol,,2,0
1,11:09.0,M. Gasol misses 3-pt jump shot from 25 ft,,2,0
1,11:05.0,,Defensive rebound by B. Forbes,2,0
1,10:53.0,,L. Aldridge misses 2-pt jump shot from 16 ft,2,0
1,10:49.0,,Offensive rebound by R. Gay,2,0
1,10:49.0,,R. Gay makes 2-pt layup from 1 ft,2,2
1,10:25.0,G. Temple misses 2-pt jump shot from 20 ft,,2,2
1,10:21.0,,Defensive rebound by B. Forbes,2,2
1,10:14.0,,D. DeRozan makes 2-pt jump shot from 16 ft,2,4
1,9:57.0,Shooting foul by D. Cunningham (drawn by J. Jackson),,2,4
1,9:57.0,J. Jackson misses free throw 1 of 2,,2,4
1,9:57.0,Offensive rebound by Team,,2,4
1,9:57.0,J. Jackson makes free throw 2 of 2,,3,4
1,9:35.0,,Shooting foul by J. Jackson (drawn by L. Aldridge),3,4
1,9:35.0,,L. Aldridge makes free throw 1 of 2,3,5
1,9:35.0,,L. Aldridge makes free throw 2 of 2,3,6
1,9:08.0,G. Temple makes 2-pt jump shot from 4 ft,,5,6
1,8:58.0,,L. Aldridge misses 2-pt jump shot from 19 ft,5,6
1,8:56.0,Defensive rebound by K. Anderson,,5,6
1,8:44.0,M. Conley makes 3-pt jump shot from 26 ft,,8,6
1,8:23.0,,D. Cunningham makes 3-pt jump shot from 25 ft (assist by L. Aldridge),8,9
1,8:08.0,M. Conley makes 3-pt jump shot from 25 ft,,11,9
1,7:58.0,,D. DeRozan misses 2-pt jump shot from 8 ft,11,9
1,7:52.0,Defensive rebound by K. Anderson,,11,9
1,7:50.0,Personal foul by D. Cunningham (drawn by M. Conley),,11,9
1,7:50.0,,D. Bertāns enters the game for D. Cunningham,11,9
1,7:42.0,G. Temple makes 2-pt jump shot from 17 ft (assist by M. Conley),,13,9
1,7:27.0,,B. Forbes misses 3-pt jump shot from 25 ft,13,9
1,7:25.0,Defensive rebound by K. Anderson,,13,9
1,7:07.0,M. Gasol misses 2-pt jump shot from 13 ft,,13,9
1,7:04.0,,Defensive rebound by R. Gay,13,9
1,7:01.0,,Personal foul by M. Gasol (drawn by L. Aldridge),13,9
1,6:50.0,,B. Forbes misses 2-pt jump shot from 7 ft,13,9
1,6:48.0,Defensive rebound by M. Conley,,13,9
1,6:35.0,K. Anderson makes 3-pt jump shot from 24 ft (assist by G. Temple),,16,9
1,6:32.0,,San Antonio full timeout,16,9
1,6:32.0,J. Green enters the game for J. Jackson,,16,9
1,6:11.0,,Shooting foul by M. Gasol (drawn by L. Aldridge),16,9
1,6:11.0,,L. Aldridge misses free throw 1 of 2,16,9
1,6:11.0,,Offensive rebound by Team,16,9
1,6:11.0,,L. Aldridge makes free throw 2 of 2,16,10
1,5:54.0,M. Gasol makes 2-pt layup from 4 ft (assist by M. Conley),,18,10
1,5:42.0,,D. Bertāns makes 2-pt jump shot from 19 ft (assist by D. DeRozan),18,12
1,5:22.0,M. Conley makes 2-pt jump shot from 12 ft,,20,12
1,4:58.0,,R. Gay misses 2-pt layup from 6 ft (block by K. Anderson),20,12
1,4:55.0,Defensive rebound by G. Temple,,20,12
1,4:50.0,J. Green makes 2-pt hook shot from 3 ft (assist by M. Conley),,22,12
1,4:34.0,,D. DeRozan makes 2-pt layup from 1 ft,22,14
1,4:25.0,Personal foul by B. Forbes (drawn by M. Conley),,22,14
1,4:25.0,J. Jackson enters the game for M. Gasol,,22,14
1,4:25.0,W. Selden enters the game for G. Temple,,22,14
1,4:25.0,,P. Mills enters the game for L. Aldridge,22,14
1,4:25.0,,J. Poeltl enters the game for B. Forbes,22,14
1,4:16.0,J. Jackson misses 2-pt jump shot from 19 ft,,22,14
1,4:12.0,,Defensive rebound by D. Bertāns,22,14
1,3:58.0,,Shooting foul by K. Anderson (drawn by R. Gay),22,14
1,3:58.0,,R. Gay makes free throw 1 of 2,22,15
1,3:58.0,,R. Gay makes free throw 2 of 2,22,16
1,3:44.0,M. Conley misses 3-pt jump shot from 26 ft,,22,16
1,3:42.0,,Defensive rebound by D. Bertāns,22,16
1,3:38.0,,Personal foul by J. Green (drawn by D. DeRozan),22,16
1,3:38.0,,D. DeRozan makes free throw 1 of 2,22,17
1,3:38.0,S. Mack enters the game for M. Conley,,22,17
1,3:38.0,,L. Aldridge enters the game for R. Gay,22,17
1,3:38.0,,D. DeRozan makes free throw 2 of 2,22,18
1,3:28.0,J. Green makes 3-pt jump shot from 25 ft (assist by J. Jackson),,25,18
1,3:08.0,,D. DeRozan misses 2-pt jump shot from 22 ft,25,18
