QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
1,11:38.0,,T. Young makes 3-pt jump shot from 23 ft (assist by W. Matthews),0,3
1,11:14.0,R. Lopez misses 2-pt layup from 2 ft,,0,3
1,11:13.0,,Defensive rebound by M. Turner,0,3
1,10:59.0,,Turnover by D. Collison (bad pass; steal by O. Porter),0,3
1,10:57.0,Turnover by O. Porter (lost ball; steal by D. Collison),,0,3
1,10:50.0,,T. Young misses 3-pt jump shot from 24 ft,0,3
1,10:47.0,Defensive rebound by K. Dunn,,0,3
1,10:43.0,O. Porter misses 3-pt jump shot from 24 ft,,0,3
1,10:40.0,,Defensive rebound by T. Young,0,3
1,10:32.0,,Shooting foul by Z. LaVine (drawn by B. Bogdanović),0,3
1,10:32.0,,B. Bogdanović makes free throw 1 of 2,0,4
1,10:32.0,,B. Bogdanović misses free throw 2 of 2,0,4
1,10:31.0,Defensive rebound by R. Lopez,,0,4
1,10:10.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by Z. LaVine),,2,4
1,9:58.0,,W. Matthews misses 3-pt jump shot from 24 ft,2,4
1,9:53.0,Defensive rebound by O. Porter,,2,4
1,9:46.0,O. Porter misses 2-pt jump shot from 17 ft,,2,4
1,9:43.0,,Defensive rebound by T. Young,2,4
1,9:31.0,,D. Collison makes 2-pt jump shot from 14 ft,2,6
1,9:07.0,K. Dunn misses 3-pt jump shot from 27 ft,,2,6
1,9:04.0,,Defensive rebound by T. Young,2,6
1,8:55.0,,M. Turner misses 2-pt jump shot from 17 ft,2,6
1,8:53.0,Defensive rebound by Z. LaVine,,2,6
1,8:47.0,L. Markkanen makes 3-pt jump shot from 31 ft (assist by Z. LaVine),,5,6
1,8:27.0,,T. Young misses 2-pt layup at rim (block by R. Lopez),5,6
1,8:23.0,Defensive rebound by R. Lopez,,5,6
1,8:15.0,K. Dunn misses 2-pt jump shot from 20 ft,,5,6
1,8:11.0,,Defensive rebound by B. Bogdanović,5,6
1,8:05.0,,D. Collison makes 2-pt jump shot from 21 ft (assist by T. Young),5,8
1,7:50.0,Turnover by Z. LaVine (3 sec),,5,8
1,7:33.0,,D. Collison makes 3-pt jump shot from 27 ft,5,11
