QUARTER,TIME_REMAINING,WASHINGTON_ACTION,GOLDEN STATE_ACTION,WASHINGTON_SCORE,GOLDEN STATE_SCORE
1,11:42.0,,K. Durant makes 2-pt jump shot from 12 ft (assist by D. Green),0,2
1,11:21.0,O. Porter makes 2-pt jump shot from 13 ft (assist by J. Smith),,2,2
1,11:14.0,,Turnover by D. Green (bad pass; steal by O. Porter),2,2
1,11:08.0,J. Wall misses 3-pt jump shot from 26 ft,,2,2
1,11:06.0,,Defensive rebound by S. Curry,2,2
1,11:01.0,,Shooting foul by J. Smith (drawn by D. Jones),2,2
1,11:01.0,,D. Jones misses free throw 1 of 2,2,2
1,11:01.0,,Offensive rebound by Team,2,2
1,11:01.0,,D. Jones makes free throw 2 of 2,2,3
1,10:54.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,4,3
1,10:42.0,,D. Green makes 2-pt layup from 2 ft (assist by K. Durant),4,5
1,10:32.0,J. Smith misses 2-pt jump shot from 18 ft,,4,5
1,10:31.0,,Defensive rebound by K. Durant,4,5
1,10:20.0,,K. Thompson misses 2-pt jump shot from 22 ft,4,5
1,10:19.0,Defensive rebound by J. Wall,,4,5
1,10:09.0,J. Smith misses 2-pt jump shot from 22 ft (block by K. Durant),,4,5
1,10:07.0,Offensive rebound by J. Smith,,4,5
1,10:02.0,J. Wall misses 3-pt jump shot from 27 ft,,4,5
1,10:00.0,,Defensive rebound by D. Green,4,5
1,9:56.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),4,7
1,9:43.0,O. Porter misses 3-pt jump shot from 26 ft,,4,7
1,9:41.0,Offensive rebound by J. Smith,,4,7
1,9:40.0,O. Porter makes 2-pt layup from 2 ft (assist by J. Smith),,6,7
1,9:37.0,,Turnover by D. Green (bad pass; steal by B. Beal),6,7
1,9:35.0,B. Beal makes 2-pt jump shot from 11 ft,,8,7
1,9:17.0,,S. Curry makes 3-pt jump shot from 25 ft,8,10
1,9:08.0,M. Morris makes 2-pt jump shot from 13 ft (assist by B. Beal),,10,10
1,9:00.0,,Personal foul by O. Porter (drawn by K. Thompson),10,10
1,9:00.0,K. Oubre enters the game for B. Beal,,10,10
1,8:51.0,,K. Thompson misses 2-pt jump shot from 17 ft,10,10
1,8:50.0,,Offensive rebound by D. Jones,10,10
1,8:43.0,,K. Durant makes 2-pt jump shot from 13 ft (assist by S. Curry),10,12
1,8:27.0,M. Morris misses 3-pt jump shot from 26 ft,,10,12
1,8:25.0,,Defensive rebound by K. Durant,10,12
1,8:21.0,,K. Thompson misses 3-pt jump shot from 26 ft,10,12
1,8:19.0,Defensive rebound by M. Morris,,10,12
1,8:07.0,J. Smith makes 2-pt jump shot from 18 ft (assist by J. Wall),,12,12
1,7:53.0,,S. Curry makes 2-pt layup from 1 ft (assist by D. Jones),12,14
1,7:38.0,J. Wall makes 2-pt layup from 10 ft,,14,14
1,7:31.0,,Personal foul by M. Morris (drawn by D. Jones),14,14
1,7:27.0,,Shooting foul by K. Oubre (drawn by D. Jones),14,14
1,7:27.0,,D. Jones makes free throw 1 of 2,14,15
1,7:27.0,,D. Jones makes free throw 2 of 2,14,16
1,7:17.0,Turnover by J. Wall (bad pass; steal by K. Durant),,14,16
1,7:14.0,,Shooting foul by O. Porter (drawn by K. Thompson),14,16
1,7:14.0,,K. Thompson makes free throw 1 of 2,14,17
1,7:14.0,A. Rivers enters the game for O. Porter,,14,17
1,7:14.0,,K. Thompson makes free throw 2 of 2,14,18
1,7:08.0,Personal foul by D. Green (drawn by M. Morris),,14,18
1,6:59.0,K. Oubre misses 3-pt jump shot from 25 ft,,14,18
1,6:57.0,,Defensive rebound by D. Green,14,18
1,6:51.0,,K. Durant makes 2-pt jump shot from 14 ft (assist by D. Green),14,20
1,6:48.0,Washington full timeout,,14,20
1,6:48.0,,K. Looney enters the game for D. Jones,14,20
1,6:37.0,Offensive foul by A. Rivers (drawn by K. Thompson),,14,20
1,6:37.0,Turnover by A. Rivers (offensive foul),,14,20
1,6:27.0,,K. Durant makes 2-pt layup from 2 ft (assist by D. Green),14,22
1,6:10.0,K. Oubre misses 3-pt jump shot from 27 ft,,14,22
1,6:08.0,,Defensive rebound by K. Looney,14,22
1,5:58.0,,K. Looney misses 2-pt layup from 2 ft (block by J. Smith),14,22
1,5:57.0,Defensive rebound by A. Rivers,,14,22
1,5:50.0,A. Rivers misses 2-pt jump shot from 8 ft,,14,22
1,5:49.0,Offensive rebound by J. Smith,,14,22
1,5:45.0,J. Smith makes 2-pt layup at rim,,16,22
1,5:34.0,,K. Thompson makes 2-pt jump shot from 14 ft (assist by D. Green),16,24
1,5:14.0,M. Morris makes 2-pt layup from 2 ft,,18,24
1,5:00.0,,Turnover by D. Green (bad pass),18,24
1,5:00.0,J. Green enters the game for J. Smith,,18,24
1,4:52.0,Shooting foul by K. Looney (drawn by J. Wall),,18,24
1,4:52.0,J. Wall misses free throw 1 of 2,,18,24
1,4:52.0,Offensive rebound by Team,,18,24
1,4:52.0,J. Wall makes free throw 2 of 2,,19,24
1,4:43.0,,Personal foul by A. Rivers (drawn by K. Looney),19,24
1,4:43.0,,K. Looney makes free throw 1 of 2,19,25
1,4:43.0,,A. Iguodala enters the game for D. Green,19,25
1,4:43.0,,J. Jerebko enters the game for K. Thompson,19,25
1,4:43.0,,K. Looney makes free throw 2 of 2,19,26
1,4:31.0,J. Wall makes 3-pt jump shot from 23 ft (assist by A. Rivers),,22,26
1,4:22.0,,S. Curry makes 3-pt jump shot from 28 ft,22,29
1,4:12.0,Offensive foul by J. Wall (drawn by A. Iguodala),,22,29
1,4:12.0,Turnover by J. Wall (offensive foul),,22,29
1,4:05.0,,S. Curry misses 2-pt layup from 2 ft,22,29
1,4:04.0,Defensive rebound by J. Green,,22,29
