QUARTER,TIME_REMAINING,NEW YORK_ACTION,MILWAUKEE_ACTION,NEW YORK_SCORE,MILWAUKEE_SCORE
4,5:30.0,,Violation by Team (def goaltending),102,103
4,5:10.0,,E. Bledsoe makes 2-pt jump shot from 12 ft,102,105
4,4:57.0,D. Dotson makes 3-pt jump shot from 28 ft (assist by F. Ntilikina),,105,105
4,4:39.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by K. Middleton),105,108
4,4:17.0,M. Hezonja makes 2-pt hook shot from 5 ft (assist by F. Ntilikina),,107,108
4,4:00.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,107,108
4,3:53.0,,Offensive rebound by G. Antetokounmpo,107,108
4,3:53.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,107,108
4,3:52.0,,Offensive rebound by E. Bledsoe,107,108
4,3:48.0,,B. Lopez misses 3-pt jump shot from 27 ft,107,108
4,3:45.0,,Offensive rebound by G. Antetokounmpo,107,108
4,3:44.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,107,110
4,3:42.0,T. Hardaway makes 3-pt jump shot from 28 ft,,110,110
4,3:26.0,,Turnover by E. Bledsoe (traveling),110,110
4,3:26.0,New York full timeout,,110,110
4,3:26.0,,M. Brogdon enters the game for E. İlyasova,110,110
4,3:05.0,M. Hezonja misses 3-pt jump shot from 28 ft,,110,110
4,3:02.0,,Defensive rebound by M. Brogdon,110,110
4,2:55.0,,B. Lopez makes 2-pt layup from 1 ft (assist by K. Middleton),110,112
4,2:55.0,,Shooting foul by T. Hardaway (drawn by B. Lopez),110,112
4,2:55.0,,B. Lopez makes free throw 1 of 1,110,113
4,2:37.0,T. Hardaway misses 3-pt jump shot from 23 ft,,110,113
4,2:35.0,,Defensive rebound by M. Brogdon,110,113
4,2:22.0,,K. Middleton makes 3-pt jump shot from 28 ft,110,116
4,2:22.0,New York full timeout,,110,116
4,2:22.0,T. Burke enters the game for F. Ntilikina,,110,116
4,2:04.0,T. Hardaway misses 2-pt jump shot from 5 ft,,110,116
4,2:03.0,Offensive rebound by E. Freedom,,110,116
4,2:02.0,E. Freedom makes 2-pt layup at rim,,112,116
4,1:44.0,,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by M. Brogdon),112,119
4,1:35.0,T. Burke misses 2-pt jump shot from 17 ft (block by E. Bledsoe),,112,119
4,1:33.0,Offensive rebound by T. Burke,,112,119
4,1:33.0,T. Burke misses 2-pt jump shot from 1 ft (block by M. Brogdon),,112,119
4,1:33.0,Offensive rebound by Team,,112,119
4,1:30.0,T. Hardaway misses 2-pt jump shot from 14 ft,,112,119
4,1:28.0,Offensive rebound by T. Burke,,112,119
4,1:28.0,Personal foul by G. Antetokounmpo (drawn by T. Burke),,112,119
4,1:24.0,Personal foul by K. Middleton (drawn by T. Hardaway),,112,119
4,1:24.0,T. Hardaway makes free throw 1 of 2,,113,119
4,1:24.0,F. Ntilikina enters the game for T. Burke,,113,119
4,1:24.0,N. Vonleh enters the game for E. Freedom,,113,119
4,1:24.0,T. Hardaway misses free throw 2 of 2,,113,119
4,1:22.0,,Defensive rebound by G. Antetokounmpo,113,119
4,1:11.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by B. Lopez),113,122
4,1:02.0,D. Dotson misses 3-pt jump shot from 26 ft,,113,122
4,0:58.0,,Defensive rebound by K. Middleton,113,122
4,0:38.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),113,124
4,0:38.0,,Shooting foul by T. Hardaway (drawn by G. Antetokounmpo),113,124
4,0:38.0,T. Burke enters the game for T. Hardaway,,113,124
4,0:38.0,,G. Antetokounmpo misses free throw 1 of 1,113,124
4,0:38.0,Defensive rebound by D. Dotson,,113,124
4,0:26.0,M. Hezonja misses 2-pt hook shot from 2 ft,,113,124
4,0:23.0,,Defensive rebound by E. Bledsoe,113,124
4,0:02.0,,Turnover by Team (shot clock),113,124
4,0:01.0,Turnover by T. Burke (bad pass),,113,124
