QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW YORK_ACTION,CHICAGO_SCORE,NEW YORK_SCORE
1,11:44.0,S. Harrison makes 2-pt layup from 1 ft (assist by W. Lemon),,2,0
1,11:31.0,,K. Knox makes 2-pt layup from 2 ft,2,2
1,11:26.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by D. Dotson),,2,2
1,11:21.0,,E. Mudiay makes 3-pt jump shot from 26 ft (assist by M. Robinson),2,5
1,10:58.0,R. Lopez makes 2-pt layup from 2 ft (assist by T. Luwawu-Cabarrot),,4,5
1,10:42.0,,E. Mudiay makes 2-pt jump shot from 17 ft,4,7
1,10:23.0,S. Harrison misses 2-pt jump shot from 9 ft,,4,7
1,10:21.0,Offensive rebound by R. Lopez,,4,7
1,10:21.0,R. Lopez makes 2-pt layup from 1 ft,,6,7
1,10:07.0,,Turnover by K. Knox (bad pass; steal by T. Luwawu-Cabarrot),6,7
1,10:06.0,,Violation by Team (kicked ball),6,7
1,9:59.0,W. Lemon misses 2-pt layup from 4 ft,,6,7
1,9:57.0,R. Lopez makes 2-pt dunk from 1 ft,,8,7
1,9:57.0,Offensive rebound by R. Lopez,,8,7
1,9:47.0,,E. Mudiay misses 3-pt jump shot from 27 ft,8,7
1,9:45.0,Defensive rebound by S. Harrison,,8,7
1,9:39.0,W. Selden misses 2-pt jump shot from 5 ft,,8,7
1,9:37.0,,Defensive rebound by L. Kornet,8,7
1,9:20.0,,L. Kornet misses 2-pt jump shot from 4 ft,8,7
1,9:18.0,Defensive rebound by S. Harrison,,8,7
1,9:10.0,S. Harrison misses 2-pt layup from 5 ft (block by M. Robinson),,8,7
1,9:08.0,Offensive rebound by W. Selden,,8,7
1,8:55.0,Turnover by Team (shot clock),,8,7
1,8:44.0,,E. Mudiay misses 3-pt jump shot from 24 ft,8,7
1,8:42.0,Defensive rebound by S. Harrison,,8,7
1,8:28.0,R. Lopez makes 2-pt hook shot from 3 ft (assist by S. Harrison),,10,7
1,8:28.0,,New York full timeout,10,7
1,8:14.0,,K. Knox makes 2-pt layup from 2 ft,10,9
1,7:57.0,Turnover by S. Harrison (traveling),,10,9
1,7:38.0,,M. Robinson makes 2-pt layup from 1 ft (assist by D. Dotson),10,11
1,7:25.0,W. Lemon misses 2-pt layup from 2 ft (block by L. Kornet),,10,11
1,7:25.0,Offensive rebound by Team,,10,11
1,7:21.0,S. Harrison misses 2-pt layup at rim,,10,11
1,7:19.0,,Defensive rebound by M. Robinson,10,11
1,7:06.0,,L. Kornet makes 2-pt hook shot from 3 ft (assist by E. Mudiay),10,13
1,6:54.0,W. Selden misses 3-pt jump shot from 25 ft,,10,13
1,6:52.0,,Defensive rebound by K. Knox,10,13
1,6:38.0,,K. Knox makes 2-pt layup from 2 ft (assist by L. Kornet),10,15
1,6:16.0,R. Lopez misses 2-pt hook shot from 3 ft,,10,15
1,6:14.0,,Defensive rebound by K. Knox,10,15
1,5:59.0,,E. Mudiay misses 2-pt jump shot from 12 ft,10,15
1,5:57.0,Defensive rebound by S. Harrison,,10,15
1,5:51.0,W. Selden makes 2-pt jump shot from 20 ft (assist by S. Harrison),,12,15
1,5:28.0,,K. Knox misses 3-pt jump shot from 25 ft,12,15
1,5:26.0,Defensive rebound by T. Luwawu-Cabarrot,,12,15
1,5:12.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by R. Lopez),,15,15
1,4:53.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by M. Robinson),15,18
