QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PORTLAND_ACTION,PHILADELPHIA_SCORE,PORTLAND_SCORE
1,11:33.0,,Turnover by D. Lillard (bad pass; steal by A. Johnson),0,0
1,11:23.0,A. Johnson makes 2-pt jump shot from 19 ft (assist by J. Butler),,2,0
1,11:13.0,,D. Lillard makes 3-pt jump shot from 28 ft,2,3
1,11:02.0,B. Simmons makes 2-pt hook shot from 4 ft,,4,3
1,11:02.0,Shooting foul by C. McCollum (drawn by B. Simmons),,4,3
1,11:02.0,B. Simmons misses free throw 1 of 1,,4,3
1,11:00.0,,Defensive rebound by J. Nurkić,4,3
1,10:53.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by E. Turner),4,5
1,10:38.0,J. Redick makes 2-pt jump shot from 20 ft (assist by B. Simmons),,6,5
1,10:28.0,,Turnover by J. Nurkić (bad pass; steal by J. Redick),6,5
1,10:24.0,B. Simmons makes 2-pt layup at rim,,8,5
1,10:05.0,,C. McCollum makes 2-pt jump shot from 19 ft (assist by D. Lillard),8,7
1,9:47.0,J. Redick makes 3-pt jump shot from 26 ft (assist by A. Johnson),,11,7
1,9:29.0,,E. Turner misses 2-pt jump shot from 9 ft (block by W. Chandler),11,7
1,9:29.0,Defensive rebound by Team,,11,7
1,9:16.0,J. Butler misses 3-pt jump shot from 27 ft,,11,7
1,9:13.0,Offensive rebound by J. Butler,,11,7
1,9:09.0,Shooting foul by C. McCollum (drawn by J. Redick),,11,7
1,9:09.0,J. Redick makes free throw 1 of 2,,12,7
1,9:09.0,J. Redick makes free throw 2 of 2,,13,7
1,8:58.0,,D. Lillard misses 3-pt jump shot from 25 ft,13,7
1,8:56.0,Defensive rebound by W. Chandler,,13,7
1,8:49.0,B. Simmons misses 2-pt jump shot from 3 ft,,13,7
1,8:46.0,Offensive rebound by A. Johnson,,13,7
1,8:43.0,A. Johnson misses 2-pt layup from 3 ft (block by J. Nurkić),,13,7
1,8:41.0,,Defensive rebound by A. Aminu,13,7
1,8:37.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by A. Aminu),13,9
1,8:21.0,A. Johnson misses 3-pt jump shot from 24 ft,,13,9
1,8:17.0,,Defensive rebound by A. Aminu,13,9
1,8:17.0,Violation by Team (kicked ball),,13,9
1,8:17.0,,S. Curry enters the game for C. McCollum,13,9
1,8:00.0,,A. Aminu makes 2-pt layup at rim,13,11
1,7:41.0,A. Johnson misses 2-pt layup from 2 ft,,13,11
1,7:41.0,,Defensive rebound by A. Aminu,13,11
1,7:33.0,,Turnover by D. Lillard (bad pass; steal by W. Chandler),13,11
1,7:17.0,J. Redick misses 3-pt jump shot from 29 ft,,13,11
1,7:14.0,,Defensive rebound by A. Aminu,13,11
1,7:05.0,,D. Lillard makes 2-pt layup from 1 ft (assist by J. Nurkić),13,13
1,6:49.0,B. Simmons misses 2-pt jump shot from 17 ft,,13,13
1,6:49.0,,Defensive rebound by J. Nurkić,13,13
1,6:30.0,,J. Nurkić makes 2-pt jump shot from 9 ft,13,15
1,6:20.0,Turnover by J. Butler (bad pass; steal by J. Nurkić),,13,15
