QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
1,11:47.0,,A. Davis makes 2-pt jump shot from 15 ft (assist by E. Moore),0,2
1,11:29.0,J. Murray misses 3-pt jump shot from 24 ft,,0,2
1,11:27.0,,Defensive rebound by W. Johnson,0,2
1,11:20.0,,A. Davis misses 3-pt jump shot from 25 ft,0,2
1,11:17.0,Defensive rebound by J. Hernangómez,,0,2
1,11:07.0,N. Jokić makes 2-pt layup from 1 ft,,2,2
1,10:50.0,,Shooting foul by P. Millsap (drawn by A. Davis),2,2
1,10:50.0,,A. Davis misses free throw 1 of 2,2,2
1,10:50.0,,Offensive rebound by Team,2,2
1,10:50.0,,A. Davis makes free throw 2 of 2,2,3
1,10:36.0,N. Jokić makes 3-pt jump shot from 24 ft (assist by P. Millsap),,5,3
1,10:26.0,,A. Davis makes 2-pt layup from 2 ft (assist by J. Holiday),5,5
1,10:11.0,J. Hernangómez makes 2-pt layup from 2 ft (assist by N. Jokić),,7,5
1,10:03.0,,J. Holiday misses 3-pt jump shot from 25 ft,7,5
1,9:58.0,Defensive rebound by G. Harris,,7,5
1,9:45.0,P. Millsap makes 2-pt jump shot from 8 ft,,9,5
1,9:30.0,,N. Mirotić makes 2-pt layup from 2 ft (assist by A. Davis),9,7
1,9:17.0,N. Jokić makes 2-pt layup from 1 ft,,11,7
1,9:06.0,,J. Holiday misses 2-pt jump shot from 6 ft,11,7
1,9:04.0,Defensive rebound by G. Harris,,11,7
1,9:01.0,Personal foul by J. Holiday (drawn by G. Harris),,11,7
1,8:53.0,J. Murray misses 2-pt jump shot from 5 ft,,11,7
1,8:52.0,Offensive rebound by P. Millsap,,11,7
1,8:52.0,Personal foul by A. Davis (drawn by P. Millsap),,11,7
1,8:45.0,G. Harris makes 2-pt layup from 1 ft (assist by N. Jokić),,13,7
1,8:32.0,,A. Davis misses 2-pt layup from 2 ft (block by J. Hernangómez),13,7
1,8:29.0,Defensive rebound by N. Jokić,,13,7
1,8:24.0,Turnover by P. Millsap (bad pass; steal by J. Holiday),,13,7
1,8:13.0,,E. Moore misses 3-pt jump shot from 25 ft,13,7
1,8:10.0,,Offensive rebound by W. Johnson,13,7
1,8:09.0,,A. Davis makes 2-pt jump shot from 16 ft (assist by W. Johnson),13,9
1,8:09.0,,Shooting foul by N. Jokić (drawn by A. Davis),13,9
1,8:09.0,,A. Davis makes free throw 1 of 1,13,10
1,7:50.0,P. Millsap misses 2-pt jump shot from 7 ft,,13,10
1,7:48.0,,Defensive rebound by N. Mirotić,13,10
1,7:42.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by A. Davis),13,13
1,7:26.0,P. Millsap makes 2-pt dunk from 1 ft (assist by J. Murray),,15,13
1,7:20.0,,N. Mirotić makes 2-pt jump shot from 15 ft (assist by J. Holiday),15,15
1,7:06.0,J. Hernangómez misses 2-pt layup from 1 ft,,15,15
1,7:06.0,Offensive rebound by N. Jokić,,15,15
1,7:06.0,N. Jokić makes 2-pt layup from 1 ft,,17,15
