QUARTER,TIME_REMAINING,TORONTO_ACTION,WASHINGTON_ACTION,TORONTO_SCORE,WASHINGTON_SCORE
1,11:43.0,D. Green misses 2-pt layup from 5 ft,,0,0
1,11:41.0,,Defensive rebound by O. Porter,0,0
1,11:25.0,,J. Wall misses 2-pt jump shot from 16 ft,0,0
1,11:24.0,,Offensive rebound by Team,0,0
1,11:24.0,Loose ball foul by O. Anunoby (drawn by O. Porter),,0,0
1,11:20.0,,O. Porter makes 2-pt jump shot from 14 ft,0,2
1,11:10.0,Personal foul by B. Beal (drawn by K. Lowry),,0,2
1,10:59.0,J. Valančiūnas misses 2-pt layup from 2 ft,,0,2
1,10:58.0,,Defensive rebound by I. Mahinmi,0,2
1,10:46.0,,O. Porter misses 3-pt jump shot from 23 ft,0,2
1,10:42.0,Defensive rebound by N. Powell,,0,2
1,10:37.0,N. Powell makes 2-pt layup from 2 ft,,2,2
1,10:32.0,,B. Beal makes 2-pt layup from 2 ft,2,4
1,10:32.0,,Shooting foul by D. Green (drawn by B. Beal),2,4
1,10:32.0,,B. Beal misses free throw 1 of 1,2,4
1,10:29.0,Defensive rebound by O. Anunoby,,2,4
1,10:22.0,Turnover by N. Powell (lost ball; steal by J. Wall),,2,4
1,10:19.0,,J. Wall makes 2-pt dunk from 1 ft (assist by B. Beal),2,6
1,10:06.0,O. Anunoby misses 2-pt jump shot from 2 ft (block by M. Morris),,2,6
1,10:06.0,,Defensive rebound by Team,2,6
1,9:59.0,,J. Wall misses 2-pt layup from 2 ft,2,6
1,9:59.0,,Offensive rebound by J. Wall,2,6
1,9:59.0,,Shooting foul by J. Valančiūnas (drawn by J. Wall),2,6
1,9:59.0,,J. Wall misses free throw 1 of 2,2,6
1,9:59.0,,Offensive rebound by Team,2,6
1,9:59.0,,J. Wall makes free throw 2 of 2,2,7
1,9:43.0,K. Lowry makes 2-pt jump shot from 16 ft,,4,7
1,9:32.0,,B. Beal misses 2-pt jump shot from 10 ft,4,7
1,9:30.0,,Offensive rebound by I. Mahinmi,4,7
1,9:28.0,,I. Mahinmi misses 2-pt hook shot from 10 ft,4,7
1,9:27.0,,Offensive rebound by I. Mahinmi,4,7
1,9:24.0,,Turnover by M. Morris (bad pass),4,7
1,9:17.0,O. Anunoby misses 3-pt jump shot from 27 ft,,4,7
1,9:14.0,,Defensive rebound by M. Morris,4,7
1,9:07.0,,O. Porter misses 3-pt jump shot from 24 ft,4,7
1,9:05.0,Defensive rebound by Team,,4,7
1,8:55.0,J. Valančiūnas misses 2-pt jump shot from 7 ft,,4,7
