QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
1,11:34.0,,D. Collison makes 2-pt jump shot from 19 ft,0,2
1,11:20.0,M. Williams misses 3-pt jump shot from 23 ft,,0,2
1,11:17.0,,Defensive rebound by B. Bogdanović,0,2
1,11:07.0,,D. Collison makes 2-pt layup from 1 ft,0,4
1,10:54.0,K. Walker misses 2-pt layup from 1 ft,,0,4
1,10:51.0,,Defensive rebound by D. Collison,0,4
1,10:46.0,,V. Oladipo misses 3-pt jump shot from 29 ft,0,4
1,10:44.0,Defensive rebound by B. Biyombo,,0,4
1,10:21.0,M. Williams misses 3-pt jump shot from 23 ft,,0,4
1,10:20.0,Offensive rebound by B. Biyombo,,0,4
1,10:13.0,J. Lamb misses 3-pt jump shot from 28 ft,,0,4
1,10:11.0,Offensive rebound by Team,,0,4
1,10:11.0,,Loose ball foul by M. Turner (drawn by B. Biyombo),0,4
1,10:07.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by K. Walker),,3,4
1,9:46.0,,Turnover by T. Young (bad pass),3,4
1,9:35.0,K. Walker makes 2-pt layup from 2 ft (assist by M. Williams),,5,4
1,9:17.0,,B. Bogdanović makes 2-pt jump shot from 14 ft (assist by D. Collison),5,6
1,8:59.0,Turnover by N. Batum (lost ball; steal by T. Young),,5,6
1,8:55.0,,B. Bogdanović makes 2-pt dunk from 1 ft (assist by T. Young),5,8
1,8:40.0,N. Batum misses 3-pt jump shot from 23 ft,,5,8
1,8:37.0,,Defensive rebound by T. Young,5,8
1,8:33.0,,B. Bogdanović misses 2-pt layup from 1 ft,5,8
1,8:31.0,Defensive rebound by N. Batum,,5,8
1,8:25.0,J. Lamb makes 2-pt jump shot from 13 ft (assist by K. Walker),,7,8
1,8:12.0,,D. Collison makes 2-pt jump shot from 21 ft,7,10
1,7:56.0,K. Walker makes 2-pt layup from 2 ft,,9,10
1,7:39.0,,V. Oladipo misses 3-pt jump shot from 27 ft,9,10
1,7:38.0,Defensive rebound by B. Biyombo,,9,10
1,7:27.0,J. Lamb misses 3-pt jump shot from 27 ft,,9,10
1,7:24.0,,Defensive rebound by M. Turner,9,10
1,7:12.0,,V. Oladipo misses 2-pt layup from 8 ft (block by J. Lamb),9,10
1,7:10.0,Defensive rebound by K. Walker,,9,10
1,7:08.0,K. Walker makes 2-pt layup from 1 ft,,11,10
1,6:53.0,,B. Bogdanović misses 2-pt layup from 1 ft,11,10
1,6:50.0,Defensive rebound by N. Batum,,11,10
1,6:47.0,M. Williams misses 3-pt jump shot from 23 ft,,11,10
1,6:46.0,,Defensive rebound by Team,11,10
