QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MIAMI_ACTION,NEW ORLEANS_SCORE,MIAMI_SCORE
1,11:53.0,J. Holiday misses 3-pt jump shot from 27 ft,,0,0
1,11:50.0,,Defensive rebound by R. McGruder,0,0
1,11:43.0,,Shooting foul by A. Davis (drawn by J. Johnson),0,0
1,11:43.0,,J. Johnson makes free throw 1 of 2,0,1
1,11:43.0,,J. Johnson makes free throw 2 of 2,0,2
1,11:23.0,J. Holiday makes 2-pt jump shot from 6 ft,,2,2
1,11:23.0,Shooting foul by R. McGruder (drawn by J. Holiday),,2,2
1,11:23.0,J. Holiday makes free throw 1 of 1,,3,2
1,11:08.0,,J. Johnson makes 2-pt dunk from 3 ft (assist by W. Ellington),3,4
1,10:58.0,N. Mirotić misses 3-pt jump shot from 27 ft,,3,4
1,10:54.0,,Defensive rebound by H. Whiteside,3,4
1,10:49.0,,R. McGruder makes 2-pt layup from 3 ft,3,6
1,10:37.0,Turnover by N. Mirotić (back court),,3,6
1,10:25.0,,J. Richardson misses 2-pt jump shot from 18 ft,3,6
1,10:17.0,,Offensive rebound by H. Whiteside,3,6
1,10:17.0,,H. Whiteside makes 2-pt layup at rim,3,8
1,10:14.0,J. Holiday makes 2-pt layup from 3 ft (assist by T. Frazier),,5,8
1,10:02.0,,J. Richardson makes 2-pt hook shot from 3 ft,5,10
1,9:44.0,N. Mirotić misses 3-pt jump shot from 29 ft,,5,10
1,9:42.0,,Defensive rebound by W. Ellington,5,10
1,9:35.0,,Turnover by J. Johnson (bad pass; steal by N. Mirotić),5,10
1,9:29.0,Turnover by A. Davis (lost ball; steal by W. Ellington),,5,10
1,9:18.0,,W. Ellington misses 3-pt jump shot from 23 ft,5,10
1,9:16.0,Defensive rebound by Team,,5,10
1,8:52.0,J. Holiday makes 2-pt jump shot from 13 ft,,7,10
1,8:29.0,,H. Whiteside makes 2-pt dunk from 2 ft,7,12
1,8:04.0,A. Davis misses 2-pt jump shot from 5 ft,,7,12
1,8:00.0,,Defensive rebound by J. Johnson,7,12
1,7:47.0,,Shooting foul by T. Frazier (drawn by H. Whiteside),7,12
1,7:47.0,,H. Whiteside misses free throw 1 of 2,7,12
1,7:47.0,,Offensive rebound by Team,7,12
1,7:47.0,,H. Whiteside misses free throw 2 of 2,7,12
1,7:44.0,,Offensive rebound by W. Ellington,7,12
1,7:35.0,,J. Richardson misses 3-pt jump shot from 26 ft,7,12
1,7:31.0,Defensive rebound by E. Moore,,7,12
1,7:24.0,E. Moore makes 2-pt hook shot from 10 ft (assist by T. Frazier),,9,12
1,7:12.0,,J. Richardson misses 2-pt hook shot from 6 ft (block by A. Davis),9,12
1,7:12.0,,Offensive rebound by Team,9,12
1,7:12.0,,Miami full timeout,9,12
1,7:09.0,,Turnover by J. Johnson (traveling),9,12
1,6:52.0,A. Davis makes 2-pt jump shot from 13 ft,,11,12
1,6:42.0,,H. Whiteside makes 2-pt layup from 4 ft (assist by J. Johnson),11,14
1,6:18.0,J. Holiday misses 2-pt layup from 4 ft (block by J. Richardson),,11,14
1,6:14.0,,Defensive rebound by W. Ellington,11,14
