QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MEMPHIS_ACTION,OKLAHOMA CITY_SCORE,MEMPHIS_SCORE
1,11:50.0,S. Adams misses 2-pt jump shot from 9 ft,,0,0
1,11:47.0,,Defensive rebound by J. Holiday,0,0
1,11:34.0,,D. Wright makes 2-pt layup from 1 ft (assist by J. Holiday),0,2
1,11:34.0,Violation by Team (def goaltending),,0,2
1,11:30.0,R. Westbrook misses 2-pt layup from 2 ft,,0,2
1,11:26.0,,Defensive rebound by J. Holiday,0,2
1,11:22.0,,B. Caboclo makes 3-pt jump shot from 24 ft (assist by T. Dorsey),0,5
1,11:02.0,P. George misses 2-pt jump shot from 19 ft,,0,5
1,10:59.0,,Defensive rebound by B. Caboclo,0,5
1,10:49.0,,B. Caboclo makes 2-pt jump shot from 7 ft (assist by D. Wright),0,7
1,10:40.0,S. Adams misses 2-pt layup from 1 ft,,0,7
1,10:40.0,Offensive rebound by S. Adams,,0,7
1,10:40.0,S. Adams misses 2-pt layup from 1 ft,,0,7
1,10:40.0,,Defensive rebound by B. Caboclo,0,7
1,10:28.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by T. Dorsey),0,9
1,10:28.0,Oklahoma City full timeout,,0,9
1,10:20.0,P. George misses 3-pt jump shot from 26 ft,,0,9
1,10:15.0,,Defensive rebound by J. Valančiūnas,0,9
1,10:13.0,,Offensive foul by B. Caboclo (drawn by J. Grant),0,9
1,10:13.0,,Turnover by B. Caboclo (offensive foul),0,9
1,10:04.0,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),,2,9
1,9:38.0,,J. Holiday makes 2-pt jump shot from 19 ft (assist by D. Wright),2,11
1,9:12.0,J. Grant misses 3-pt jump shot from 27 ft,,2,11
1,9:09.0,,Defensive rebound by J. Valančiūnas,2,11
1,8:58.0,,J. Valančiūnas makes 2-pt jump shot from 5 ft,2,13
1,8:38.0,P. George misses 3-pt jump shot from 26 ft,,2,13
1,8:36.0,Offensive rebound by S. Adams,,2,13
1,8:32.0,Turnover by S. Adams (bad pass; steal by D. Wright),,2,13
1,8:15.0,,T. Dorsey makes 3-pt jump shot from 25 ft (assist by J. Holiday),2,16
1,8:00.0,P. George makes 2-pt jump shot from 1 ft,,4,16
1,8:00.0,Shooting foul by J. Valančiūnas (drawn by P. George),,4,16
1,8:00.0,P. George makes free throw 1 of 1,,5,16
1,7:46.0,,J. Valančiūnas misses 2-pt jump shot from 8 ft,5,16
1,7:43.0,Defensive rebound by P. George,,5,16
1,7:33.0,P. George misses 3-pt jump shot from 27 ft,,5,16
1,7:29.0,,Defensive rebound by J. Holiday,5,16
1,7:26.0,,D. Wright makes 2-pt layup from 5 ft (assist by J. Holiday),5,18
1,7:05.0,R. Westbrook makes 3-pt jump shot from 28 ft,,8,18
1,6:51.0,,J. Holiday misses 3-pt jump shot from 24 ft,8,18
1,6:49.0,Defensive rebound by Team,,8,18
1,6:36.0,S. Adams makes 2-pt hook shot from 6 ft,,10,18
1,6:18.0,,Turnover by J. Valančiūnas (bad pass; steal by S. Adams),10,18
1,6:10.0,P. George misses 3-pt jump shot from 26 ft,,10,18
1,6:06.0,,Defensive rebound by J. Valančiūnas,10,18
1,6:03.0,,Memphis full timeout,10,18
1,6:03.0,D. Schröder enters the game for P. George,,10,18
1,6:03.0,,J. Carter enters the game for T. Dorsey,10,18
