QUARTER,TIME_REMAINING,ATLANTA_ACTION,MEMPHIS_ACTION,ATLANTA_SCORE,MEMPHIS_SCORE
1,11:46.0,T. Prince makes 3-pt jump shot from 23 ft (assist by V. Carter),,3,0
1,11:27.0,,Turnover by M. Gasol (bad pass; steal by T. Prince),3,0
1,11:22.0,T. Young misses 2-pt layup from 1 ft,,3,0
1,11:17.0,,Defensive rebound by M. Gasol,3,0
1,11:15.0,,M. Conley makes 2-pt jump shot from 1 ft,3,2
1,10:54.0,A. Len misses 2-pt layup from 2 ft,,3,2
1,10:52.0,,Defensive rebound by C. Parsons,3,2
1,10:41.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by C. Parsons),3,5
1,10:21.0,V. Carter misses 2-pt layup from 4 ft,,3,5
1,10:18.0,Offensive rebound by K. Bazemore,,3,5
1,10:13.0,V. Carter makes 3-pt jump shot from 25 ft (assist by K. Bazemore),,6,5
1,10:13.0,,Memphis full timeout,6,5
1,9:52.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by J. Green),6,8
1,9:27.0,K. Bazemore misses 2-pt jump shot from 2 ft,,6,8
1,9:24.0,,Defensive rebound by M. Conley,6,8
1,9:21.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by M. Conley),6,11
1,9:10.0,Shooting foul by C. Parsons (drawn by K. Bazemore),,6,11
1,9:10.0,K. Bazemore misses free throw 1 of 2,,6,11
1,9:10.0,Offensive rebound by Team,,6,11
1,9:10.0,K. Bazemore misses free throw 2 of 2,,6,11
1,9:07.0,,Defensive rebound by G. Temple,6,11
1,8:57.0,,M. Conley misses 2-pt jump shot from 22 ft,6,11
1,8:57.0,Defensive rebound by Team,,6,11
1,8:57.0,,Loose ball foul by M. Gasol (drawn by V. Carter),6,11
1,8:51.0,Offensive foul by K. Bazemore (drawn by M. Conley),,6,11
1,8:51.0,Turnover by K. Bazemore (offensive foul),,6,11
1,8:29.0,,J. Green misses 2-pt dunk from 1 ft,6,11
1,8:26.0,Defensive rebound by T. Prince,,6,11
1,8:24.0,T. Prince makes 2-pt layup at rim,,8,11
