QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
1,11:34.0,D. Collison misses 3-pt jump shot from 25 ft,,0,0
1,11:30.0,,Defensive rebound by F. VanVleet,0,0
1,11:16.0,,G. Monroe makes 2-pt layup from 2 ft (assist by K. Leonard),0,2
1,10:57.0,T. Young makes 2-pt layup at rim,,2,2
1,10:33.0,,K. Leonard makes 2-pt jump shot from 20 ft,2,4
1,10:15.0,B. Bogdanović misses 2-pt layup from 1 ft (block by P. Siakam),,2,4
1,10:11.0,,Defensive rebound by G. Monroe,2,4
1,10:07.0,,Shooting foul by M. Turner (drawn by K. Leonard),2,4
1,10:07.0,,K. Leonard misses free throw 1 of 2,2,4
1,10:07.0,,Offensive rebound by Team,2,4
1,10:07.0,,K. Leonard makes free throw 2 of 2,2,5
1,9:59.0,V. Oladipo makes 2-pt jump shot from 12 ft,,4,5
1,9:59.0,Shooting foul by D. Green (drawn by V. Oladipo),,4,5
1,9:59.0,V. Oladipo makes free throw 1 of 1,,5,5
1,9:49.0,,K. Leonard misses 3-pt jump shot from 27 ft,5,5
1,9:46.0,Defensive rebound by T. Young,,5,5
1,9:39.0,M. Turner misses 2-pt hook shot from 9 ft,,5,5
1,9:34.0,,Defensive rebound by P. Siakam,5,5
1,9:32.0,,Offensive foul by P. Siakam (drawn by T. Young),5,5
1,9:32.0,,Turnover by P. Siakam (offensive foul),5,5
1,9:22.0,B. Bogdanović makes 2-pt dunk at rim (assist by D. Collison),,7,5
1,9:06.0,,F. VanVleet misses 3-pt jump shot from 25 ft,7,5
1,9:03.0,Defensive rebound by T. Young,,7,5
1,9:03.0,Personal foul by D. Green (drawn by V. Oladipo),,7,5
1,9:03.0,,N. Powell enters the game for D. Green,7,5
1,8:48.0,V. Oladipo misses 2-pt jump shot from 16 ft,,7,5
1,8:44.0,,Defensive rebound by P. Siakam,7,5
1,8:37.0,,Turnover by N. Powell (bad pass; steal by M. Turner),7,5
1,8:32.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),,9,5
1,8:12.0,,G. Monroe makes 2-pt hook shot from 3 ft (assist by K. Leonard),9,7
1,7:49.0,D. Collison misses 3-pt jump shot from 23 ft,,9,7
1,7:47.0,Offensive rebound by T. Young,,9,7
1,7:45.0,M. Turner misses 2-pt dunk from 1 ft,,9,7
1,7:45.0,Offensive rebound by M. Turner,,9,7
1,7:45.0,M. Turner makes 2-pt layup from 1 ft,,11,7
1,7:45.0,Shooting foul by G. Monroe (drawn by M. Turner),,11,7
1,7:45.0,M. Turner makes free throw 1 of 1,,12,7
1,7:34.0,,K. Leonard misses 2-pt jump shot from 13 ft,12,7
1,7:31.0,,Offensive rebound by G. Monroe,12,7
1,7:29.0,,G. Monroe makes 2-pt layup from 1 ft,12,9
1,7:16.0,D. Collison makes 2-pt layup from 2 ft,,14,9
1,7:16.0,Shooting foul by F. VanVleet (drawn by D. Collison),,14,9
1,7:16.0,D. Collison makes free throw 1 of 1,,15,9
1,6:56.0,,N. Powell misses 2-pt layup from 1 ft,15,9
1,6:52.0,,Offensive rebound by G. Monroe,15,9
1,6:52.0,,G. Monroe makes 2-pt layup from 1 ft,15,11
1,6:42.0,D. Collison misses 2-pt jump shot from 19 ft,,15,11
1,6:38.0,,Defensive rebound by K. Leonard,15,11
1,6:34.0,,K. Leonard misses 2-pt jump shot from 10 ft,15,11
1,6:29.0,Defensive rebound by M. Turner,,15,11
1,6:24.0,B. Bogdanović misses 2-pt layup from 5 ft (block by F. VanVleet),,15,11
1,6:23.0,,Defensive rebound by K. Leonard,15,11
1,6:05.0,,N. Powell misses 3-pt jump shot from 25 ft,15,11
1,6:02.0,Defensive rebound by M. Turner,,15,11
1,5:53.0,Turnover by D. Collison (lost ball; steal by P. Siakam),,15,11
1,5:49.0,,Turnover by P. Siakam (bad pass; steal by B. Bogdanović),15,11
1,5:40.0,D. Collison misses 2-pt layup from 2 ft,,15,11
1,5:40.0,Offensive rebound by B. Bogdanović,,15,11
1,5:33.0,B. Bogdanović makes 2-pt layup at rim,,17,11
1,5:33.0,,Toronto full timeout,17,11
1,5:33.0,D. Sabonis enters the game for T. Young,,17,11
1,5:33.0,,O. Anunoby enters the game for P. Siakam,17,11
1,5:29.0,,F. VanVleet misses 2-pt jump shot from 21 ft,17,11
1,5:24.0,Defensive rebound by V. Oladipo,,17,11
1,5:16.0,V. Oladipo makes 2-pt jump shot from 15 ft,,19,11
1,4:59.0,,G. Monroe makes 2-pt layup from 2 ft (assist by K. Leonard),19,13
1,4:48.0,V. Oladipo misses 2-pt layup from 2 ft,,19,13
1,4:48.0,Offensive rebound by Team,,19,13
1,4:48.0,,Loose ball foul by K. Leonard (drawn by D. Sabonis),19,13
1,4:48.0,,D. Wright enters the game for N. Powell,19,13
1,4:48.0,D. Sabonis misses free throw 1 of 2,,19,13
1,4:48.0,Offensive rebound by Team,,19,13
1,4:48.0,D. Sabonis makes free throw 2 of 2,,20,13
1,4:32.0,,K. Leonard misses 2-pt jump shot from 20 ft,20,13
1,4:29.0,,Offensive rebound by G. Monroe,20,13
1,4:23.0,,G. Monroe misses 2-pt hook shot from 6 ft,20,13
1,4:20.0,Defensive rebound by M. Turner,,20,13
1,4:12.0,Turnover by D. Collison (lost ball; steal by O. Anunoby),,20,13
1,4:06.0,,F. VanVleet misses 2-pt jump shot from 21 ft,20,13
1,4:03.0,Defensive rebound by D. Sabonis,,20,13
1,3:55.0,V. Oladipo misses 3-pt jump shot from 26 ft,,20,13
1,3:51.0,,Defensive rebound by G. Monroe,20,13
1,3:39.0,,O. Anunoby makes 2-pt layup from 1 ft (assist by K. Leonard),20,15
1,3:32.0,Indiana full timeout,,20,15
1,3:32.0,C. Joseph enters the game for B. Bogdanović,,20,15
1,3:32.0,T. Young enters the game for M. Turner,,20,15
1,3:32.0,,C. Boucher enters the game for G. Monroe,20,15
1,3:32.0,,C. Miles enters the game for F. VanVleet,20,15
1,3:14.0,T. Young misses 2-pt hook shot from 5 ft (block by C. Boucher),,20,15
1,3:09.0,,Defensive rebound by D. Wright,20,15
1,3:01.0,,K. Leonard misses 2-pt jump shot from 12 ft,20,15
1,3:01.0,Defensive rebound by V. Oladipo,,20,15
1,2:54.0,C. Joseph makes 3-pt jump shot from 26 ft (assist by V. Oladipo),,23,15
1,2:36.0,,D. Wright misses 2-pt jump shot from 11 ft,23,15
1,2:34.0,,Offensive rebound by D. Wright,23,15
1,2:29.0,,C. Boucher makes 3-pt jump shot from 23 ft (assist by D. Wright),23,18
1,2:10.0,T. Young misses 2-pt hook shot from 4 ft,,23,18
1,2:07.0,,Defensive rebound by K. Leonard,23,18
1,2:07.0,,Personal foul by T. Young (drawn by K. Leonard),23,18
1,2:07.0,T. Evans enters the game for D. Collison,,23,18
1,2:07.0,D. McDermott enters the game for V. Oladipo,,23,18
1,2:07.0,,P. Siakam enters the game for K. Leonard,23,18
1,1:59.0,,Shooting foul by C. Joseph (drawn by D. Wright),23,18
1,1:59.0,,D. Wright makes free throw 1 of 2,23,19
1,1:59.0,,D. Wright makes free throw 2 of 2,23,20
1,1:49.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by C. Joseph),,25,20
1,1:37.0,,P. Siakam misses 2-pt jump shot from 7 ft,25,20
1,1:34.0,Defensive rebound by D. Sabonis,,25,20
1,1:29.0,D. McDermott makes 2-pt layup from 1 ft (assist by T. Evans),,27,20
1,1:18.0,,C. Miles makes 2-pt layup from 1 ft (assist by P. Siakam),27,22
1,1:06.0,D. Sabonis misses 2-pt layup from 1 ft,,27,22
1,1:06.0,Offensive rebound by T. Young,,27,22
1,0:58.0,D. McDermott makes 3-pt jump shot from 24 ft (assist by C. Joseph),,30,22
1,0:44.0,,C. Boucher makes 2-pt layup from 2 ft (assist by D. Wright),30,24
1,0:35.0,T. Evans misses 2-pt layup from 3 ft (block by C. Boucher),,30,24
1,0:33.0,Offensive rebound by D. Sabonis,,30,24
1,0:33.0,D. Sabonis makes 2-pt layup at rim,,32,24
1,0:27.0,,C. Boucher misses 3-pt jump shot from 26 ft,32,24
1,0:23.0,Defensive rebound by C. Joseph,,32,24
1,0:03.0,T. Young makes 2-pt layup from 2 ft (assist by D. Sabonis),,34,24
2,11:43.0,,P. Siakam makes 2-pt layup from 3 ft (assist by C. Miles),34,26
2,11:43.0,,Shooting foul by C. Joseph (drawn by P. Siakam),34,26
2,11:43.0,,P. Siakam misses free throw 1 of 1,34,26
2,11:38.0,Defensive rebound by T. Evans,,34,26
2,11:27.0,D. Sabonis makes 2-pt layup from 1 ft,,36,26
2,11:16.0,,C. Miles misses 3-pt jump shot from 27 ft,36,26
2,11:13.0,,Offensive rebound by D. Wright,36,26
2,11:12.0,,Turnover by D. Wright (bad pass; steal by C. Joseph),36,26
2,11:12.0,Personal foul by P. Siakam (drawn by C. Joseph),,36,26
2,10:59.0,Turnover by D. Sabonis (bad pass; steal by C. Boucher),,36,26
2,10:53.0,,D. Wright misses 3-pt jump shot from 26 ft,36,26
2,10:49.0,Defensive rebound by D. Sabonis,,36,26
2,10:36.0,Shooting foul by D. Wright (drawn by T. Young),,36,26
2,10:36.0,T. Young makes free throw 1 of 2,,37,26
2,10:36.0,T. Young makes free throw 2 of 2,,38,26
2,10:18.0,,O. Anunoby misses 2-pt jump shot from 6 ft,38,26
2,10:16.0,Defensive rebound by D. Sabonis,,38,26
2,10:08.0,T. Evans makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,41,26
2,9:50.0,,D. Wright makes 2-pt layup from 2 ft,41,28
2,9:35.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by T. Evans),,43,28
2,9:28.0,,P. Siakam makes 2-pt jump shot from 7 ft,43,30
2,9:28.0,,Shooting foul by T. Young (drawn by P. Siakam),43,30
2,9:28.0,,D. Green enters the game for C. Miles,43,30
2,9:28.0,,P. Siakam makes free throw 1 of 1,43,31
2,9:08.0,D. McDermott misses 3-pt jump shot from 23 ft,,43,31
2,9:04.0,,Defensive rebound by C. Boucher,43,31
2,8:56.0,,O. Anunoby makes 3-pt jump shot from 26 ft (assist by P. Siakam),43,34
2,8:44.0,Personal foul by O. Anunoby (drawn by D. Sabonis),,43,34
2,8:34.0,Turnover by T. Evans (traveling),,43,34
2,8:19.0,,C. Boucher misses 2-pt layup from 4 ft (block by T. Evans),43,34
2,8:19.0,,Offensive rebound by Team,43,34
2,8:19.0,,Toronto full timeout,43,34
2,8:13.0,,D. Green misses 2-pt jump shot from 21 ft,43,34
2,8:09.0,Defensive rebound by C. Joseph,,43,34
2,7:52.0,D. Sabonis misses 2-pt hook shot from 6 ft,,43,34
2,7:48.0,,Defensive rebound by D. Wright,43,34
2,7:44.0,,Personal foul by D. McDermott (drawn by D. Green),43,34
2,7:44.0,B. Bogdanović enters the game for T. Young,,43,34
2,7:44.0,,K. Leonard enters the game for C. Boucher,43,34
2,7:44.0,,G. Monroe enters the game for P. Siakam,43,34
2,7:44.0,,F. VanVleet enters the game for D. Wright,43,34
2,7:29.0,,D. Green misses 3-pt jump shot from 23 ft,43,34
2,7:24.0,Defensive rebound by D. Sabonis,,43,34
2,7:16.0,Turnover by T. Evans (lost ball; steal by K. Leonard),,43,34
2,7:10.0,,K. Leonard makes 2-pt dunk from 1 ft,43,36
2,6:53.0,T. Evans misses 2-pt jump shot from 18 ft,,43,36
2,6:50.0,,Defensive rebound by D. Green,43,36
2,6:43.0,,Turnover by D. Green (out of bounds lost ball),43,36
2,6:43.0,V. Oladipo enters the game for D. McDermott,,43,36
2,6:43.0,,N. Powell enters the game for O. Anunoby,43,36
2,6:31.0,Turnover by C. Joseph (lost ball; steal by F. VanVleet),,43,36
2,6:26.0,,F. VanVleet makes 2-pt layup from 2 ft,43,38
2,6:14.0,V. Oladipo makes 2-pt jump shot from 13 ft,,45,38
2,5:47.0,,F. VanVleet misses 3-pt jump shot from 26 ft,45,38
2,5:47.0,,Offensive rebound by Team,45,38
2,5:47.0,Loose ball foul by B. Bogdanović (drawn by G. Monroe),,45,38
2,5:47.0,D. Collison enters the game for T. Evans,,45,38
2,5:47.0,M. Turner enters the game for D. Sabonis,,45,38
2,5:34.0,,F. VanVleet misses 3-pt jump shot from 23 ft,45,38
2,5:31.0,,Offensive rebound by Team,45,38
2,5:18.0,,K. Leonard makes 2-pt jump shot from 8 ft,45,40
2,5:00.0,C. Joseph misses 2-pt jump shot from 16 ft,,45,40
2,4:57.0,,Defensive rebound by G. Monroe,45,40
2,4:53.0,,D. Green misses 3-pt jump shot from 26 ft,45,40
2,4:51.0,Defensive rebound by C. Joseph,,45,40
2,4:43.0,M. Turner misses 2-pt jump shot from 15 ft,,45,40
2,4:39.0,,Defensive rebound by K. Leonard,45,40
2,4:27.0,,F. VanVleet misses 3-pt jump shot from 28 ft,45,40
2,4:23.0,Defensive rebound by B. Bogdanović,,45,40
2,4:13.0,V. Oladipo makes 2-pt jump shot from 15 ft,,47,40
2,3:48.0,,K. Leonard makes 2-pt jump shot from 17 ft,47,42
2,3:40.0,Turnover by V. Oladipo (lost ball; steal by K. Leonard),,47,42
2,3:35.0,,N. Powell misses 3-pt jump shot from 24 ft,47,42
2,3:31.0,Defensive rebound by B. Bogdanović,,47,42
2,3:27.0,V. Oladipo makes 2-pt layup from 1 ft (assist by B. Bogdanović),,49,42
2,3:20.0,,K. Leonard misses 3-pt jump shot from 27 ft,49,42
2,3:20.0,Defensive rebound by M. Turner,,49,42
2,3:14.0,Indiana full timeout,,49,42
2,3:14.0,T. Young enters the game for C. Joseph,,49,42
2,3:14.0,,D. Wright enters the game for N. Powell,49,42
2,3:05.0,T. Young makes 3-pt jump shot from 24 ft (assist by D. Collison),,52,42
2,2:39.0,,F. VanVleet misses 2-pt layup from 2 ft (block by M. Turner),52,42
2,2:34.0,Defensive rebound by M. Turner,,52,42
2,2:19.0,M. Turner makes 3-pt jump shot from 25 ft (assist by D. Collison),,55,42
2,2:02.0,,K. Leonard misses 3-pt jump shot from 27 ft,55,42
2,1:58.0,Defensive rebound by D. Collison,,55,42
