QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DETROIT_ACTION,NEW ORLEANS_SCORE,DETROIT_SCORE
1,11:39.0,,Shooting foul by J. Randle (drawn by A. Drummond),0,0
1,11:39.0,,A. Drummond misses free throw 1 of 2,0,0
1,11:39.0,,Offensive rebound by Team,0,0
1,11:39.0,,A. Drummond makes free throw 2 of 2,0,1
1,11:18.0,J. Holiday misses 2-pt jump shot from 14 ft (block by B. Brown),,0,1
1,11:14.0,,Defensive rebound by G. Robinson,0,1
1,11:01.0,,A. Drummond misses 3-pt jump shot from 26 ft,0,1
1,10:57.0,Defensive rebound by A. Davis,,0,1
1,10:52.0,Shooting foul by A. Drummond (drawn by A. Davis),,0,1
1,10:52.0,A. Davis makes free throw 1 of 2,,1,1
1,10:52.0,A. Davis misses free throw 2 of 2,,1,1
1,10:50.0,,Defensive rebound by A. Drummond,1,1
1,10:39.0,,A. Drummond misses 2-pt layup from 4 ft (block by A. Davis),1,1
1,10:36.0,Defensive rebound by S. Hill,,1,1
1,10:32.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Randle),,4,1
1,10:12.0,,B. Griffin makes 2-pt layup from 3 ft (assist by R. Jackson),4,3
1,10:04.0,J. Randle misses 3-pt jump shot from 25 ft,,4,3
1,10:02.0,,Defensive rebound by B. Brown,4,3
1,9:58.0,,B. Brown makes 2-pt layup from 2 ft,4,5
1,9:44.0,Personal foul by B. Brown (drawn by J. Randle),,4,5
1,9:42.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by T. Frazier),,7,5
1,9:29.0,,B. Griffin misses 3-pt jump shot from 25 ft,7,5
1,9:17.0,,Offensive rebound by A. Drummond,7,5
1,9:16.0,,A. Drummond makes 2-pt layup from 1 ft,7,7
1,9:05.0,J. Randle makes 2-pt hook shot from 7 ft,,9,7
1,8:55.0,,Turnover by A. Drummond (lost ball; steal by T. Frazier),9,7
1,8:46.0,J. Randle misses 2-pt hook shot from 9 ft,,9,7
1,8:41.0,Offensive rebound by A. Davis,,9,7
1,8:41.0,A. Davis makes 2-pt dunk at rim,,11,7
1,8:26.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),11,9
1,8:11.0,J. Holiday makes 2-pt layup from 4 ft (assist by T. Frazier),,13,9
1,8:02.0,,B. Brown misses 3-pt jump shot from 26 ft,13,9
1,8:02.0,Defensive rebound by J. Holiday,,13,9
