QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA CLIPPERS_ACTION,BROOKLYN_SCORE,LA CLIPPERS_SCORE
1,11:43.0,J. Allen makes 2-pt layup from 1 ft (assist by C. LeVert),,2,0
1,11:43.0,Shooting foul by D. Gallinari (drawn by J. Allen),,2,0
1,11:43.0,J. Allen makes free throw 1 of 1,,3,0
1,11:30.0,,Offensive foul by I. Zubac (drawn by J. Harris),3,0
1,11:30.0,,Turnover by I. Zubac (offensive foul),3,0
1,11:15.0,C. LeVert misses 2-pt layup from 2 ft,,3,0
1,11:13.0,Offensive rebound by J. Allen,,3,0
1,11:10.0,Turnover by D. Russell (lost ball; steal by P. Beverley),,3,0
1,11:05.0,,D. Gallinari misses 2-pt layup from 5 ft (block by R. Kurucs),3,0
1,11:02.0,,Offensive rebound by D. Gallinari,3,0
1,11:00.0,,D. Gallinari makes 2-pt layup from 2 ft,3,2
1,10:53.0,D. Russell makes 2-pt jump shot from 16 ft,,5,2
1,10:42.0,,L. Shamet misses 3-pt jump shot from 26 ft,5,2
1,10:38.0,Defensive rebound by R. Kurucs,,5,2
1,10:31.0,D. Russell misses 2-pt jump shot from 4 ft,,5,2
1,10:31.0,,Defensive rebound by Team,5,2
1,10:31.0,Loose ball foul by D. Russell (drawn by I. Zubac),,5,2
1,10:15.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft,5,2
1,10:13.0,,Offensive rebound by I. Zubac,5,2
1,10:11.0,,I. Zubac misses 2-pt layup from 1 ft,5,2
1,10:11.0,Defensive rebound by C. LeVert,,5,2
1,10:07.0,C. LeVert makes 2-pt layup from 2 ft (assist by D. Russell),,7,2
1,10:07.0,Shooting foul by L. Shamet (drawn by C. LeVert),,7,2
1,10:07.0,C. LeVert misses free throw 1 of 1,,7,2
1,10:06.0,,Defensive rebound by Team,7,2
1,10:06.0,Loose ball foul by R. Kurucs (drawn by I. Zubac),,7,2
1,9:55.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,7,2
1,9:53.0,Defensive rebound by J. Harris,,7,2
1,9:48.0,D. Russell misses 3-pt jump shot from 27 ft,,7,2
1,9:45.0,,Defensive rebound by D. Gallinari,7,2
1,9:36.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by I. Zubac),7,5
1,9:15.0,Turnover by R. Kurucs (out of bounds lost ball),,7,5
1,9:03.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 19 ft,7,5
1,8:59.0,Defensive rebound by C. LeVert,,7,5
1,8:58.0,D. Russell makes 2-pt layup from 2 ft (assist by C. LeVert),,9,5
1,8:46.0,,Personal foul by J. Harris (drawn by L. Shamet),9,5
1,8:32.0,,D. Gallinari misses 2-pt layup from 3 ft (block by J. Allen),9,5
1,8:32.0,,Offensive rebound by I. Zubac,9,5
1,8:32.0,,I. Zubac misses 2-pt layup from 2 ft (block by R. Kurucs),9,5
