QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHILADELPHIA_ACTION,BROOKLYN_SCORE,PHILADELPHIA_SCORE
1,11:39.0,D. Russell misses 2-pt jump shot from 10 ft,,0,0
1,11:37.0,,Defensive rebound by B. Simmons,0,0
1,11:30.0,,J. Embiid misses 2-pt jump shot from 13 ft,0,0
1,11:26.0,,Offensive rebound by B. Simmons,0,0
1,11:26.0,,Shooting foul by J. Allen (drawn by J. Embiid),0,0
1,11:26.0,,J. Embiid makes free throw 1 of 2,0,1
1,11:26.0,,J. Embiid makes free throw 2 of 2,0,2
1,11:15.0,D. Carroll misses 2-pt jump shot from 8 ft,,0,2
1,11:10.0,,Defensive rebound by J. Embiid,0,2
1,11:07.0,,Shooting foul by J. Allen (drawn by J. Embiid),0,2
1,11:07.0,,J. Embiid makes free throw 1 of 2,0,3
1,11:07.0,,J. Embiid makes free throw 2 of 2,0,4
1,10:59.0,J. Harris misses 3-pt jump shot from 27 ft,,0,4
1,10:59.0,,Defensive rebound by T. Harris,0,4
1,10:41.0,,J. Redick misses 3-pt jump shot from 24 ft,0,4
1,10:38.0,Defensive rebound by D. Carroll,,0,4
1,10:27.0,J. Harris makes 3-pt jump shot from 27 ft (assist by D. Russell),,3,4
1,10:15.0,,J. Embiid misses 3-pt jump shot from 26 ft,3,4
1,10:09.0,Defensive rebound by J. Harris,,3,4
1,10:00.0,D. Carroll misses 3-pt jump shot from 24 ft,,3,4
1,9:57.0,,Defensive rebound by B. Simmons,3,4
1,9:49.0,,B. Simmons misses 2-pt layup from 2 ft,3,4
1,9:45.0,,B. Simmons makes 2-pt layup at rim,3,6
1,9:45.0,,Offensive rebound by B. Simmons,3,6
1,9:37.0,Shooting foul by B. Simmons (drawn by D. Russell),,3,6
1,9:37.0,D. Russell makes free throw 1 of 2,,4,6
1,9:37.0,D. Russell makes free throw 2 of 2,,5,6
1,9:28.0,,J. Embiid makes 2-pt layup from 1 ft (assist by B. Simmons),5,8
1,9:28.0,,Shooting foul by D. Carroll (drawn by J. Embiid),5,8
1,9:28.0,,J. Embiid makes free throw 1 of 1,5,9
1,9:15.0,D. Russell misses 2-pt jump shot from 11 ft,,5,9
1,9:12.0,,Defensive rebound by J. Embiid,5,9
1,9:08.0,,T. Harris misses 2-pt dunk from 6 ft (block by J. Allen),5,9
1,9:05.0,Defensive rebound by D. Carroll,,5,9
1,8:59.0,D. Russell misses 2-pt layup from 1 ft,,5,9
1,8:59.0,Offensive rebound by J. Allen,,5,9
1,8:59.0,Turnover by J. Allen (off goaltending),,5,9
1,8:47.0,,Shooting foul by D. Russell (drawn by J. Embiid),5,9
1,8:47.0,,J. Embiid misses free throw 1 of 2,5,9
1,8:47.0,,Offensive rebound by Team,5,9
1,8:47.0,,J. Embiid makes free throw 2 of 2,5,10
1,8:35.0,J. Allen makes 2-pt layup from 3 ft (assist by D. Russell),,7,10
1,8:27.0,,Offensive foul by J. Redick (drawn by J. Allen),7,10
1,8:27.0,,Turnover by J. Redick (offensive foul),7,10
1,8:17.0,J. Allen misses 2-pt layup from 3 ft (block by B. Simmons),,7,10
1,8:15.0,,Defensive rebound by T. Harris,7,10
1,8:02.0,,Turnover by J. Redick (bad pass; steal by R. Kurucs),7,10
1,7:56.0,D. Russell misses 3-pt jump shot from 26 ft,,7,10
1,7:52.0,Offensive rebound by D. Carroll,,7,10
1,7:43.0,D. Russell misses 2-pt jump shot from 17 ft,,7,10
1,7:40.0,,Defensive rebound by T. Harris,7,10
1,7:34.0,,Philadelphia full timeout,7,10
1,7:34.0,,B. Marjanović enters the game for J. Embiid,7,10
1,7:26.0,,J. Butler misses 2-pt jump shot from 13 ft,7,10
1,7:24.0,,Offensive rebound by J. Butler,7,10
1,7:18.0,,T. Harris misses 3-pt jump shot from 23 ft,7,10
1,7:16.0,Defensive rebound by D. Russell,,7,10
1,7:12.0,Shooting foul by B. Simmons (drawn by D. Carroll),,7,10
1,7:12.0,D. Carroll makes free throw 1 of 2,,8,10
1,7:12.0,J. Dudley enters the game for R. Kurucs,,8,10
1,7:12.0,D. Carroll makes free throw 2 of 2,,9,10
1,6:56.0,,B. Marjanović misses 2-pt layup from 1 ft,9,10
1,6:56.0,,Offensive rebound by Team,9,10
1,6:56.0,Loose ball foul by J. Dudley (drawn by B. Marjanović),,9,10
1,6:56.0,,B. Marjanović makes free throw 1 of 2,9,11
1,6:56.0,S. Dinwiddie enters the game for D. Carroll,,9,11
1,6:56.0,,B. Marjanović misses free throw 2 of 2,9,11
1,6:54.0,Defensive rebound by J. Allen,,9,11
1,6:45.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,12,11
1,6:34.0,,Turnover by J. Redick (lost ball; steal by D. Russell),12,11
1,6:29.0,D. Russell misses 2-pt layup from 5 ft (block by J. Butler),,12,11
1,6:26.0,Offensive rebound by J. Allen,,12,11
1,6:21.0,Turnover by D. Russell (bad pass),,12,11
1,6:21.0,,T. McConnell enters the game for J. Redick,12,11
1,6:21.0,,M. Scott enters the game for B. Simmons,12,11
1,6:07.0,,T. McConnell misses 2-pt jump shot from 6 ft,12,11
1,6:05.0,Defensive rebound by J. Allen,,12,11
1,5:55.0,Personal foul by J. Butler (drawn by J. Allen),,12,11
1,5:41.0,Turnover by D. Russell (bad pass; steal by B. Marjanović),,12,11
1,5:20.0,,T. McConnell makes 2-pt layup from 1 ft (assist by T. Harris),12,13
1,5:09.0,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),,15,13
1,4:53.0,,J. Butler makes 2-pt jump shot from 12 ft,15,15
1,4:38.0,Turnover by J. Harris (bad pass),,15,15
1,4:38.0,C. LeVert enters the game for D. Russell,,15,15
1,4:30.0,,Shooting foul by J. Allen (drawn by J. Butler),15,15
1,4:30.0,,J. Butler makes free throw 1 of 2,15,16
1,4:30.0,D. Carroll enters the game for J. Allen,,15,16
1,4:30.0,E. Davis enters the game for J. Harris,,15,16
1,4:30.0,,J. Butler makes free throw 2 of 2,15,17
1,4:11.0,Shooting foul by T. McConnell (drawn by S. Dinwiddie),,15,17
1,4:11.0,S. Dinwiddie makes free throw 1 of 2,,16,17
1,4:11.0,S. Dinwiddie makes free throw 2 of 2,,17,17
1,4:02.0,,B. Marjanović makes 2-pt jump shot from 17 ft (assist by T. McConnell),17,19
1,3:39.0,C. LeVert misses 2-pt jump shot from 5 ft,,17,19
1,3:39.0,,Defensive rebound by Team,17,19
1,3:39.0,Loose ball foul by E. Davis (drawn by J. Butler),,17,19
1,3:39.0,,J. Butler misses free throw 1 of 2,17,19
1,3:39.0,,Offensive rebound by Team,17,19
1,3:39.0,,J. Butler makes free throw 2 of 2,17,20
1,3:20.0,E. Davis makes 2-pt layup from 1 ft (assist by J. Dudley),,19,20
1,3:03.0,,T. Harris misses 2-pt jump shot from 13 ft,19,20
1,2:58.0,Defensive rebound by E. Davis,,19,20
1,2:52.0,S. Dinwiddie misses 2-pt jump shot from 10 ft,,19,20
1,2:52.0,,Defensive rebound by B. Marjanović,19,20
1,2:38.0,,B. Marjanović makes 2-pt layup from 1 ft (assist by T. Harris),19,22
1,2:38.0,Brooklyn full timeout,,19,22
1,2:38.0,,J. Redick enters the game for J. Butler,19,22
1,2:38.0,,B. Simmons enters the game for T. Harris,19,22
1,2:38.0,,J. Simmons enters the game for T. McConnell,19,22
1,2:28.0,Shooting foul by J. Simmons (drawn by C. LeVert),,19,22
1,2:28.0,C. LeVert makes free throw 1 of 2,,20,22
1,2:28.0,C. LeVert makes free throw 2 of 2,,21,22
1,2:18.0,,J. Redick misses 2-pt jump shot from 12 ft,21,22
1,2:17.0,Defensive rebound by Team,,21,22
1,2:17.0,,J. Embiid enters the game for B. Marjanović,21,22
1,1:58.0,D. Carroll makes 2-pt jump shot from 7 ft (assist by C. LeVert),,23,22
1,1:40.0,,M. Scott misses 3-pt jump shot from 24 ft,23,22
1,1:37.0,,Offensive rebound by J. Embiid,23,22
1,1:27.0,,Turnover by J. Embiid (lost ball; steal by D. Carroll),23,22
1,1:23.0,D. Carroll makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,25,22
1,1:16.0,,B. Simmons misses 2-pt layup from 2 ft,25,22
1,1:13.0,Defensive rebound by E. Davis,,25,22
1,1:11.0,S. Dinwiddie makes 3-pt jump shot from 26 ft,,28,22
1,0:52.0,,J. Embiid misses 3-pt jump shot from 26 ft,28,22
1,0:50.0,Defensive rebound by C. LeVert,,28,22
1,0:43.0,E. Davis misses 2-pt layup from 3 ft (block by J. Embiid),,28,22
1,0:40.0,,Defensive rebound by J. Redick,28,22
1,0:31.0,,J. Embiid misses 2-pt jump shot from 20 ft (block by C. LeVert),28,22
1,0:27.0,,Offensive rebound by J. Embiid,28,22
1,0:23.0,,J. Embiid misses 3-pt jump shot from 24 ft,28,22
1,0:19.0,,Offensive rebound by B. Simmons,28,22
