QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW YORK_ACTION,BOSTON_SCORE,NEW YORK_SCORE
1,11:40.0,J. Brown misses 2-pt jump shot from 14 ft,,0,0
1,11:36.0,,Defensive rebound by F. Ntilikina,0,0
1,11:17.0,,E. Freedom misses 2-pt hook shot from 3 ft,0,0
1,11:08.0,Defensive rebound by J. Tatum,,0,0
1,11:06.0,K. Irving misses 2-pt jump shot from 13 ft,,0,0
1,10:58.0,Offensive rebound by A. Baynes,,0,0
1,10:58.0,A. Baynes makes 2-pt layup from 1 ft,,2,0
1,10:47.0,,Shooting foul by A. Baynes (drawn by L. Thomas),2,0
1,10:47.0,,L. Thomas misses free throw 1 of 2,2,0
1,10:47.0,,Offensive rebound by Team,2,0
1,10:47.0,,L. Thomas makes free throw 2 of 2,2,1
1,10:36.0,Personal foul by T. Burke (drawn by A. Horford),,2,1
1,10:33.0,Offensive foul by J. Tatum (drawn by F. Ntilikina),,2,1
1,10:33.0,Turnover by J. Tatum (offensive foul),,2,1
1,10:23.0,,L. Thomas misses 3-pt jump shot from 22 ft,2,1
1,10:19.0,Defensive rebound by J. Tatum,,2,1
1,10:15.0,Turnover by J. Brown (bad pass; steal by F. Ntilikina),,2,1
1,10:11.0,,Turnover by T. Hardaway (bad pass; steal by K. Irving),2,1
1,10:07.0,K. Irving makes 2-pt layup from 1 ft (assist by J. Brown),,4,1
1,9:52.0,,Turnover by E. Freedom (bad pass; steal by K. Irving),4,1
1,9:48.0,A. Baynes makes 2-pt layup from 3 ft (assist by K. Irving),,6,1
1,9:48.0,Shooting foul by E. Freedom (drawn by A. Baynes),,6,1
1,9:48.0,A. Baynes makes free throw 1 of 1,,7,1
1,9:27.0,,E. Freedom makes 2-pt layup from 1 ft (assist by F. Ntilikina),7,3
1,9:14.0,Shooting foul by F. Ntilikina (drawn by J. Tatum),,7,3
1,9:14.0,J. Tatum makes free throw 1 of 2,,8,3
1,9:14.0,J. Tatum makes free throw 2 of 2,,9,3
1,9:04.0,,T. Hardaway makes 2-pt jump shot from 15 ft (assist by T. Burke),9,5
1,8:48.0,A. Baynes makes 3-pt jump shot from 27 ft (assist by K. Irving),,12,5
1,8:36.0,,T. Burke misses 2-pt jump shot from 19 ft,12,5
1,8:33.0,Defensive rebound by J. Tatum,,12,5
1,8:21.0,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),,14,5
1,8:21.0,,New York full timeout,14,5
1,8:01.0,,T. Hardaway misses 2-pt jump shot from 5 ft,14,5
1,8:00.0,Defensive rebound by J. Tatum,,14,5
1,7:51.0,Turnover by J. Tatum (bad pass; steal by T. Burke),,14,5
1,7:48.0,,T. Burke makes 2-pt layup from 1 ft,14,7
1,7:28.0,A. Horford misses 2-pt layup from 2 ft (block by L. Thomas),,14,7
1,7:27.0,Offensive rebound by A. Horford,,14,7
1,7:26.0,Offensive foul by A. Horford (drawn by L. Thomas),,14,7
1,7:26.0,Turnover by A. Horford (offensive foul),,14,7
1,7:11.0,,E. Freedom misses 2-pt hook shot from 6 ft,14,7
1,7:08.0,Defensive rebound by A. Horford,,14,7
1,7:00.0,K. Irving misses 2-pt jump shot from 16 ft,,14,7
1,6:57.0,,Defensive rebound by L. Thomas,14,7
1,6:47.0,,L. Thomas misses 2-pt layup from 1 ft (block by A. Horford),14,7
1,6:45.0,,Offensive rebound by E. Freedom,14,7
1,6:44.0,,E. Freedom misses 2-pt hook shot from 1 ft,14,7
1,6:42.0,Defensive rebound by A. Horford,,14,7
1,6:35.0,J. Tatum makes 3-pt jump shot from 28 ft (assist by J. Brown),,17,7
