QUARTER,TIME_REMAINING,ATLANTA_ACTION,CLEVELAND_ACTION,ATLANTA_SCORE,CLEVELAND_SCORE
1,11:45.0,K. Bazemore misses 2-pt layup from 2 ft,,0,0
1,11:42.0,,Defensive rebound by K. Love,0,0
1,11:24.0,,T. Thompson makes 2-pt jump shot from 6 ft (assist by G. Hill),0,2
1,11:05.0,T. Prince makes 2-pt layup at rim,,2,2
1,10:56.0,,K. Love misses 3-pt jump shot from 25 ft,2,2
1,10:52.0,Defensive rebound by T. Young,,2,2
1,10:34.0,V. Carter makes 3-pt jump shot from 25 ft (assist by A. Len),,5,2
1,10:23.0,,G. Hill makes 2-pt jump shot from 17 ft,5,4
1,10:04.0,Turnover by T. Prince (lost ball; steal by G. Hill),,5,4
1,9:59.0,,K. Love makes 2-pt dunk from 1 ft (assist by G. Hill),5,6
1,9:42.0,Personal foul by R. Hood (drawn by A. Len),,5,6
1,9:34.0,Offensive foul by A. Len (drawn by C. Osman),,5,6
1,9:34.0,Turnover by A. Len (offensive foul),,5,6
1,9:15.0,,T. Thompson makes 2-pt hook shot from 8 ft (assist by K. Love),5,8
1,9:05.0,T. Young misses 3-pt jump shot from 31 ft,,5,8
1,9:03.0,,Defensive rebound by R. Hood,5,8
1,8:56.0,,K. Love makes 3-pt jump shot from 26 ft (assist by R. Hood),5,11
1,8:56.0,Atlanta full timeout,,5,11
1,8:56.0,O. Spellman enters the game for V. Carter,,5,11
1,8:42.0,Turnover by O. Spellman (step out of bounds),,5,11
1,8:31.0,,K. Love misses 3-pt jump shot from 26 ft,5,11
1,8:28.0,Defensive rebound by T. Prince,,5,11
1,8:16.0,T. Prince misses 3-pt jump shot from 27 ft,,5,11
1,8:12.0,,Defensive rebound by C. Osman,5,11
1,8:04.0,,Turnover by R. Hood (bad pass; steal by T. Prince),5,11
1,7:56.0,A. Len makes 2-pt dunk from 2 ft (assist by T. Prince),,7,11
1,7:43.0,,R. Hood misses 2-pt jump shot from 20 ft,7,11
1,7:41.0,Defensive rebound by Team,,7,11
1,7:32.0,K. Bazemore misses 2-pt layup from 2 ft,,7,11
1,7:30.0,,Defensive rebound by T. Thompson,7,11
1,7:26.0,,Personal foul by T. Young (drawn by G. Hill),7,11
1,7:13.0,,Turnover by C. Osman (bad pass; steal by T. Young),7,11
1,7:04.0,Turnover by K. Bazemore (bad pass; steal by T. Thompson),,7,11
1,6:57.0,,C. Osman misses 3-pt jump shot from 24 ft,7,11
1,6:54.0,,Offensive rebound by T. Thompson,7,11
1,6:50.0,,G. Hill makes 2-pt jump shot from 13 ft (assist by C. Osman),7,13
1,6:37.0,A. Len misses 2-pt layup from 2 ft,,7,13
1,6:35.0,Offensive rebound by A. Len,,7,13
1,6:35.0,A. Len misses 2-pt layup at rim,,7,13
1,6:35.0,Offensive rebound by A. Len,,7,13
1,6:35.0,A. Len misses 2-pt layup at rim,,7,13
1,6:35.0,Offensive rebound by Team,,7,13
1,6:35.0,D. Bembry enters the game for K. Bazemore,,7,13
1,6:31.0,T. Young misses 3-pt jump shot from 31 ft,,7,13
1,6:29.0,,Defensive rebound by R. Hood,7,13
1,6:21.0,,R. Hood misses 2-pt jump shot from 14 ft,7,13
1,6:18.0,,Offensive rebound by K. Love,7,13
1,6:12.0,,C. Osman misses 2-pt jump shot from 15 ft,7,13
1,6:12.0,,Offensive rebound by Team,7,13
1,6:12.0,,Personal foul by A. Len (drawn by T. Thompson),7,13
1,6:12.0,A. Poythress enters the game for A. Len,,7,13
1,6:12.0,,C. Sexton enters the game for R. Hood,7,13
1,6:07.0,,K. Love makes 2-pt layup from 1 ft (assist by C. Osman),7,15
1,5:52.0,Turnover by D. Bembry (out of bounds lost ball),,7,15
1,5:40.0,,K. Love makes 2-pt layup from 1 ft (assist by C. Osman),7,17
1,5:40.0,Atlanta full timeout,,7,17
1,5:40.0,J. Lin enters the game for T. Young,,7,17
1,5:24.0,Turnover by A. Poythress (lost ball),,7,17
1,5:24.0,Violation by Team (kicked ball),,7,17
1,5:17.0,,Def 3 sec tech foul by Team,7,17
1,5:17.0,,K. Love makes technical free throw,7,18
1,5:17.0,K. Huerter enters the game for T. Prince,,7,18
1,5:11.0,,C. Sexton makes 2-pt jump shot from 15 ft,7,20
1,4:52.0,J. Lin misses 2-pt layup from 7 ft,,7,20
