QUARTER,TIME_REMAINING,NEW YORK_ACTION,LA LAKERS_ACTION,NEW YORK_SCORE,LA LAKERS_SCORE
1,11:49.0,,Turnover by L. Ball (bad pass; steal by N. Vonleh),0,0
1,11:44.0,N. Vonleh misses 3-pt jump shot from 26 ft,,0,0
1,11:40.0,,Defensive rebound by B. Ingram,0,0
1,11:20.0,,B. Ingram misses 3-pt jump shot from 27 ft,0,0
1,11:16.0,Defensive rebound by T. Hardaway,,0,0
1,10:59.0,L. Kornet misses 2-pt jump shot from 14 ft,,0,0
1,10:56.0,Offensive rebound by N. Vonleh,,0,0
1,10:53.0,T. Hardaway makes 3-pt jump shot from 29 ft (assist by N. Vonleh),,3,0
1,10:41.0,,L. Ball makes 3-pt jump shot from 28 ft (assist by J. McGee),3,3
1,10:17.0,N. Vonleh makes 3-pt jump shot from 26 ft (assist by E. Mudiay),,6,3
1,10:03.0,,Personal foul by N. Vonleh (drawn by B. Ingram),6,3
1,9:54.0,,Turnover by L. Ball (bad pass; steal by L. Kornet),6,3
1,9:36.0,Personal foul by L. Ball (drawn by N. Vonleh),,6,3
1,9:30.0,E. Mudiay misses 3-pt jump shot from 25 ft,,6,3
1,9:27.0,,Defensive rebound by B. Ingram,6,3
1,9:25.0,,Turnover by B. Ingram (bad pass; steal by N. Vonleh),6,3
1,9:20.0,K. Knox makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,9,3
1,9:07.0,,B. Ingram makes 2-pt layup from 2 ft,9,5
1,8:54.0,N. Vonleh misses 3-pt jump shot from 25 ft,,9,5
1,8:50.0,,Defensive rebound by K. Caldwell-Pope,9,5
1,8:43.0,,J. McGee misses 2-pt hook shot from 11 ft,9,5
1,8:40.0,Defensive rebound by N. Vonleh,,9,5
1,8:28.0,K. Knox makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,12,5
1,8:10.0,,L. Ball misses 3-pt jump shot from 25 ft,12,5
1,8:08.0,Defensive rebound by N. Vonleh,,12,5
1,8:00.0,E. Mudiay misses 2-pt layup from 4 ft (block by J. Hart),,12,5
1,7:57.0,,Defensive rebound by J. Hart,12,5
1,7:50.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,12,5
1,7:47.0,Defensive rebound by L. Kornet,,12,5
1,7:44.0,T. Hardaway makes 3-pt jump shot from 26 ft,,15,5
1,7:43.0,,LA Lakers full timeout,15,5
1,7:30.0,,J. Hart misses 3-pt jump shot from 23 ft,15,5
1,7:27.0,Defensive rebound by N. Vonleh,,15,5
1,7:15.0,T. Hardaway misses 3-pt jump shot from 27 ft,,15,5
1,7:13.0,,Defensive rebound by L. Ball,15,5
1,7:08.0,,L. Ball misses 2-pt jump shot from 4 ft,15,5
1,7:05.0,Defensive rebound by E. Mudiay,,15,5
1,6:57.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,18,5
1,6:42.0,,B. Ingram misses 2-pt jump shot from 19 ft,18,5
1,6:40.0,Defensive rebound by K. Knox,,18,5
1,6:38.0,T. Hardaway misses 3-pt jump shot from 28 ft,,18,5
1,6:35.0,Offensive rebound by N. Vonleh,,18,5
1,6:35.0,Shooting foul by J. Hart (drawn by N. Vonleh),,18,5
1,6:35.0,N. Vonleh makes free throw 1 of 2,,19,5
1,6:35.0,,I. Zubac enters the game for J. McGee,19,5
1,6:35.0,N. Vonleh makes free throw 2 of 2,,20,5
1,6:26.0,,Turnover by B. Ingram (lost ball; steal by N. Vonleh),20,5
1,6:19.0,E. Mudiay misses 2-pt layup from 2 ft,,20,5
1,6:17.0,,Defensive rebound by I. Zubac,20,5
1,6:14.0,,B. Ingram misses 2-pt layup from 1 ft,20,5
1,6:08.0,,Offensive rebound by I. Zubac,20,5
