QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PORTLAND_ACTION,SACRAMENTO_SCORE,PORTLAND_SCORE
1,11:45.0,,S. Labissière makes 2-pt hook shot from 5 ft,0,2
1,11:23.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,2,2
1,11:11.0,,S. Labissière makes 2-pt dunk at rim (assist by G. Trent),2,4
1,10:59.0,N. Bjelica misses 3-pt jump shot from 28 ft,,2,4
1,10:55.0,,Defensive rebound by S. Labissière,2,4
1,10:47.0,,A. Simons makes 3-pt jump shot from 25 ft,2,7
1,10:37.0,Turnover by D. Fox (lost ball; steal by A. Simons),,2,7
1,10:31.0,,Turnover by J. Layman (out of bounds lost ball),2,7
1,10:16.0,H. Barnes misses 3-pt jump shot from 28 ft,,2,7
1,10:13.0,,Defensive rebound by M. Leonard,2,7
1,10:03.0,,G. Trent makes 2-pt jump shot from 17 ft (assist by A. Simons),2,9
1,10:00.0,Sacramento full timeout,,2,9
1,9:47.0,Shooting foul by J. Layman (drawn by H. Barnes),,2,9
1,9:47.0,H. Barnes misses free throw 1 of 2,,2,9
1,9:47.0,Offensive rebound by Team,,2,9
1,9:47.0,H. Barnes makes free throw 2 of 2,,3,9
1,9:29.0,,J. Layman misses 2-pt layup from 3 ft,3,9
1,9:26.0,Defensive rebound by B. Hield,,3,9
1,9:22.0,B. Hield makes 3-pt jump shot from 26 ft (assist by H. Barnes),,6,9
1,9:08.0,,A. Simons misses 3-pt jump shot from 23 ft,6,9
1,9:05.0,Defensive rebound by H. Barnes,,6,9
1,8:55.0,Shooting foul by M. Leonard (drawn by H. Barnes),,6,9
1,8:55.0,H. Barnes misses free throw 1 of 2,,6,9
1,8:55.0,Offensive rebound by Team,,6,9
1,8:55.0,H. Barnes makes free throw 2 of 2,,7,9
1,8:41.0,,J. Layman makes 3-pt jump shot from 25 ft,7,12
1,8:31.0,B. Hield misses 3-pt jump shot from 24 ft,,7,12
1,8:27.0,,Defensive rebound by A. Simons,7,12
1,8:16.0,,S. Labissière misses 2-pt jump shot from 11 ft,7,12
1,8:14.0,Defensive rebound by W. Cauley-Stein,,7,12
1,8:07.0,D. Fox misses 2-pt jump shot from 8 ft,,7,12
1,8:04.0,Offensive rebound by W. Cauley-Stein,,7,12
1,7:54.0,B. Hield misses 2-pt layup from 2 ft (block by S. Labissière),,7,12
1,7:53.0,Offensive rebound by W. Cauley-Stein,,7,12
1,7:53.0,Shooting foul by A. Simons (drawn by W. Cauley-Stein),,7,12
1,7:53.0,W. Cauley-Stein makes free throw 1 of 2,,8,12
1,7:53.0,W. Cauley-Stein makes free throw 2 of 2,,9,12
1,7:30.0,,A. Simons misses 2-pt jump shot from 12 ft,9,12
1,7:28.0,Defensive rebound by H. Barnes,,9,12
1,7:20.0,H. Barnes misses 2-pt jump shot from 16 ft,,9,12
1,7:18.0,,Defensive rebound by S. Labissière,9,12
1,7:11.0,,G. Trent misses 3-pt jump shot from 25 ft,9,12
1,7:07.0,Defensive rebound by W. Cauley-Stein,,9,12
1,6:59.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,11,12
1,6:41.0,,J. Layman makes 2-pt jump shot from 17 ft (assist by A. Simons),11,14
1,6:30.0,D. Fox makes 2-pt layup from 2 ft,,13,14
1,6:12.0,,G. Trent misses 2-pt layup from 1 ft,13,14
1,6:09.0,Defensive rebound by W. Cauley-Stein,,13,14
1,6:03.0,N. Bjelica makes 3-pt jump shot from 23 ft (assist by B. Hield),,16,14
1,6:02.0,,Portland full timeout,16,14
1,5:46.0,,A. Simons misses 3-pt jump shot from 26 ft,16,14
1,5:43.0,Defensive rebound by B. Hield,,16,14
1,5:23.0,H. Barnes makes 3-pt jump shot from 27 ft (assist by D. Fox),,19,14
1,5:04.0,,M. Leonard misses 2-pt jump shot from 16 ft,19,14
1,5:01.0,Defensive rebound by H. Barnes,,19,14
1,4:54.0,D. Fox makes 2-pt layup from 1 ft (assist by H. Barnes),,21,14
1,4:35.0,,S. Labissière makes 2-pt hook shot from 4 ft,21,16
1,4:23.0,N. Bjelica makes 2-pt jump shot from 20 ft (assist by D. Fox),,23,16
1,4:00.0,,S. Labissière makes 2-pt jump shot from 15 ft,23,18
1,3:44.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by N. Bjelica),,25,18
1,3:20.0,,Shooting foul by W. Cauley-Stein (drawn by G. Trent),25,18
1,3:20.0,,G. Trent makes free throw 1 of 2,25,19
1,3:20.0,M. Bagley enters the game for W. Cauley-Stein,,25,19
1,3:20.0,B. Bogdanović enters the game for B. Hield,,25,19
1,3:20.0,,Z. Collins enters the game for S. Labissière,25,19
1,3:20.0,,G. Trent makes free throw 2 of 2,25,20
1,3:15.0,Personal foul by A. Simons (drawn by D. Fox),,25,20
1,3:08.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),,28,20
1,2:56.0,,J. Layman misses 2-pt jump shot from 20 ft,28,20
1,2:54.0,,Offensive rebound by M. Leonard,28,20
1,2:46.0,,Z. Collins makes 2-pt jump shot from 13 ft,28,22
1,2:34.0,Shooting foul by Z. Collins (drawn by H. Barnes),,28,22
1,2:34.0,H. Barnes makes free throw 1 of 2,,29,22
1,2:34.0,Y. Ferrell enters the game for D. Fox,,29,22
1,2:34.0,H. Barnes makes free throw 2 of 2,,30,22
1,2:19.0,,Shooting foul by M. Bagley (drawn by M. Leonard),30,22
1,2:19.0,,M. Leonard makes free throw 1 of 2,30,23
1,2:19.0,C. Brewer enters the game for H. Barnes,,30,23
1,2:19.0,,M. Leonard makes free throw 2 of 2,30,24
1,2:03.0,M. Bagley makes 2-pt jump shot from 18 ft,,32,24
1,1:44.0,,J. Layman misses 2-pt layup from 2 ft,32,24
1,1:40.0,,Offensive rebound by M. Leonard,32,24
1,1:40.0,,M. Leonard misses 2-pt dunk from 1 ft,32,24
1,1:40.0,,Offensive rebound by Z. Collins,32,24
1,1:35.0,,Z. Collins makes 2-pt layup from 1 ft,32,26
1,1:24.0,Shooting foul by Z. Collins (drawn by N. Bjelica),,32,26
1,1:24.0,N. Bjelica makes free throw 1 of 2,,33,26
1,1:24.0,,S. Labissière enters the game for M. Leonard,33,26
1,1:24.0,N. Bjelica makes free throw 2 of 2,,34,26
1,1:12.0,,S. Labissière misses 2-pt jump shot from 11 ft,34,26
1,1:09.0,Defensive rebound by M. Bagley,,34,26
1,1:00.0,M. Bagley makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,37,26
1,0:44.0,,Personal foul by N. Bjelica (drawn by S. Labissière),37,26
1,0:44.0,C. Swanigan enters the game for N. Bjelica,,37,26
1,0:37.0,,A. Simons makes 2-pt jump shot from 18 ft,37,28
1,0:30.0,Y. Ferrell misses 2-pt jump shot from 14 ft,,37,28
1,0:27.0,Offensive rebound by C. Brewer,,37,28
1,0:20.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,37,28
1,0:18.0,Offensive rebound by C. Swanigan,,37,28
1,0:16.0,M. Bagley makes 2-pt layup from 1 ft (assist by C. Swanigan),,39,28
1,0:02.0,,A. Simons makes 2-pt layup from 1 ft,39,30
2,11:46.0,M. Bagley misses 2-pt jump shot from 18 ft,,39,30
2,11:44.0,Offensive rebound by C. Swanigan,,39,30
2,11:40.0,Y. Ferrell makes 3-pt jump shot from 26 ft (assist by C. Swanigan),,42,30
2,11:25.0,,Shooting foul by C. Swanigan (drawn by A. Simons),42,30
2,11:25.0,,A. Simons misses free throw 1 of 2,42,30
2,11:25.0,,Offensive rebound by Team,42,30
2,11:25.0,,A. Simons makes free throw 2 of 2,42,31
2,11:20.0,Personal foul by S. Labissière (drawn by M. Bagley),,42,31
2,11:13.0,B. Bogdanović makes 3-pt jump shot from 30 ft,,45,31
2,10:55.0,,G. Trent makes 2-pt jump shot from 14 ft (assist by Z. Collins),45,33
2,10:42.0,C. Swanigan makes 2-pt layup from 1 ft,,47,33
2,10:26.0,,G. Trent misses 3-pt jump shot from 23 ft,47,33
2,10:24.0,,Offensive rebound by Z. Collins,47,33
2,10:15.0,,Z. Collins makes 2-pt hook shot from 7 ft,47,35
2,10:15.0,Violation by Team (def goaltending),,47,35
2,10:01.0,C. Swanigan misses 2-pt jump shot from 19 ft,,47,35
2,9:58.0,,Defensive rebound by Z. Collins,47,35
2,9:51.0,,G. Trent misses 2-pt jump shot from 15 ft,47,35
2,9:48.0,Defensive rebound by M. Bagley,,47,35
2,9:43.0,M. Bagley makes 2-pt layup from 7 ft,,49,35
2,9:22.0,,J. Layman misses 2-pt jump shot from 14 ft,49,35
2,9:20.0,,Offensive rebound by S. Labissière,49,35
2,9:17.0,,S. Labissière misses 2-pt hook shot from 4 ft,49,35
2,9:15.0,Defensive rebound by M. Bagley,,49,35
2,9:07.0,M. Bagley misses 3-pt jump shot from 27 ft,,49,35
2,9:05.0,,Defensive rebound by Team,49,35
2,8:51.0,,A. Simons misses 3-pt jump shot from 28 ft,49,35
2,8:49.0,Defensive rebound by C. Swanigan,,49,35
2,8:46.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,49,35
2,8:41.0,Offensive rebound by C. Swanigan,,49,35
2,8:40.0,Sacramento full timeout,,49,35
2,8:40.0,W. Cauley-Stein enters the game for C. Swanigan,,49,35
2,8:38.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,49,35
2,8:35.0,,Defensive rebound by Z. Collins,49,35
2,8:28.0,,Offensive foul by S. Labissière (drawn by C. Brewer),49,35
2,8:28.0,,Turnover by S. Labissière (offensive foul),49,35
2,8:21.0,Y. Ferrell makes 2-pt jump shot from 12 ft,,51,35
2,8:00.0,,Z. Collins makes 3-pt jump shot from 26 ft,51,38
2,7:49.0,B. Bogdanović makes 2-pt jump shot from 14 ft,,53,38
2,7:35.0,,A. Simons makes 3-pt jump shot from 26 ft,53,41
2,7:27.0,Shooting foul by Z. Collins (drawn by B. Bogdanović),,53,41
2,7:27.0,B. Bogdanović makes free throw 1 of 2,,54,41
2,7:27.0,B. Hield enters the game for C. Brewer,,54,41
2,7:27.0,,M. Leonard enters the game for Z. Collins,54,41
2,7:27.0,B. Bogdanović makes free throw 2 of 2,,55,41
2,7:17.0,,Personal foul by Y. Ferrell (drawn by A. Simons),55,41
2,7:17.0,D. Fox enters the game for Y. Ferrell,,55,41
2,7:04.0,,J. Layman misses 2-pt layup from 3 ft,55,41
2,7:00.0,,Offensive rebound by S. Labissière,55,41
2,7:00.0,,S. Labissière makes 2-pt dunk from 1 ft,55,43
2,6:56.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Fox),,58,43
2,6:49.0,,Personal foul by M. Bagley (drawn by S. Labissière),58,43
2,6:40.0,,Shooting foul by W. Cauley-Stein (drawn by S. Labissière),58,43
2,6:40.0,,S. Labissière misses free throw 1 of 2,58,43
2,6:40.0,,Offensive rebound by Team,58,43
2,6:40.0,,S. Labissière makes free throw 2 of 2,58,44
2,6:32.0,D. Fox makes 2-pt jump shot from 8 ft,,60,44
2,6:19.0,,J. Layman misses 2-pt jump shot from 5 ft,60,44
2,6:19.0,Defensive rebound by M. Bagley,,60,44
2,6:03.0,Turnover by B. Hield (bad pass; steal by S. Labissière),,60,44
2,6:01.0,,Personal take foul by D. Fox (drawn by J. Layman),60,44
2,6:01.0,,J. Layman misses free throw 1 of 2,60,44
2,6:01.0,,Offensive rebound by Team,60,44
2,6:01.0,H. Barnes enters the game for B. Bogdanović,,60,44
2,6:01.0,,J. Layman makes free throw 2 of 2,60,45
2,5:49.0,D. Fox makes 2-pt layup from 3 ft,,62,45
2,5:37.0,,Turnover by J. Layman (off goaltending),62,45
2,5:21.0,B. Hield makes 3-pt jump shot from 27 ft,,65,45
2,5:18.0,,Portland full timeout,65,45
2,5:02.0,,M. Leonard misses 2-pt layup from 2 ft,65,45
2,4:59.0,Defensive rebound by D. Fox,,65,45
2,4:47.0,M. Bagley makes 2-pt jump shot from 8 ft (assist by D. Fox),,67,45
2,4:27.0,,J. Layman misses 3-pt jump shot from 24 ft,67,45
2,4:26.0,Defensive rebound by M. Bagley,,67,45
2,4:20.0,H. Barnes makes 3-pt jump shot from 26 ft,,70,45
2,4:03.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by A. Simons),70,47
2,3:45.0,B. Hield makes 3-pt jump shot from 24 ft (assist by D. Fox),,73,47
2,3:28.0,,A. Simons makes 3-pt jump shot from 26 ft (assist by M. Leonard),73,50
2,3:18.0,M. Bagley makes 3-pt jump shot from 27 ft (assist by D. Fox),,76,50
2,2:52.0,,S. Labissière makes 3-pt jump shot from 25 ft,76,53
2,2:35.0,B. Hield misses 3-pt jump shot from 24 ft,,76,53
2,2:32.0,,Defensive rebound by G. Trent,76,53
2,2:29.0,,G. Trent misses 2-pt layup from 6 ft,76,53
2,2:29.0,,Offensive rebound by A. Simons,76,53
2,2:25.0,,A. Simons makes 2-pt layup from 1 ft,76,55
2,2:16.0,M. Bagley makes 2-pt jump shot from 10 ft (assist by H. Barnes),,78,55
2,1:55.0,,A. Simons makes 2-pt jump shot from 12 ft,78,57
