QUARTER,TIME_REMAINING,MINNESOTA_ACTION,INDIANA_ACTION,MINNESOTA_SCORE,INDIANA_SCORE
1,11:45.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),0,3
1,11:26.0,A. Wiggins misses 2-pt layup from 1 ft (block by M. Turner),,0,3
1,11:23.0,Offensive rebound by D. Šarić,,0,3
1,11:20.0,Turnover by K. Towns (bad pass; steal by M. Turner),,0,3
1,11:10.0,,M. Turner makes 3-pt jump shot from 28 ft (assist by D. Collison),0,6
1,10:58.0,Turnover by J. Teague (lost ball; steal by W. Matthews),,0,6
1,10:54.0,,D. Collison misses 2-pt layup from 1 ft,0,6
1,10:52.0,Defensive rebound by D. Šarić,,0,6
1,10:39.0,D. Šarić makes 2-pt hook shot from 6 ft (assist by K. Towns),,2,6
1,10:20.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,2,6
1,10:18.0,Defensive rebound by K. Towns,,2,6
1,10:06.0,K. Towns misses 2-pt layup from 5 ft (block by M. Turner),,2,6
1,10:02.0,Offensive rebound by Team,,2,6
1,9:58.0,J. Teague makes 2-pt jump shot from 6 ft,,4,6
1,9:41.0,,D. Collison makes 2-pt jump shot from 15 ft,4,8
1,9:27.0,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Okogie),,7,8
1,9:11.0,,Shooting foul by J. Teague (drawn by B. Bogdanović),7,8
1,9:11.0,,B. Bogdanović makes free throw 1 of 2,7,9
1,9:11.0,,B. Bogdanović makes free throw 2 of 2,7,10
1,8:57.0,K. Towns makes 2-pt layup from 2 ft (assist by J. Teague),,9,10
1,8:57.0,Shooting foul by M. Turner (drawn by K. Towns),,9,10
1,8:57.0,K. Towns makes free throw 1 of 1,,10,10
1,8:37.0,,M. Turner misses 2-pt jump shot from 21 ft,10,10
1,8:35.0,Defensive rebound by D. Šarić,,10,10
1,8:31.0,Turnover by D. Šarić (bad pass; steal by T. Young),,10,10
1,8:26.0,,T. Young misses 2-pt layup from 4 ft,10,10
1,8:23.0,,Offensive rebound by T. Young,10,10
1,8:12.0,,D. Collison misses 2-pt jump shot from 14 ft,10,10
1,8:09.0,Defensive rebound by K. Towns,,10,10
1,7:53.0,Shooting foul by M. Turner (drawn by K. Towns),,10,10
