QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
1,11:45.0,,Personal foul by T. Prince (drawn by K. Middleton),0,0
1,11:34.0,,K. Middleton makes 2-pt layup from 2 ft,0,2
1,11:19.0,I. Humphries misses 2-pt jump shot from 12 ft,,0,2
1,11:14.0,Offensive rebound by A. Len,,0,2
1,11:14.0,A. Len misses 2-pt layup from 1 ft,,0,2
1,11:13.0,,Defensive rebound by B. Lopez,0,2
1,11:07.0,,K. Middleton makes 2-pt jump shot from 13 ft (assist by G. Antetokounmpo),0,4
1,10:59.0,Personal foul by S. Brown (drawn by T. Prince),,0,4
1,10:55.0,A. Len misses 3-pt jump shot from 25 ft,,0,4
1,10:54.0,,Defensive rebound by Team,0,4
1,10:46.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,0,6
1,10:33.0,K. Huerter misses 2-pt jump shot from 13 ft,,0,6
1,10:31.0,Offensive rebound by K. Huerter,,0,6
1,10:29.0,K. Huerter makes 2-pt jump shot from 13 ft,,2,6
1,10:20.0,,E. Bledsoe makes 2-pt layup from 2 ft,2,8
1,10:06.0,T. Prince misses 2-pt layup from 8 ft (block by B. Lopez),,2,8
1,10:06.0,Offensive rebound by Team,,2,8
1,9:56.0,I. Humphries misses 2-pt layup from 4 ft (block by B. Lopez),,2,8
1,9:52.0,,Defensive rebound by G. Antetokounmpo,2,8
1,9:46.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,2,10
1,9:29.0,K. Huerter makes 2-pt layup from 5 ft,,4,10
1,9:21.0,,B. Lopez misses 3-pt jump shot from 28 ft,4,10
1,9:18.0,,Offensive rebound by E. Bledsoe,4,10
1,9:09.0,,Turnover by S. Brown (out of bounds lost ball),4,10
1,8:54.0,K. Huerter misses 2-pt layup from 10 ft (block by K. Middleton),,4,10
1,8:54.0,Offensive rebound by Team,,4,10
1,8:49.0,I. Humphries misses 3-pt jump shot from 27 ft,,4,10
