QUARTER,TIME_REMAINING,CHICAGO_ACTION,OKLAHOMA CITY_ACTION,CHICAGO_SCORE,OKLAHOMA CITY_SCORE
1,11:46.0,,P. George makes 3-pt jump shot from 27 ft (assist by R. Westbrook),0,3
1,11:35.0,W. Carter makes 2-pt dunk from 1 ft (assist by K. Dunn),,2,3
1,11:19.0,,S. Adams misses 2-pt dunk from 1 ft,2,3
1,11:17.0,Defensive rebound by L. Markkanen,,2,3
1,11:13.0,K. Dunn makes 2-pt jump shot from 8 ft,,4,3
1,10:52.0,,J. Grant misses 2-pt layup from 4 ft (block by L. Markkanen),4,3
1,10:50.0,,Offensive rebound by Team,4,3
1,10:47.0,,T. Ferguson misses 3-pt jump shot from 23 ft,4,3
1,10:43.0,,Offensive rebound by R. Westbrook,4,3
1,10:39.0,,R. Westbrook misses 2-pt jump shot from 14 ft,4,3
1,10:35.0,Defensive rebound by L. Markkanen,,4,3
1,10:11.0,R. Arcidiacono misses 3-pt jump shot from 27 ft,,4,3
1,10:11.0,Offensive rebound by Team,,4,3
1,10:11.0,Turnover by Team (shot clock),,4,3
1,10:03.0,,P. George misses 3-pt jump shot from 25 ft,4,3
1,10:01.0,Defensive rebound by L. Markkanen,,4,3
1,9:53.0,L. Markkanen misses 3-pt jump shot from 25 ft,,4,3
1,9:50.0,,Defensive rebound by R. Westbrook,4,3
1,9:46.0,,Turnover by R. Westbrook (bad pass; steal by L. Markkanen),4,3
1,9:40.0,J. Holiday misses 3-pt jump shot from 25 ft,,4,3
1,9:37.0,,Defensive rebound by R. Westbrook,4,3
1,9:32.0,,R. Westbrook misses 2-pt jump shot from 20 ft,4,3
1,9:30.0,Defensive rebound by L. Markkanen,,4,3
1,9:22.0,J. Holiday misses 2-pt jump shot from 14 ft,,4,3
1,9:20.0,,Defensive rebound by R. Westbrook,4,3
1,9:15.0,,T. Ferguson misses 2-pt layup from 1 ft,4,3
1,9:13.0,Defensive rebound by W. Carter,,4,3
1,9:02.0,L. Markkanen misses 2-pt jump shot from 6 ft,,4,3
1,8:59.0,Offensive rebound by L. Markkanen,,4,3
1,8:59.0,L. Markkanen makes 2-pt layup at rim,,6,3
1,8:51.0,,Personal foul by K. Dunn (drawn by R. Westbrook),6,3
1,8:45.0,,S. Adams misses 2-pt layup from 1 ft,6,3
1,8:43.0,,Offensive rebound by S. Adams,6,3
1,8:43.0,,S. Adams makes 2-pt layup from 1 ft,6,5
1,8:30.0,K. Dunn misses 2-pt jump shot from 4 ft,,6,5
1,8:26.0,Offensive rebound by L. Markkanen,,6,5
1,8:18.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by K. Dunn),,9,5
1,8:07.0,,P. George misses 2-pt jump shot from 14 ft,9,5
1,8:06.0,Defensive rebound by L. Markkanen,,9,5
1,8:06.0,Personal foul by P. George (drawn by L. Markkanen),,9,5
1,7:57.0,W. Carter makes 2-pt dunk from 1 ft (assist by K. Dunn),,11,5
1,7:40.0,,J. Grant misses 2-pt layup from 2 ft,11,5
1,7:37.0,,Offensive rebound by S. Adams,11,5
1,7:37.0,,S. Adams makes 2-pt layup from 1 ft,11,7
1,7:29.0,J. Holiday misses 3-pt jump shot from 22 ft,,11,7
1,7:27.0,,Defensive rebound by J. Grant,11,7
1,7:16.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by J. Grant),11,10
1,7:00.0,K. Dunn makes 2-pt layup from 2 ft,,13,10
1,6:52.0,,Personal foul by J. Holiday (drawn by P. George),13,10
1,6:52.0,,Oklahoma City full timeout,13,10
1,6:42.0,,T. Ferguson misses 2-pt layup from 1 ft (block by W. Carter),13,10
1,6:39.0,Defensive rebound by L. Markkanen,,13,10
1,6:26.0,K. Dunn makes 2-pt jump shot from 6 ft (assist by W. Carter),,15,10
1,6:14.0,,Shooting foul by W. Carter (drawn by P. George),15,10
1,6:14.0,,P. George makes free throw 1 of 2,15,11
1,6:14.0,,D. Schröder enters the game for T. Ferguson,15,11
1,6:14.0,,P. George makes free throw 2 of 2,15,12
1,5:58.0,L. Markkanen misses 2-pt jump shot from 14 ft,,15,12
1,5:55.0,,Defensive rebound by S. Adams,15,12
1,5:50.0,,S. Adams makes 2-pt dunk from 1 ft (assist by P. George),15,14
1,5:34.0,Turnover by K. Dunn (bad pass; steal by R. Westbrook),,15,14
1,5:29.0,,R. Westbrook makes 2-pt layup from 1 ft,15,16
1,5:28.0,Chicago full timeout,,15,16
