QUARTER,TIME_REMAINING,DENVER_ACTION,LA LAKERS_ACTION,DENVER_SCORE,LA LAKERS_SCORE
1,4:36.0,Defensive rebound by J. Murray,,13,11
1,4:32.0,Personal foul by L. James (drawn by N. Jokić),,13,11
1,4:32.0,,L. Stephenson enters the game for L. James,13,11
1,4:28.0,Personal foul by K. Kuzma (drawn by N. Jokić),,13,11
1,4:22.0,N. Jokić misses 3-pt jump shot from 26 ft,,13,11
1,4:18.0,Offensive rebound by T. Craig,,13,11
1,4:12.0,N. Jokić makes 2-pt layup from 2 ft (assist by G. Harris),,15,11
1,4:00.0,,J. Hart misses 2-pt layup from 2 ft (block by N. Jokić),15,11
1,4:00.0,,Offensive rebound by Team,15,11
1,4:00.0,J. Hernangómez enters the game for T. Craig,,15,11
1,4:00.0,M. Morris enters the game for J. Murray,,15,11
1,4:00.0,,K. Caldwell-Pope enters the game for J. Hart,15,11
1,4:00.0,,Offensive foul by K. Kuzma (drawn by P. Millsap),15,11
1,4:00.0,,Turnover by K. Kuzma (offensive foul),15,11
1,3:42.0,P. Millsap misses 3-pt jump shot from 25 ft,,15,11
1,3:36.0,,Defensive rebound by L. Stephenson,15,11
1,3:32.0,,Personal foul by J. Hernangómez (drawn by J. Williams),15,11
1,3:32.0,T. Lyles enters the game for P. Millsap,,15,11
1,3:27.0,,Personal foul by T. Lyles (drawn by K. Kuzma),15,11
1,3:19.0,,Turnover by K. Caldwell-Pope (lost ball; steal by M. Morris),15,11
1,3:09.0,J. Hernangómez makes 2-pt dunk from 1 ft (assist by T. Lyles),,17,11
1,2:52.0,,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by L. Stephenson),17,14
1,2:34.0,G. Harris misses 2-pt layup from 1 ft,,17,14
1,2:32.0,,Defensive rebound by L. Ball,17,14
1,2:32.0,Denver full timeout,,17,14
1,2:32.0,M. Plumlee enters the game for N. Jokić,,17,14
1,2:32.0,,M. Beasley enters the game for L. Ball,17,14
1,2:32.0,,S. Mykhailiuk enters the game for K. Kuzma,17,14
1,2:21.0,,L. Stephenson makes 2-pt jump shot from 20 ft,17,16
1,2:04.0,G. Harris makes 3-pt jump shot from 27 ft (assist by M. Morris),,20,16
1,1:46.0,,S. Mykhailiuk makes 2-pt jump shot from 2 ft,20,18
1,1:32.0,Turnover by T. Lyles (bad pass; steal by L. Stephenson),,20,18
1,1:32.0,,Personal foul by G. Harris (drawn by K. Caldwell-Pope),20,18
1,1:32.0,,K. Caldwell-Pope makes free throw 1 of 2,20,19
1,1:32.0,J. Murray enters the game for G. Harris,,20,19
1,1:32.0,,J. McGee enters the game for J. Williams,20,19
1,1:32.0,,K. Caldwell-Pope makes free throw 2 of 2,20,20
1,1:21.0,T. Lyles misses 2-pt layup from 1 ft,,20,20
1,1:16.0,,Defensive rebound by L. Stephenson,20,20
1,1:13.0,,Turnover by L. Stephenson (bad pass; steal by M. Plumlee),20,20
1,1:00.0,T. Lyles makes 2-pt layup from 3 ft,,22,20
1,1:00.0,,Violation by Team (def goaltending),22,20
1,0:49.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. Stephenson),22,22
1,0:32.0,M. Plumlee makes 2-pt layup from 2 ft (assist by T. Lyles),,24,22
1,0:20.0,,Offensive foul by M. Beasley (drawn by M. Plumlee),24,22
1,0:20.0,,Turnover by M. Beasley (offensive foul),24,22
1,0:00.0,T. Lyles makes 2-pt layup from 3 ft (assist by M. Morris),,26,22
1,0:00.0,,Violation by Team (def goaltending),26,22
2,11:48.0,,L. James makes 2-pt layup from 1 ft (assist by L. Stephenson),26,24
2,11:34.0,T. Lyles makes 3-pt jump shot from 27 ft (assist by M. Plumlee),,29,24
2,11:21.0,,J. McGee makes 2-pt dunk from 1 ft (assist by S. Mykhailiuk),29,26
2,11:21.0,,Personal foul by M. Plumlee (drawn by J. McGee),29,26
2,11:21.0,,J. McGee makes free throw 1 of 1,29,27
2,11:11.0,M. Morris misses 2-pt layup from 2 ft,,29,27
2,11:07.0,,Defensive rebound by L. James,29,27
2,11:06.0,,Shooting foul by J. Hernangómez (drawn by L. James),29,27
2,11:06.0,,L. James makes free throw 1 of 2,29,28
2,11:06.0,,L. James makes free throw 2 of 2,29,29
2,10:52.0,J. Murray makes 2-pt jump shot from 13 ft,,31,29
2,10:33.0,,J. McGee misses 2-pt jump shot from 9 ft,31,29
2,10:30.0,,Offensive rebound by J. McGee,31,29
2,10:27.0,,J. McGee misses 2-pt jump shot from 6 ft,31,29
2,10:25.0,Defensive rebound by T. Lyles,,31,29
2,10:16.0,T. Lyles misses 3-pt jump shot from 24 ft,,31,29
2,10:10.0,,Defensive rebound by S. Mykhailiuk,31,29
2,10:04.0,,L. Stephenson makes 2-pt jump shot from 21 ft (assist by L. James),31,31
2,9:48.0,M. Plumlee makes 2-pt dunk from 1 ft,,33,31
2,9:48.0,Shooting foul by J. McGee (drawn by M. Plumlee),,33,31
2,9:48.0,M. Plumlee misses free throw 1 of 1,,33,31
2,9:48.0,,Defensive rebound by L. James,33,31
2,9:39.0,,K. Caldwell-Pope misses 2-pt jump shot from 14 ft,33,31
2,9:32.0,Defensive rebound by T. Lyles,,33,31
2,9:23.0,J. Murray misses 2-pt jump shot from 20 ft,,33,31
2,9:18.0,,Defensive rebound by K. Caldwell-Pope,33,31
2,9:15.0,,Turnover by K. Caldwell-Pope (bad pass; steal by M. Morris),33,31
2,9:09.0,J. Hernangómez misses 3-pt jump shot from 24 ft,,33,31
2,9:04.0,Offensive rebound by M. Plumlee,,33,31
2,9:04.0,M. Plumlee makes 2-pt layup at rim,,35,31
2,9:04.0,,LA Lakers full timeout,35,31
2,8:48.0,,L. Stephenson misses 2-pt layup from 2 ft,35,31
2,8:46.0,,Offensive rebound by J. McGee,35,31
2,8:46.0,,J. McGee makes 2-pt layup from 1 ft,35,33
2,8:32.0,J. Murray makes 2-pt jump shot from 10 ft (assist by M. Morris),,37,33
2,8:17.0,,S. Mykhailiuk makes 2-pt layup from 1 ft (assist by L. James),37,35
2,7:54.0,M. Morris misses 2-pt layup from 2 ft,,37,35
2,7:52.0,,Defensive rebound by L. James,37,35
2,7:48.0,,S. Mykhailiuk misses 2-pt jump shot from 21 ft,37,35
2,7:48.0,,Offensive rebound by S. Mykhailiuk,37,35
2,7:37.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by L. James),37,38
2,7:34.0,Denver full timeout,,37,38
2,7:34.0,T. Craig enters the game for J. Hernangómez,,37,38
2,7:34.0,G. Harris enters the game for J. Murray,,37,38
2,7:34.0,N. Jokić enters the game for M. Plumlee,,37,38
2,7:34.0,,J. Hart enters the game for L. Stephenson,37,38
2,7:21.0,T. Lyles misses 2-pt jump shot from 14 ft,,37,38
2,7:18.0,,Defensive rebound by L. James,37,38
2,7:09.0,,Turnover by J. Hart (lost ball; steal by T. Lyles),37,38
2,7:07.0,Turnover by T. Lyles (bad pass; steal by J. McGee),,37,38
2,6:57.0,,J. Hart misses 3-pt jump shot from 25 ft,37,38
2,6:54.0,Defensive rebound by M. Morris,,37,38
2,6:51.0,T. Lyles makes 2-pt dunk from 1 ft (assist by M. Morris),,39,38
2,6:31.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by L. James),39,41
2,6:18.0,Shooting foul by S. Mykhailiuk (drawn by M. Morris),,39,41
2,6:18.0,M. Morris makes free throw 1 of 2,,40,41
2,6:18.0,P. Millsap enters the game for T. Lyles,,40,41
2,6:18.0,,K. Kuzma enters the game for J. McGee,40,41
2,6:18.0,,J. Williams enters the game for S. Mykhailiuk,40,41
2,6:18.0,M. Morris makes free throw 2 of 2,,41,41
2,6:10.0,,Personal foul by P. Millsap (drawn by J. Williams),41,41
2,6:03.0,,K. Kuzma makes 2-pt jump shot from 4 ft (assist by L. James),41,43
2,5:47.0,G. Harris misses 2-pt layup from 2 ft,,41,43
2,5:45.0,,Defensive rebound by K. Caldwell-Pope,41,43
2,5:40.0,,L. James makes 2-pt jump shot from 9 ft,41,45
2,5:26.0,N. Jokić makes 2-pt jump shot from 9 ft (assist by M. Morris),,43,45
2,5:26.0,Shooting foul by J. Williams (drawn by N. Jokić),,43,45
2,5:26.0,,L. Ball enters the game for L. James,43,45
2,5:26.0,N. Jokić makes free throw 1 of 1,,44,45
2,5:10.0,,L. Ball misses 2-pt layup from 2 ft (block by P. Millsap),44,45
2,5:07.0,,Offensive rebound by J. Williams,44,45
2,5:03.0,,J. Hart misses 2-pt layup from 2 ft,44,45
2,5:01.0,Defensive rebound by N. Jokić,,44,45
2,4:58.0,T. Craig makes 2-pt layup from 2 ft (assist by M. Morris),,46,45
2,4:42.0,,J. Hart makes 2-pt layup from 1 ft (assist by L. Ball),46,47
2,4:25.0,Offensive foul by N. Jokić (drawn by J. Williams),,46,47
2,4:25.0,Turnover by N. Jokić (offensive foul),,46,47
2,4:12.0,,K. Kuzma misses 3-pt jump shot from 25 ft,46,47
2,4:07.0,Defensive rebound by M. Morris,,46,47
2,4:04.0,G. Harris misses 3-pt jump shot from 25 ft,,46,47
2,3:59.0,,Defensive rebound by K. Kuzma,46,47
2,3:57.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,46,47
2,3:53.0,Defensive rebound by G. Harris,,46,47
2,3:47.0,M. Morris makes 3-pt jump shot from 26 ft (assist by G. Harris),,49,47
2,3:34.0,,Turnover by L. Ball (lost ball; steal by T. Craig),49,47
2,3:31.0,M. Morris makes 2-pt layup from 1 ft,,51,47
2,3:31.0,,LA Lakers full timeout,51,47
2,3:31.0,J. Murray enters the game for M. Morris,,51,47
2,3:31.0,,L. James enters the game for K. Caldwell-Pope,51,47
2,3:31.0,,J. McGee enters the game for J. Williams,51,47
2,3:15.0,,Turnover by L. Ball (bad pass; steal by J. Murray),51,47
2,3:02.0,N. Jokić makes 2-pt layup from 1 ft,,53,47
2,2:51.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. James),53,49
2,2:35.0,Personal foul by J. McGee (drawn by N. Jokić),,53,49
2,2:31.0,N. Jokić misses 2-pt layup from 5 ft (block by J. McGee),,53,49
2,2:31.0,Offensive rebound by Team,,53,49
2,2:29.0,N. Jokić misses 3-pt jump shot from 26 ft,,53,49
2,2:24.0,,Defensive rebound by L. Ball,53,49
2,2:18.0,,J. McGee misses 2-pt layup from 2 ft (block by P. Millsap),53,49
2,2:15.0,,Offensive rebound by J. McGee,53,49
2,2:13.0,,L. James makes 2-pt layup from 1 ft (assist by L. Ball),53,51
2,2:05.0,Turnover by J. Murray (lost ball; steal by L. Ball),,53,51
2,2:02.0,,L. Ball makes 2-pt layup from 1 ft,53,53
2,1:44.0,P. Millsap misses 2-pt dunk from 2 ft,,53,53
2,1:42.0,Offensive rebound by P. Millsap,,53,53
2,1:36.0,Turnover by P. Millsap (lost ball; steal by L. James),,53,53
2,1:32.0,,Shooting foul by T. Craig (drawn by K. Kuzma),53,53
2,1:32.0,,K. Kuzma makes free throw 1 of 2,53,54
2,1:32.0,M. Morris enters the game for J. Murray,,53,54
2,1:32.0,,K. Kuzma makes free throw 2 of 2,53,55
2,1:20.0,G. Harris misses 2-pt jump shot from 8 ft,,53,55
2,1:15.0,Offensive rebound by M. Morris,,53,55
2,1:14.0,M. Morris makes 2-pt jump shot from 15 ft,,55,55
2,0:56.0,,L. James misses 2-pt jump shot from 16 ft,55,55
2,0:54.0,Defensive rebound by N. Jokić,,55,55
2,0:44.0,N. Jokić makes 2-pt layup from 4 ft,,57,55
2,0:33.0,,Turnover by L. James (out of bounds lost ball),57,55
2,0:23.0,Offensive foul by N. Jokić (drawn by J. McGee),,57,55
2,0:23.0,Turnover by N. Jokić (offensive foul),,57,55
2,0:23.0,M. Plumlee enters the game for N. Jokić,,57,55
2,0:00.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. Ball),57,58
3,11:49.0,,L. Ball makes 3-pt jump shot from 25 ft,57,61
3,11:31.0,Turnover by G. Harris (lost ball; steal by L. James),,57,61
3,11:25.0,,Shooting foul by T. Craig (drawn by L. James),57,61
3,11:25.0,,L. James makes free throw 1 of 2,57,62
3,11:25.0,,L. James makes free throw 2 of 2,57,63
3,11:14.0,J. Murray makes 2-pt jump shot from 3 ft,,59,63
3,10:53.0,,J. McGee misses 2-pt jump shot from 14 ft,59,63
3,10:49.0,Defensive rebound by N. Jokić,,59,63
3,10:45.0,Turnover by T. Craig (lost ball; steal by L. James),,59,63
3,10:40.0,,Turnover by J. Hart (bad pass),59,63
3,10:29.0,J. Murray makes 2-pt jump shot from 5 ft,,61,63
3,10:14.0,,L. James misses 3-pt jump shot from 26 ft,61,63
3,10:11.0,Defensive rebound by P. Millsap,,61,63
3,9:57.0,J. Murray makes 3-pt jump shot from 26 ft,,64,63
3,9:44.0,,J. McGee makes 2-pt layup from 1 ft (assist by L. Ball),64,65
3,9:31.0,G. Harris makes 2-pt jump shot from 5 ft (assist by N. Jokić),,66,65
3,9:17.0,,K. Kuzma makes 2-pt layup from 2 ft,66,67
3,9:03.0,Turnover by J. Murray (bad pass; steal by J. Hart),,66,67
3,9:00.0,,J. Hart makes 2-pt dunk from 1 ft,66,69
3,8:59.0,Denver full timeout,,66,69
