QUARTER,TIME_REMAINING,HOUSTON_ACTION,CLEVELAND_ACTION,HOUSTON_SCORE,CLEVELAND_SCORE
1,11:47.0,Turnover by J. Harden (bad pass; steal by D. Nwaba),,0,0
1,11:34.0,,C. Sexton misses 2-pt jump shot from 10 ft,0,0
1,11:33.0,,Offensive rebound by T. Thompson,0,0
1,11:33.0,,T. Thompson misses 2-pt layup at rim,0,0
1,11:33.0,,Offensive rebound by T. Thompson,0,0
1,11:27.0,,C. Sexton makes 2-pt jump shot from 11 ft (assist by T. Thompson),0,2
1,11:17.0,Turnover by J. Ennis (bad pass; steal by D. Nwaba),,0,2
1,11:07.0,,D. Nwaba makes 2-pt dunk from 1 ft,0,4
1,11:00.0,Turnover by J. Harden (out of bounds lost ball),,0,4
1,10:38.0,,R. Hood misses 2-pt jump shot from 6 ft,0,4
1,10:36.0,Defensive rebound by C. Capela,,0,4
1,10:33.0,Personal foul by R. Hood (drawn by C. Capela),,0,4
1,10:28.0,Turnover by J. Harden (lost ball; steal by C. Osman),,0,4
1,10:24.0,,Turnover by D. Nwaba (traveling),0,4
1,10:13.0,J. Harden misses 2-pt jump shot from 10 ft (block by D. Nwaba),,0,4
1,10:06.0,,Defensive rebound by T. Thompson,0,4
1,10:02.0,,Turnover by C. Osman (bad pass; steal by J. Harden),0,4
1,9:58.0,J. Ennis makes 2-pt layup at rim (assist by C. Capela),,2,4
1,9:37.0,,C. Sexton makes 2-pt jump shot from 17 ft,2,6
1,9:18.0,Turnover by E. Gordon (step out of bounds),,2,6
1,8:59.0,,Shooting foul by J. Ennis (drawn by C. Osman),2,6
1,8:59.0,,C. Osman makes free throw 1 of 2,2,7
1,8:59.0,,C. Osman makes free throw 2 of 2,2,8
1,8:49.0,Personal foul by D. Nwaba (drawn by J. Harden),,2,8
1,8:38.0,J. Harden misses 2-pt jump shot from 11 ft,,2,8
1,8:35.0,Offensive rebound by Team,,2,8
1,8:28.0,Shooting foul by C. Osman (drawn by J. Harden),,2,8
1,8:28.0,J. Harden makes free throw 1 of 2,,3,8
1,8:28.0,J. Harden makes free throw 2 of 2,,4,8
1,8:10.0,,D. Nwaba misses 2-pt jump shot from 8 ft,4,8
1,8:07.0,Defensive rebound by C. Capela,,4,8
1,8:05.0,Turnover by J. Harden (bad pass; steal by T. Thompson),,4,8
1,7:59.0,,C. Sexton makes 2-pt layup at rim (assist by C. Osman),4,10
1,7:46.0,Shooting foul by C. Osman (drawn by E. Gordon),,4,10
1,7:46.0,E. Gordon makes free throw 1 of 2,,5,10
1,7:46.0,E. Gordon makes free throw 2 of 2,,6,10
1,7:34.0,,D. Nwaba misses 3-pt jump shot from 25 ft,6,10
1,7:29.0,Defensive rebound by J. Ennis,,6,10
1,7:22.0,J. Harden misses 2-pt layup from 2 ft,,6,10
1,7:19.0,,Defensive rebound by T. Thompson,6,10
1,7:04.0,,T. Thompson makes 2-pt hook shot from 7 ft,6,12
1,6:51.0,Shooting foul by R. Hood (drawn by E. Gordon),,6,12
1,6:51.0,,Cleveland full timeout,6,12
1,6:51.0,G. Clark enters the game for J. Ennis,,6,12
1,6:51.0,,J. Clarkson enters the game for R. Hood,6,12
1,6:51.0,E. Gordon makes free throw 1 of 2,,7,12
1,6:51.0,E. Gordon makes free throw 2 of 2,,8,12
1,6:34.0,,Turnover by C. Sexton (lost ball; steal by E. Gordon),8,12
1,6:29.0,E. Gordon makes 2-pt layup from 1 ft,,10,12
1,6:17.0,,C. Sexton misses 3-pt jump shot from 25 ft,10,12
1,6:17.0,,Offensive rebound by Team,10,12
1,6:17.0,,K. Korver enters the game for D. Nwaba,10,12
1,6:17.0,,L. Nance enters the game for C. Osman,10,12
1,6:16.0,,Turnover by K. Korver (bad pass),10,12
1,6:09.0,Personal foul by C. Sexton (drawn by J. Harden),,10,12
1,6:09.0,J. Harden misses free throw 1 of 2,,10,12
1,6:09.0,Offensive rebound by Team,,10,12
1,6:09.0,J. Harden misses free throw 2 of 2,,10,12
1,6:05.0,,Defensive rebound by K. Korver,10,12
1,5:54.0,,J. Clarkson misses 2-pt jump shot from 16 ft,10,12
1,5:51.0,Defensive rebound by C. Capela,,10,12
1,5:46.0,J. Harden misses 3-pt jump shot from 28 ft,,10,12
1,5:41.0,Offensive rebound by C. Capela,,10,12
1,5:30.0,J. Harden makes 3-pt jump shot from 26 ft,,13,12
1,5:21.0,,Personal foul by J. Harden (drawn by L. Nance),13,12
1,5:21.0,G. Green enters the game for E. Gordon,,13,12
1,5:09.0,,K. Korver misses 2-pt jump shot from 22 ft,13,12
1,5:05.0,,Offensive rebound by J. Clarkson,13,12
1,5:03.0,,J. Clarkson makes 2-pt layup from 1 ft,13,14
1,4:51.0,Shooting foul by C. Sexton (drawn by J. Harden),,13,14
1,4:51.0,J. Harden makes free throw 1 of 2,,14,14
1,4:51.0,J. Harden misses free throw 2 of 2,,14,14
1,4:48.0,,Defensive rebound by T. Thompson,14,14
1,4:29.0,,J. Clarkson misses 2-pt jump shot from 2 ft,14,14
1,4:29.0,,Offensive rebound by T. Thompson,14,14
1,4:28.0,,T. Thompson misses 2-pt layup at rim,14,14
1,4:28.0,Defensive rebound by P. Tucker,,14,14
1,4:16.0,J. Harden makes 2-pt layup from 6 ft,,16,14
1,4:07.0,,Offensive foul by L. Nance (drawn by G. Clark),16,14
1,4:07.0,,Turnover by L. Nance (offensive foul),16,14
1,4:07.0,,Violation by Team (delay of game),16,14
1,4:07.0,I. Hartenstein enters the game for C. Capela,,16,14
1,4:07.0,,A. Harrison enters the game for C. Sexton,16,14
1,3:57.0,G. Clark makes 3-pt jump shot from 27 ft (assist by J. Harden),,19,14
1,3:35.0,,Shooting foul by P. Tucker (drawn by K. Korver),19,14
1,3:35.0,,K. Korver makes free throw 1 of 3,19,15
1,3:35.0,,K. Korver makes free throw 2 of 3,19,16
1,3:35.0,,K. Korver makes free throw 3 of 3,19,17
1,3:18.0,Personal foul by A. Harrison (drawn by G. Green),,19,17
1,3:18.0,G. Green makes free throw 1 of 2,,20,17
1,3:18.0,G. Green misses free throw 2 of 2,,20,17
1,3:16.0,,Defensive rebound by T. Thompson,20,17
1,2:58.0,,J. Clarkson makes 2-pt jump shot from 16 ft,20,19
1,2:40.0,J. Harden misses 3-pt jump shot from 26 ft,,20,19
1,2:37.0,,Defensive rebound by L. Nance,20,19
1,2:33.0,,T. Thompson makes 2-pt layup from 1 ft (assist by L. Nance),20,21
1,2:13.0,J. Harden makes 2-pt layup from 1 ft,,22,21
1,2:02.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Clarkson),22,24
1,1:44.0,G. Green makes 3-pt jump shot from 24 ft (assist by J. Harden),,25,24
1,1:16.0,,Shooting foul by I. Hartenstein (drawn by T. Thompson),25,24
1,1:16.0,Houston full timeout,,25,24
1,1:16.0,J. Ennis enters the game for I. Hartenstein,,25,24
1,1:16.0,,T. Thompson makes free throw 1 of 2,25,25
1,1:16.0,,T. Thompson misses free throw 2 of 2,25,25
1,1:14.0,Defensive rebound by G. Green,,25,25
1,1:00.0,J. Harden makes 2-pt layup from 1 ft,,27,25
1,0:44.0,,J. Clarkson makes 2-pt jump shot from 4 ft,27,27
1,0:29.0,J. Harden makes 3-pt jump shot from 26 ft,,30,27
1,0:08.0,,K. Korver misses 2-pt jump shot from 21 ft,30,27
1,0:08.0,,Offensive rebound by Team,30,27
1,0:08.0,Loose ball foul by P. Tucker (drawn by T. Thompson),,30,27
1,0:08.0,,T. Thompson makes free throw 1 of 2,30,28
1,0:08.0,,T. Thompson makes free throw 2 of 2,30,29
1,0:01.0,G. Clark misses 3-pt jump shot from 24 ft,,30,29
1,0:01.0,Offensive rebound by P. Tucker,,30,29
2,11:50.0,,Offensive foul by J. Clarkson (drawn by M. Carter-Williams),30,29
2,11:50.0,,Turnover by J. Clarkson (offensive foul),30,29
2,11:38.0,E. Gordon makes 2-pt jump shot from 8 ft,,32,29
2,11:21.0,,J. Clarkson misses 3-pt jump shot from 25 ft,32,29
2,11:18.0,,Offensive rebound by J. Clarkson,32,29
2,11:17.0,,Personal foul by M. Carter-Williams (drawn by J. Clarkson),32,29
2,11:03.0,,Turnover by J. Clarkson (lost ball; steal by E. Gordon),32,29
2,11:00.0,Turnover by J. Ennis (bad pass),,32,29
2,10:38.0,,Shooting foul by M. Carter-Williams (drawn by L. Nance),32,29
2,10:38.0,,L. Nance makes free throw 1 of 2,32,30
2,10:38.0,,L. Nance makes free throw 2 of 2,32,31
2,10:26.0,E. Gordon misses 3-pt jump shot from 28 ft,,32,31
2,10:21.0,,Defensive rebound by L. Nance,32,31
2,10:09.0,,D. Nwaba misses 2-pt layup from 1 ft,32,31
2,10:08.0,,Offensive rebound by D. Nwaba,32,31
2,10:08.0,,Shooting foul by J. Ennis (drawn by D. Nwaba),32,31
2,10:08.0,,D. Nwaba makes free throw 1 of 2,32,32
2,10:08.0,,D. Nwaba misses free throw 2 of 2,32,32
2,10:05.0,Defensive rebound by G. Clark,,32,32
2,9:56.0,Turnover by C. Capela (lost ball; steal by K. Korver),,32,32
2,9:51.0,,A. Harrison makes 2-pt layup from 1 ft,32,34
2,9:39.0,M. Carter-Williams makes 3-pt jump shot from 26 ft,,35,34
2,9:20.0,,D. Nwaba makes 2-pt dunk at rim (assist by J. Clarkson),35,36
