QUARTER,TIME_REMAINING,MIAMI_ACTION,INDIANA_ACTION,MIAMI_SCORE,INDIANA_SCORE
1,11:44.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by M. Turner),0,2
1,11:22.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),,2,2
1,10:56.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by D. Collison),2,5
1,10:43.0,J. Richardson makes 3-pt jump shot from 27 ft (assist by J. Winslow),,5,5
1,10:29.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by V. Oladipo),5,7
1,10:16.0,H. Whiteside makes 2-pt hook shot from 4 ft,,7,7
1,10:03.0,,T. Young misses 2-pt hook shot from 4 ft (block by H. Whiteside),7,7
1,10:00.0,Defensive rebound by J. Winslow,,7,7
1,9:57.0,J. Richardson makes 3-pt jump shot from 28 ft (assist by J. Winslow),,10,7
1,9:33.0,,Turnover by D. Collison (out of bounds lost ball),10,7
1,9:27.0,G. Dragić misses 3-pt jump shot from 27 ft,,10,7
1,9:25.0,,Defensive rebound by M. Turner,10,7
1,9:19.0,,M. Turner misses 3-pt jump shot from 26 ft,10,7
1,9:16.0,Defensive rebound by J. Winslow,,10,7
1,9:04.0,H. Whiteside makes 2-pt layup from 4 ft (assist by J. Richardson),,12,7
1,8:57.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by V. Oladipo),12,10
1,8:46.0,J. Winslow makes 3-pt jump shot from 26 ft (assist by G. Dragić),,15,10
1,8:33.0,,M. Turner misses 2-pt layup from 2 ft,15,10
1,8:30.0,Defensive rebound by H. Whiteside,,15,10
1,8:17.0,J. Winslow misses 3-pt jump shot from 26 ft,,15,10
1,8:14.0,,Defensive rebound by B. Bogdanović,15,10
1,8:05.0,,T. Young misses 3-pt jump shot from 23 ft,15,10
1,8:01.0,Defensive rebound by J. Richardson,,15,10
1,7:53.0,Turnover by G. Dragić (out of bounds lost ball),,15,10
1,7:49.0,,V. Oladipo misses 2-pt layup from 1 ft (block by H. Whiteside),15,10
1,7:46.0,Defensive rebound by R. McGruder,,15,10
1,7:38.0,Offensive foul by H. Whiteside (drawn by V. Oladipo),,15,10
1,7:38.0,Turnover by H. Whiteside (offensive foul),,15,10
1,7:28.0,,Turnover by B. Bogdanović (traveling),15,10
1,7:16.0,Turnover by J. Richardson (bad pass; steal by T. Young),,15,10
1,7:14.0,,Turnover by B. Bogdanović (traveling),15,10
1,7:01.0,G. Dragić makes 2-pt jump shot from 12 ft,,17,10
1,6:47.0,,M. Turner misses 2-pt layup from 1 ft,17,10
1,6:43.0,,Offensive rebound by T. Young,17,10
1,6:43.0,,T. Young makes 2-pt layup from 1 ft,17,12
1,6:31.0,J. Richardson misses 2-pt layup from 2 ft,,17,12
1,6:27.0,Offensive rebound by H. Whiteside,,17,12
1,6:27.0,H. Whiteside makes 2-pt dunk at rim,,19,12
1,6:16.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,19,12
1,6:13.0,Defensive rebound by J. Winslow,,19,12
1,5:58.0,J. Winslow misses 3-pt jump shot from 22 ft,,19,12
1,5:55.0,,Defensive rebound by T. Young,19,12
1,5:50.0,,Shooting foul by J. Winslow (drawn by M. Turner),19,12
1,5:50.0,,Indiana full timeout,19,12
1,5:50.0,T. Johnson enters the game for J. Richardson,,19,12
1,5:50.0,,M. Turner misses free throw 1 of 2,19,12
1,5:50.0,,Offensive rebound by Team,19,12
1,5:50.0,,M. Turner makes free throw 2 of 2,19,13
1,5:32.0,H. Whiteside misses 2-pt hook shot from 8 ft (block by M. Turner),,19,13
1,5:30.0,,Defensive rebound by V. Oladipo,19,13
1,5:24.0,,Personal foul by T. Johnson (drawn by B. Bogdanović),19,13
1,5:16.0,,D. Collison misses 2-pt jump shot from 19 ft,19,13
1,5:14.0,Defensive rebound by J. Winslow,,19,13
1,5:05.0,Personal foul by T. Young (drawn by T. Johnson),,19,13
1,4:48.0,Turnover by G. Dragić (lost ball; steal by D. Collison),,19,13
1,4:45.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,19,13
1,4:42.0,Defensive rebound by R. McGruder,,19,13
1,4:37.0,J. Winslow misses 2-pt layup from 1 ft (block by M. Turner),,19,13
1,4:34.0,,Defensive rebound by M. Turner,19,13
1,4:32.0,,D. Collison misses 2-pt layup from 1 ft,19,13
1,4:32.0,,Offensive rebound by B. Bogdanović,19,13
1,4:29.0,,B. Bogdanović misses 2-pt layup from 1 ft,19,13
1,4:28.0,Defensive rebound by T. Johnson,,19,13
1,4:23.0,R. McGruder makes 2-pt layup from 1 ft (assist by G. Dragić),,21,13
1,4:00.0,,M. Turner makes 2-pt hook shot from 5 ft (assist by V. Oladipo),21,15
1,3:46.0,Shooting foul by D. Collison (drawn by G. Dragić),,21,15
1,3:46.0,G. Dragić misses free throw 1 of 2,,21,15
1,3:46.0,Offensive rebound by Team,,21,15
1,3:46.0,B. Adebayo enters the game for H. Whiteside,,21,15
1,3:46.0,K. Olynyk enters the game for J. Winslow,,21,15
1,3:46.0,,T. Evans enters the game for B. Bogdanović,21,15
1,3:46.0,,C. Joseph enters the game for D. Collison,21,15
1,3:46.0,,D. Sabonis enters the game for T. Young,21,15
1,3:46.0,G. Dragić makes free throw 2 of 2,,22,15
1,3:39.0,,V. Oladipo misses 2-pt jump shot from 21 ft,22,15
1,3:36.0,Defensive rebound by K. Olynyk,,22,15
1,3:27.0,T. Johnson misses 2-pt jump shot from 9 ft,,22,15
1,3:24.0,,Defensive rebound by D. Sabonis,22,15
1,3:24.0,W. Ellington enters the game for G. Dragić,,22,15
1,3:14.0,,V. Oladipo misses 2-pt jump shot from 18 ft,22,15
1,3:10.0,Defensive rebound by K. Olynyk,,22,15
1,2:53.0,R. McGruder misses 3-pt jump shot from 23 ft,,22,15
1,2:51.0,Offensive rebound by K. Olynyk,,22,15
1,2:50.0,K. Olynyk misses 2-pt layup from 3 ft,,22,15
1,2:48.0,,Defensive rebound by T. Evans,22,15
1,2:44.0,,T. Evans misses 2-pt layup from 1 ft,22,15
1,2:41.0,Defensive rebound by T. Johnson,,22,15
1,2:34.0,W. Ellington misses 3-pt jump shot from 26 ft,,22,15
1,2:31.0,,Defensive rebound by T. Evans,22,15
1,2:20.0,,V. Oladipo misses 2-pt jump shot from 9 ft,22,15
1,2:17.0,Defensive rebound by B. Adebayo,,22,15
1,2:10.0,Miami full timeout,,22,15
1,2:10.0,J. Richardson enters the game for R. McGruder,,22,15
1,2:10.0,,D. McDermott enters the game for V. Oladipo,22,15
1,2:10.0,,T. Young enters the game for M. Turner,22,15
1,2:01.0,Turnover by K. Olynyk (traveling),,22,15
1,1:50.0,,Turnover by T. Young (bad pass; steal by J. Richardson),22,15
1,1:47.0,J. Richardson makes 2-pt layup from 1 ft,,24,15
1,1:31.0,,Turnover by T. Young (bad pass; steal by K. Olynyk),24,15
1,1:25.0,W. Ellington makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,27,15
1,1:11.0,,D. Sabonis misses 2-pt hook shot from 6 ft,27,15
1,1:09.0,Defensive rebound by J. Richardson,,27,15
1,1:00.0,K. Olynyk misses 3-pt jump shot from 27 ft,,27,15
1,0:57.0,,Defensive rebound by T. Evans,27,15
1,0:47.0,,T. Young misses 2-pt layup from 1 ft,27,15
1,0:46.0,Defensive rebound by K. Olynyk,,27,15
1,0:34.0,W. Ellington misses 3-pt jump shot from 25 ft,,27,15
1,0:31.0,,Defensive rebound by D. Sabonis,27,15
1,0:22.0,,T. Evans makes 3-pt jump shot from 25 ft,27,18
1,0:06.0,J. Richardson misses 2-pt jump shot from 10 ft,,27,18
1,0:04.0,,Defensive rebound by D. Sabonis,27,18
1,0:00.0,,T. Evans misses 3-pt jump shot from 26 ft,27,18
1,0:00.0,,Offensive rebound by Team,27,18
2,11:45.0,B. Adebayo misses 2-pt dunk from 1 ft,,27,18
2,11:42.0,,Defensive rebound by D. Sabonis,27,18
2,11:29.0,,C. Joseph makes 2-pt jump shot from 20 ft,27,20
2,11:18.0,W. Ellington misses 3-pt jump shot from 26 ft,,27,20
2,11:16.0,,Defensive rebound by T. Young,27,20
2,10:53.0,,T. Evans misses 2-pt jump shot from 20 ft,27,20
2,10:50.0,,Offensive rebound by T. Young,27,20
2,10:46.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by D. McDermott),27,23
