QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
1,11:41.0,E. Freedom makes 2-pt hook shot from 4 ft,,2,0
1,11:22.0,,Personal foul by M. Harkless (drawn by J. Murray),2,0
1,11:11.0,,J. Murray makes 3-pt jump shot from 24 ft,2,3
1,10:46.0,M. Harkless misses 2-pt layup from 3 ft,,2,3
1,10:44.0,,Defensive rebound by Team,2,3
1,10:38.0,Violation by Team (kicked ball),,2,3
1,10:31.0,,G. Harris misses 3-pt jump shot from 22 ft,2,3
1,10:28.0,Defensive rebound by M. Harkless,,2,3
1,10:22.0,D. Lillard misses 3-pt jump shot from 25 ft,,2,3
1,10:18.0,,Defensive rebound by G. Harris,2,3
1,10:14.0,,G. Harris makes 2-pt layup from 2 ft,2,5
1,9:59.0,E. Freedom misses 2-pt layup from 2 ft,,2,5
1,9:56.0,Offensive rebound by A. Aminu,,2,5
1,9:54.0,A. Aminu makes 2-pt jump shot from 4 ft,,4,5
1,9:43.0,,G. Harris makes 2-pt layup from 2 ft,4,7
1,9:24.0,C. McCollum misses 2-pt jump shot from 13 ft,,4,7
1,9:19.0,,Defensive rebound by N. Jokić,4,7
1,9:06.0,,P. Millsap misses 2-pt jump shot from 14 ft,4,7
1,9:04.0,Defensive rebound by E. Freedom,,4,7
1,8:54.0,C. McCollum misses 3-pt jump shot from 23 ft,,4,7
1,8:51.0,,Defensive rebound by N. Jokić,4,7
1,8:43.0,,Turnover by J. Murray (bad pass; steal by M. Harkless),4,7
1,8:34.0,D. Lillard misses 2-pt jump shot from 16 ft,,4,7
1,8:31.0,,Defensive rebound by Team,4,7
1,8:11.0,,Shooting foul by A. Aminu (drawn by T. Craig),4,7
1,8:11.0,,T. Craig makes free throw 1 of 2,4,8
1,8:11.0,,T. Craig misses free throw 2 of 2,4,8
1,8:08.0,Defensive rebound by M. Harkless,,4,8
1,7:59.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by C. McCollum),,7,8
1,7:34.0,,J. Murray misses 2-pt layup from 5 ft,7,8
1,7:33.0,,Offensive rebound by P. Millsap,7,8
1,7:28.0,,G. Harris makes 2-pt jump shot from 16 ft,7,10
1,7:15.0,E. Freedom makes 2-pt jump shot from 7 ft (assist by C. McCollum),,9,10
1,7:03.0,,N. Jokić misses 2-pt jump shot from 6 ft,9,10
1,7:00.0,Defensive rebound by A. Aminu,,9,10
1,6:56.0,C. McCollum makes 3-pt jump shot from 24 ft,,12,10
1,6:37.0,,J. Murray misses 3-pt jump shot from 25 ft,12,10
1,6:35.0,Defensive rebound by E. Freedom,,12,10
