QUARTER,TIME_REMAINING,ORLANDO_ACTION,SACRAMENTO_ACTION,ORLANDO_SCORE,SACRAMENTO_SCORE
1,11:44.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Bogdanović),0,2
1,11:23.0,N. Vučević makes 2-pt hook shot from 9 ft,,2,2
1,11:14.0,,D. Fox misses 2-pt jump shot from 9 ft,2,2
1,11:11.0,Defensive rebound by N. Vučević,,2,2
1,11:05.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),,5,2
1,10:55.0,,W. Cauley-Stein misses 2-pt hook shot from 2 ft,5,2
1,10:55.0,Defensive rebound by N. Vučević,,5,2
1,10:47.0,Turnover by D. Augustin (bad pass; steal by B. Bogdanović),,5,2
1,10:37.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Bogdanović),5,4
1,10:14.0,N. Vučević misses 2-pt jump shot from 21 ft,,5,4
1,10:12.0,,Defensive rebound by B. Hield,5,4
1,9:59.0,,W. Cauley-Stein misses 2-pt hook shot from 4 ft,5,4
1,9:56.0,Defensive rebound by N. Vučević,,5,4
1,9:50.0,A. Gordon misses 2-pt jump shot from 19 ft,,5,4
1,9:47.0,,Defensive rebound by W. Cauley-Stein,5,4
1,9:35.0,,N. Bjelica misses 2-pt jump shot from 21 ft,5,4
1,9:31.0,Defensive rebound by A. Gordon,,5,4
1,9:20.0,Shooting foul by B. Bogdanović (drawn by A. Gordon),,5,4
1,9:20.0,A. Gordon makes free throw 1 of 2,,6,4
1,9:20.0,A. Gordon makes free throw 2 of 2,,7,4
1,9:08.0,,D. Fox makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),7,6
1,8:46.0,Shooting foul by W. Cauley-Stein (drawn by E. Fournier),,7,6
1,8:46.0,E. Fournier makes free throw 1 of 2,,8,6
1,8:46.0,E. Fournier makes free throw 2 of 2,,9,6
1,8:37.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Fox),9,8
1,8:20.0,A. Gordon misses 3-pt jump shot from 25 ft,,9,8
1,8:17.0,,Defensive rebound by B. Bogdanović,9,8
1,8:11.0,,D. Fox misses 3-pt jump shot from 23 ft,9,8
1,8:08.0,Defensive rebound by N. Vučević,,9,8
1,7:54.0,J. Isaac misses 2-pt layup from 3 ft,,9,8
1,7:52.0,,Defensive rebound by W. Cauley-Stein,9,8
1,7:44.0,,D. Fox misses 3-pt jump shot from 25 ft,9,8
1,7:40.0,Defensive rebound by N. Vučević,,9,8
1,7:33.0,Shooting foul by D. Fox (drawn by D. Augustin),,9,8
1,7:33.0,D. Augustin makes free throw 1 of 3,,10,8
1,7:33.0,D. Augustin makes free throw 2 of 3,,11,8
1,7:33.0,D. Augustin makes free throw 3 of 3,,12,8
1,7:21.0,,Turnover by B. Bogdanović (bad pass; steal by N. Vučević),12,8
1,7:09.0,Turnover by J. Isaac (step out of bounds),,12,8
1,7:01.0,,B. Hield makes 3-pt jump shot from 25 ft,12,11
1,6:43.0,N. Vučević makes 2-pt hook shot from 10 ft,,14,11
