QUARTER,TIME_REMAINING,NEW YORK_ACTION,DETROIT_ACTION,NEW YORK_SCORE,DETROIT_SCORE
1,11:41.0,,A. Drummond misses 2-pt hook shot from 6 ft (block by D. Jordan),0,0
1,11:38.0,Defensive rebound by K. Knox,,0,0
1,11:23.0,N. Vonleh misses 3-pt jump shot from 26 ft,,0,0
1,11:20.0,Offensive rebound by D. Jordan,,0,0
1,11:20.0,Shooting foul by A. Drummond (drawn by D. Smith),,0,0
1,11:20.0,D. Smith makes free throw 1 of 2,,1,0
1,11:20.0,D. Smith misses free throw 2 of 2,,1,0
1,11:17.0,,Defensive rebound by L. Galloway,1,0
1,10:58.0,,R. Jackson misses 2-pt layup from 2 ft,1,0
1,10:57.0,,Offensive rebound by A. Drummond,1,0
1,10:56.0,,A. Drummond makes 2-pt layup from 1 ft,1,2
1,10:46.0,N. Vonleh misses 3-pt jump shot from 25 ft,,1,2
1,10:44.0,,Defensive rebound by A. Drummond,1,2
1,10:42.0,,Shooting foul by N. Vonleh (drawn by B. Griffin),1,2
1,10:42.0,,B. Griffin makes free throw 1 of 2,1,3
1,10:42.0,,B. Griffin makes free throw 2 of 2,1,4
1,10:29.0,N. Vonleh misses 2-pt hook shot from 6 ft,,1,4
1,10:26.0,,Defensive rebound by A. Drummond,1,4
1,10:19.0,,R. Jackson makes 2-pt layup from 2 ft,1,6
1,10:08.0,D. Jordan makes 2-pt layup from 3 ft (assist by D. Smith),,3,6
1,10:03.0,,Shooting foul by K. Knox (drawn by A. Drummond),3,6
1,10:03.0,,A. Drummond makes free throw 1 of 2,3,7
1,10:03.0,,A. Drummond makes free throw 2 of 2,3,8
1,9:49.0,D. Smith misses 3-pt jump shot from 26 ft,,3,8
1,9:45.0,Offensive rebound by D. Jordan,,3,8
1,9:41.0,D. Smith misses 2-pt layup from 3 ft (block by A. Drummond),,3,8
1,9:38.0,,Defensive rebound by B. Griffin,3,8
1,9:34.0,,R. Jackson misses 2-pt layup from 9 ft,3,8
1,9:30.0,,Offensive rebound by A. Drummond,3,8
1,9:29.0,,A. Drummond makes 2-pt hook shot from 4 ft,3,10
1,9:20.0,Personal foul by B. Griffin (drawn by N. Vonleh),,3,10
1,9:08.0,D. Dotson misses 3-pt jump shot from 23 ft,,3,10
1,9:05.0,,Defensive rebound by Team,3,10
1,8:54.0,,R. Jackson makes 3-pt jump shot from 24 ft (assist by B. Griffin),3,13
1,8:51.0,Turnover by D. Jordan (inbound),,3,13
1,8:43.0,,B. Griffin makes 2-pt jump shot from 13 ft (assist by L. Galloway),3,15
1,8:37.0,New York full timeout,,3,15
1,8:37.0,L. Thomas enters the game for N. Vonleh,,3,15
1,8:32.0,K. Knox misses 2-pt jump shot from 12 ft,,3,15
1,8:32.0,Offensive rebound by Team,,3,15
1,8:30.0,D. Dotson makes 2-pt jump shot from 17 ft (assist by K. Knox),,5,15
1,8:04.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),5,18
1,7:48.0,L. Thomas misses 3-pt jump shot from 25 ft,,5,18
1,7:46.0,,Defensive rebound by A. Drummond,5,18
1,7:42.0,,B. Griffin makes 2-pt layup from 3 ft (assist by R. Jackson),5,20
1,7:42.0,,Shooting foul by L. Thomas (drawn by B. Griffin),5,20
1,7:42.0,,B. Griffin makes free throw 1 of 1,5,21
1,7:25.0,D. Smith makes 3-pt jump shot from 24 ft (assist by L. Thomas),,8,21
1,7:08.0,,R. Jackson makes 3-pt jump shot from 28 ft,8,24
1,6:43.0,K. Knox misses 3-pt jump shot from 25 ft,,8,24
1,6:39.0,,Defensive rebound by B. Griffin,8,24
1,6:33.0,,L. Galloway misses 3-pt jump shot from 24 ft,8,24
1,6:31.0,Defensive rebound by D. Jordan,,8,24
1,6:15.0,D. Dotson misses 2-pt jump shot from 3 ft,,8,24
1,6:15.0,,Defensive rebound by Team,8,24
1,6:15.0,M. Robinson enters the game for D. Jordan,,8,24
1,6:15.0,A. Trier enters the game for K. Knox,,8,24
1,6:07.0,,R. Jackson misses 3-pt jump shot from 25 ft,8,24
1,6:03.0,Defensive rebound by D. Dotson,,8,24
1,5:58.0,Shooting foul by B. Brown (drawn by D. Smith),,8,24
1,5:58.0,D. Smith makes free throw 1 of 2,,9,24
1,5:58.0,D. Smith makes free throw 2 of 2,,10,24
1,5:46.0,,B. Griffin makes 2-pt hook shot from 6 ft,10,26
1,5:33.0,L. Thomas misses 2-pt hook shot from 6 ft,,10,26
1,5:31.0,,Defensive rebound by A. Drummond,10,26
1,5:31.0,,Personal take foul by D. Smith (drawn by B. Brown),10,26
1,5:20.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by R. Jackson),10,28
1,4:55.0,L. Thomas misses 2-pt dunk from 1 ft,,10,28
1,4:52.0,,Defensive rebound by R. Jackson,10,28
1,4:48.0,,Turnover by R. Jackson (bad pass; steal by D. Smith),10,28
1,4:45.0,D. Smith makes 2-pt dunk at rim,,12,28
1,4:23.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by L. Galloway),12,30
1,4:05.0,L. Thomas makes 2-pt jump shot from 22 ft (assist by M. Robinson),,14,30
1,3:57.0,,B. Griffin misses 3-pt jump shot from 26 ft,14,30
1,3:55.0,Defensive rebound by A. Trier,,14,30
1,3:50.0,Shooting foul by B. Brown (drawn by D. Smith),,14,30
1,3:50.0,D. Smith misses free throw 1 of 3,,14,30
1,3:50.0,Offensive rebound by Team,,14,30
1,3:50.0,D. Smith makes free throw 2 of 3,,15,30
1,3:50.0,M. Hezonja enters the game for D. Dotson,,15,30
1,3:50.0,,L. Kennard enters the game for B. Brown,15,30
1,3:50.0,,I. Smith enters the game for R. Jackson,15,30
1,3:50.0,D. Smith makes free throw 3 of 3,,16,30
1,3:38.0,,L. Galloway misses 3-pt jump shot from 24 ft,16,30
1,3:34.0,Defensive rebound by M. Hezonja,,16,30
1,3:20.0,Shooting foul by L. Kennard (drawn by M. Robinson),,16,30
1,3:20.0,M. Robinson makes free throw 1 of 2,,17,30
1,3:20.0,K. Allen enters the game for D. Smith,,17,30
1,3:20.0,M. Robinson makes free throw 2 of 2,,18,30
1,3:16.0,,Detroit full timeout,18,30
1,3:10.0,,Personal foul by K. Allen (drawn by I. Smith),18,30
1,3:10.0,,I. Smith makes free throw 1 of 2,18,31
1,3:10.0,,I. Smith makes free throw 2 of 2,18,32
1,2:45.0,M. Hezonja misses 2-pt layup from 4 ft,,18,32
1,2:44.0,Offensive rebound by M. Robinson,,18,32
1,2:43.0,M. Robinson makes 2-pt layup from 1 ft,,20,32
1,2:30.0,,I. Smith makes 2-pt layup from 3 ft,20,34
1,2:13.0,M. Hezonja misses 2-pt jump shot from 14 ft,,20,34
1,2:12.0,Offensive rebound by Team,,20,34
1,2:12.0,,Loose ball foul by B. Griffin (drawn by M. Robinson),20,34
1,2:12.0,M. Robinson makes free throw 1 of 2,,21,34
