QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MINNESOTA_ACTION,BROOKLYN_SCORE,MINNESOTA_SCORE
1,11:44.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by A. Wiggins),0,2
1,11:20.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by D. Russell),,2,2
1,11:04.0,,D. Rose misses 2-pt jump shot from 18 ft,2,2
1,11:02.0,Defensive rebound by D. Russell,,2,2
1,10:54.0,D. Russell misses 2-pt jump shot from 9 ft,,2,2
1,10:51.0,Offensive rebound by R. Hollis-Jefferson,,2,2
1,10:50.0,C. LeVert misses 3-pt jump shot from 26 ft,,2,2
1,10:48.0,,Defensive rebound by K. Towns,2,2
1,10:41.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),2,4
1,10:30.0,Shooting foul by A. Wiggins (drawn by D. Russell),,2,4
1,10:30.0,D. Russell makes free throw 1 of 2,,3,4
1,10:30.0,D. Russell makes free throw 2 of 2,,4,4
1,10:21.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),4,6
1,10:12.0,C. LeVert makes 2-pt layup from 2 ft (assist by D. Russell),,6,6
1,10:02.0,,J. Teague makes 2-pt layup from 1 ft,6,8
1,9:49.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by C. LeVert),,8,8
1,9:33.0,,J. Teague makes 2-pt jump shot from 12 ft,8,10
1,9:17.0,D. Russell misses 2-pt layup from 8 ft,,8,10
1,9:14.0,,Defensive rebound by K. Towns,8,10
1,9:09.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by J. Teague),8,13
1,8:45.0,J. Dudley misses 2-pt jump shot from 15 ft,,8,13
1,8:42.0,,Defensive rebound by K. Towns,8,13
1,8:36.0,,Turnover by T. Gibson (lost ball; steal by J. Dudley),8,13
1,8:30.0,C. LeVert misses 2-pt layup from 7 ft,,8,13
1,8:27.0,Offensive rebound by C. LeVert,,8,13
1,8:25.0,D. Russell misses 3-pt jump shot from 23 ft,,8,13
1,8:23.0,Offensive rebound by J. Harris,,8,13
1,8:21.0,D. Russell makes 3-pt jump shot from 23 ft (assist by J. Harris),,11,13
1,8:11.0,,Turnover by J. Teague (traveling),11,13
1,8:03.0,Shooting foul by K. Towns (drawn by R. Hollis-Jefferson),,11,13
1,8:03.0,R. Hollis-Jefferson misses free throw 1 of 2,,11,13
1,8:03.0,Offensive rebound by Team,,11,13
1,8:03.0,R. Hollis-Jefferson misses free throw 2 of 2,,11,13
1,8:01.0,,Defensive rebound by T. Gibson,11,13
1,7:51.0,,K. Towns makes 2-pt jump shot from 5 ft (assist by D. Rose),11,15
1,7:51.0,,Shooting foul by R. Hollis-Jefferson (drawn by K. Towns),11,15
1,7:51.0,,K. Towns makes free throw 1 of 1,11,16
1,7:43.0,Turnover by D. Russell (bad pass; steal by K. Towns),,11,16
1,7:31.0,,T. Gibson misses 2-pt jump shot from 15 ft,11,16
1,7:28.0,,Offensive rebound by K. Towns,11,16
1,7:26.0,,D. Rose misses 3-pt jump shot from 26 ft,11,16
1,7:21.0,Defensive rebound by J. Harris,,11,16
1,7:13.0,J. Harris misses 2-pt layup from 2 ft (block by A. Wiggins),,11,16
1,7:11.0,,Defensive rebound by K. Towns,11,16
1,7:09.0,,J. Teague misses 3-pt jump shot from 25 ft,11,16
1,7:06.0,Defensive rebound by R. Hollis-Jefferson,,11,16
1,7:06.0,Brooklyn full timeout,,11,16
1,6:50.0,D. Russell makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),,14,16
1,6:34.0,,Turnover by K. Towns (3 sec),14,16
1,6:15.0,C. LeVert makes 2-pt dunk at rim (assist by D. Russell),,16,16
1,5:53.0,,A. Wiggins misses 2-pt jump shot from 16 ft,16,16
1,5:51.0,Defensive rebound by C. LeVert,,16,16
1,5:37.0,Turnover by C. LeVert (lost ball; steal by D. Rose),,16,16
1,5:33.0,,D. Rose makes 2-pt layup from 1 ft,16,18
1,5:14.0,R. Hollis-Jefferson misses 2-pt jump shot from 12 ft (block by K. Towns),,16,18
