QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,OKLAHOMA CITY_ACTION,LA CLIPPERS_SCORE,OKLAHOMA CITY_SCORE
1,11:42.0,,Turnover by J. Grant (traveling),0,0
1,11:27.0,D. Gallinari misses 2-pt jump shot from 14 ft,,0,0
1,11:25.0,,Defensive rebound by S. Adams,0,0
1,11:15.0,,P. George misses 2-pt jump shot from 13 ft,0,0
1,11:12.0,Defensive rebound by P. Beverley,,0,0
1,11:05.0,P. Beverley makes 2-pt layup at rim,,2,0
1,10:52.0,,Turnover by P. George (bad pass; steal by A. Bradley),2,0
1,10:48.0,D. Gallinari makes 2-pt layup from 1 ft (assist by A. Bradley),,4,0
1,10:48.0,Shooting foul by T. Ferguson (drawn by D. Gallinari),,4,0
1,10:48.0,D. Gallinari makes free throw 1 of 1,,5,0
1,10:29.0,,R. Westbrook misses 2-pt layup from 1 ft,5,0
1,10:26.0,,Offensive rebound by S. Adams,5,0
1,10:26.0,,S. Adams makes 2-pt layup at rim,5,2
1,10:15.0,P. Beverley misses 3-pt jump shot from 25 ft,,5,2
1,10:13.0,,Defensive rebound by P. George,5,2
1,10:07.0,,P. George misses 2-pt jump shot from 19 ft,5,2
1,10:04.0,Defensive rebound by M. Gortat,,5,2
1,9:58.0,P. Beverley misses 2-pt jump shot from 12 ft,,5,2
1,9:55.0,,Defensive rebound by S. Adams,5,2
1,9:50.0,,Personal foul by P. Beverley (drawn by R. Westbrook),5,2
1,9:40.0,,S. Adams makes 2-pt jump shot from 11 ft (assist by R. Westbrook),5,4
1,9:26.0,A. Bradley makes 2-pt jump shot from 5 ft (assist by P. Beverley),,7,4
1,9:09.0,,R. Westbrook makes 2-pt layup from 1 ft,7,6
1,8:59.0,Shooting foul by J. Grant (drawn by M. Gortat),,7,6
1,8:59.0,M. Gortat makes free throw 1 of 2,,8,6
1,8:59.0,M. Gortat makes free throw 2 of 2,,9,6
1,8:50.0,,Turnover by P. George (traveling),9,6
1,8:41.0,A. Bradley misses 2-pt layup from 3 ft,,9,6
1,8:38.0,,Defensive rebound by J. Grant,9,6
1,8:29.0,,R. Westbrook makes 2-pt layup from 1 ft,9,8
1,8:17.0,Offensive foul by M. Gortat (drawn by J. Grant),,9,8
1,8:17.0,Turnover by M. Gortat (offensive foul),,9,8
1,8:08.0,,S. Adams misses 2-pt jump shot from 7 ft,9,8
1,8:05.0,Defensive rebound by A. Bradley,,9,8
1,7:57.0,Shooting foul by R. Westbrook (drawn by M. Gortat),,9,8
1,7:57.0,M. Gortat makes free throw 1 of 2,,10,8
1,7:57.0,M. Gortat misses free throw 2 of 2,,10,8
1,7:56.0,,Defensive rebound by R. Westbrook,10,8
1,7:37.0,,R. Westbrook makes 2-pt layup from 2 ft,10,10
1,7:37.0,,Violation by Team (delay of game),10,10
