QUARTER,TIME_REMAINING,NEW YORK_ACTION,CLEVELAND_ACTION,NEW YORK_SCORE,CLEVELAND_SCORE
1,11:40.0,,R. Hood makes 2-pt jump shot from 16 ft,0,2
1,11:13.0,E. Mudiay misses 2-pt jump shot from 17 ft,,0,2
1,11:12.0,Offensive rebound by E. Freedom,,0,2
1,11:12.0,E. Freedom makes 2-pt layup at rim,,2,2
1,10:56.0,,Shooting foul by N. Vonleh (drawn by C. Osman),2,2
1,10:56.0,,C. Osman makes free throw 1 of 2,2,3
1,10:56.0,,C. Osman makes free throw 2 of 2,2,4
1,10:42.0,E. Mudiay makes 2-pt jump shot from 14 ft,,4,4
1,10:26.0,,C. Osman misses 3-pt jump shot from 25 ft,4,4
1,10:24.0,,Offensive rebound by A. Burks,4,4
1,10:17.0,,C. Frye misses 3-pt jump shot from 26 ft,4,4
1,10:09.0,Defensive rebound by E. Mudiay,,4,4
1,10:02.0,E. Mudiay makes 2-pt jump shot from 4 ft,,6,4
1,9:42.0,,R. Hood makes 2-pt jump shot from 4 ft,6,6
1,9:34.0,E. Mudiay misses 3-pt jump shot from 26 ft,,6,6
1,9:34.0,,Defensive rebound by C. Osman,6,6
1,9:19.0,,C. Sexton makes 2-pt jump shot from 9 ft,6,8
1,8:58.0,E. Freedom makes 2-pt layup from 1 ft,,8,8
1,8:50.0,,Personal foul by K. Knox (drawn by C. Frye),8,8
1,8:45.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by C. Frye),8,11
1,8:29.0,Personal foul by C. Sexton (drawn by E. Mudiay),,8,11
1,8:26.0,Personal foul by R. Hood (drawn by K. Knox),,8,11
1,8:17.0,E. Mudiay misses 2-pt layup from 2 ft,,8,11
1,8:15.0,Offensive rebound by T. Hardaway,,8,11
1,8:13.0,T. Hardaway misses 3-pt jump shot from 25 ft,,8,11
1,8:13.0,Offensive rebound by Team,,8,11
1,8:11.0,T. Hardaway misses 2-pt jump shot from 12 ft,,8,11
1,8:11.0,,Defensive rebound by Team,8,11
1,8:11.0,Loose ball foul by E. Freedom (drawn by C. Frye),,8,11
1,7:57.0,,C. Frye misses 3-pt jump shot from 25 ft,8,11
1,7:54.0,Defensive rebound by K. Knox,,8,11
1,7:47.0,E. Mudiay misses 3-pt jump shot from 24 ft,,8,11
1,7:45.0,,Defensive rebound by C. Frye,8,11
