QUARTER,TIME_REMAINING,UTAH_ACTION,MILWAUKEE_ACTION,UTAH_SCORE,MILWAUKEE_SCORE
1,11:38.0,,K. Middleton misses 2-pt layup from 3 ft (block by D. Favors),0,0
1,11:33.0,,Offensive rebound by B. Lopez,0,0
1,11:32.0,,B. Lopez makes 2-pt layup from 2 ft,0,2
1,11:21.0,R. Rubio misses 2-pt jump shot from 20 ft,,0,2
1,11:18.0,,Defensive rebound by B. Lopez,0,2
1,11:10.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,0,4
1,10:56.0,D. Favors misses 3-pt jump shot from 23 ft,,0,4
1,10:54.0,,Defensive rebound by K. Middleton,0,4
1,10:51.0,,K. Middleton misses 3-pt jump shot from 27 ft,0,4
1,10:48.0,Defensive rebound by D. Favors,,0,4
1,10:42.0,Turnover by D. Mitchell (step out of bounds),,0,4
1,10:25.0,,Turnover by B. Lopez (bad pass; steal by R. Rubio),0,4
1,10:17.0,R. Rubio makes 2-pt layup from 2 ft,,2,4
1,10:04.0,,M. Brogdon misses 2-pt jump shot from 19 ft,2,4
1,10:04.0,Defensive rebound by R. Gobert,,2,4
1,9:54.0,R. Gobert misses 2-pt layup from 3 ft (block by G. Antetokounmpo),,2,4
1,9:52.0,,Defensive rebound by K. Middleton,2,4
1,9:48.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by M. Brogdon),2,6
1,9:48.0,Utah full timeout,,2,6
1,9:35.0,R. Rubio makes 3-pt jump shot from 24 ft (assist by J. Ingles),,5,6
1,9:10.0,,G. Antetokounmpo misses 2-pt jump shot from 8 ft,5,6
1,9:08.0,Defensive rebound by R. Gobert,,5,6
1,8:59.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Rubio),,7,6
1,8:49.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),7,9
1,8:34.0,Offensive foul by R. Rubio (drawn by E. Bledsoe),,7,9
1,8:34.0,Turnover by R. Rubio (offensive foul),,7,9
1,8:21.0,,Turnover by E. Bledsoe (traveling),7,9
1,8:01.0,R. Rubio makes 2-pt jump shot from 15 ft (assist by D. Favors),,9,9
1,7:52.0,,Turnover by E. Bledsoe (bad pass; steal by R. Gobert),9,9
1,7:46.0,D. Mitchell misses 2-pt layup from 3 ft,,9,9
1,7:43.0,,Defensive rebound by B. Lopez,9,9
1,7:42.0,,Shooting foul by J. Ingles (drawn by G. Antetokounmpo),9,9
1,7:42.0,,G. Antetokounmpo misses free throw 1 of 2,9,9
1,7:42.0,,Offensive rebound by Team,9,9
1,7:42.0,,S. Brown enters the game for M. Brogdon,9,9
1,7:42.0,,G. Antetokounmpo makes free throw 2 of 2,9,10
1,7:34.0,R. Rubio makes 2-pt layup from 1 ft,,11,10
1,7:26.0,,E. Bledsoe makes 2-pt layup from 1 ft,11,12
1,7:23.0,,Violation by Team (delay of game),11,12
1,7:23.0,Utah full timeout,,11,12
1,7:23.0,J. Crowder enters the game for D. Favors,,11,12
1,7:23.0,K. Korver enters the game for J. Ingles,,11,12
1,7:23.0,R. Neto enters the game for R. Rubio,,11,12
1,7:03.0,K. Korver makes 2-pt jump shot from 15 ft (assist by R. Neto),,13,12
1,6:54.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,13,12
1,6:51.0,Defensive rebound by J. Crowder,,13,12
1,6:44.0,R. Neto misses 2-pt jump shot from 12 ft,,13,12
1,6:42.0,Offensive rebound by R. Gobert,,13,12
1,6:40.0,R. Gobert makes 2-pt dunk from 1 ft,,15,12
1,6:30.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by S. Brown),15,15
1,6:08.0,K. Korver misses 2-pt jump shot from 21 ft,,15,15
1,6:06.0,,Defensive rebound by G. Antetokounmpo,15,15
1,5:54.0,,S. Brown makes 2-pt layup from 2 ft (assist by E. Bledsoe),15,17
1,5:32.0,D. Mitchell makes 3-pt jump shot from 27 ft (assist by J. Crowder),,18,17
1,5:17.0,,Personal foul by D. Mitchell (drawn by E. Bledsoe),18,17
1,5:17.0,,E. İlyasova enters the game for G. Antetokounmpo,18,17
1,5:03.0,,E. İlyasova misses 2-pt jump shot from 10 ft,18,17
1,5:01.0,Defensive rebound by R. Gobert,,18,17
