QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,OKLAHOMA CITY_ACTION,CHARLOTTE_SCORE,OKLAHOMA CITY_SCORE
1,11:42.0,,S. Adams misses 2-pt hook shot from 5 ft,0,0
1,11:36.0,,Offensive rebound by S. Adams,0,0
1,11:36.0,,S. Adams makes 2-pt layup from 1 ft,0,2
1,11:16.0,Turnover by J. Lamb (bad pass; steal by P. George),,0,2
1,11:12.0,,P. George makes 2-pt dunk from 1 ft,0,4
1,10:59.0,M. Williams misses 3-pt jump shot from 26 ft,,0,4
1,10:59.0,,Defensive rebound by R. Westbrook,0,4
1,10:50.0,,Shooting foul by J. Lamb (drawn by R. Westbrook),0,4
1,10:50.0,,R. Westbrook makes free throw 1 of 2,0,5
1,10:50.0,,R. Westbrook makes free throw 2 of 2,0,6
1,10:39.0,C. Zeller makes 2-pt dunk from 2 ft (assist by K. Walker),,2,6
1,10:23.0,,Turnover by P. George (bad pass; steal by K. Walker),2,6
1,10:19.0,M. Williams makes 3-pt jump shot from 26 ft (assist by K. Walker),,5,6
1,10:01.0,,S. Adams makes 2-pt jump shot from 2 ft (assist by R. Westbrook),5,8
1,9:36.0,K. Walker makes 2-pt jump shot from 5 ft,,7,8
1,9:30.0,,P. George misses 3-pt jump shot from 25 ft,7,8
1,9:30.0,,Offensive rebound by P. George,7,8
1,9:23.0,,D. Schröder makes 3-pt jump shot from 26 ft (assist by P. George),7,11
1,9:09.0,Turnover by K. Walker (out of bounds lost ball),,7,11
1,8:57.0,,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),7,13
1,8:41.0,K. Walker misses 3-pt jump shot from 25 ft,,7,13
1,8:39.0,,Defensive rebound by P. George,7,13
1,8:32.0,,Personal foul by M. Williams (drawn by P. George),7,13
1,8:27.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by P. George),7,15
1,8:11.0,N. Batum misses 3-pt jump shot from 26 ft,,7,15
1,8:08.0,,Defensive rebound by R. Westbrook,7,15
1,7:51.0,,P. George misses 3-pt jump shot from 22 ft,7,15
1,7:48.0,Defensive rebound by N. Batum,,7,15
1,7:43.0,Shooting foul by D. Schröder (drawn by J. Lamb),,7,15
1,7:43.0,J. Lamb makes free throw 1 of 2,,8,15
1,7:43.0,J. Lamb makes free throw 2 of 2,,9,15
1,7:29.0,,J. Grant misses 3-pt jump shot from 24 ft,9,15
1,7:25.0,Defensive rebound by C. Zeller,,9,15
1,7:14.0,M. Williams misses 3-pt jump shot from 23 ft,,9,15
1,7:11.0,,Defensive rebound by D. Schröder,9,15
1,7:04.0,,D. Schröder misses 2-pt jump shot from 23 ft,9,15
1,7:02.0,,Offensive rebound by J. Grant,9,15
1,6:58.0,,Turnover by D. Schröder (bad pass; steal by M. Williams),9,15
1,6:51.0,J. Lamb makes 2-pt layup from 1 ft,,11,15
1,6:51.0,Shooting foul by S. Adams (drawn by J. Lamb),,11,15
1,6:51.0,,Oklahoma City full timeout,11,15
1,6:51.0,,T. Luwawu-Cabarrot enters the game for D. Schröder,11,15
1,6:51.0,J. Lamb makes free throw 1 of 1,,12,15
1,6:31.0,,R. Westbrook makes 2-pt jump shot from 14 ft,12,17
1,6:17.0,Personal foul by R. Westbrook (drawn by C. Zeller),,12,17
1,6:10.0,K. Walker makes 2-pt jump shot from 11 ft,,14,17
1,5:53.0,,P. George makes 2-pt jump shot from 19 ft,14,19
1,5:29.0,K. Walker misses 3-pt jump shot from 28 ft,,14,19
1,5:26.0,,Defensive rebound by J. Grant,14,19
1,5:21.0,,Offensive foul by P. George (drawn by K. Walker),14,19
1,5:21.0,,Turnover by P. George (offensive foul),14,19
1,5:08.0,C. Zeller makes 2-pt layup from 1 ft (assist by J. Lamb),,16,19
1,4:56.0,,Turnover by P. George (bad pass),16,19
1,4:56.0,D. Bacon enters the game for N. Batum,,16,19
1,4:50.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Lamb),,16,19
1,4:50.0,J. Lamb makes free throw 1 of 3,,17,19
1,4:50.0,J. Lamb makes free throw 2 of 3,,18,19
1,4:50.0,M. Bridges enters the game for M. Williams,,18,19
1,4:50.0,J. Lamb makes free throw 3 of 3,,19,19
1,4:37.0,,P. George misses 3-pt jump shot from 25 ft,19,19
1,4:32.0,Defensive rebound by M. Bridges,,19,19
1,4:28.0,J. Lamb misses 2-pt layup from 1 ft,,19,19
1,4:27.0,Offensive rebound by C. Zeller,,19,19
1,4:27.0,C. Zeller misses 2-pt layup from 2 ft,,19,19
1,4:26.0,Offensive rebound by C. Zeller,,19,19
1,4:26.0,C. Zeller misses 2-pt layup from 1 ft,,19,19
1,4:22.0,Offensive rebound by M. Bridges,,19,19
1,4:14.0,C. Zeller makes 2-pt jump shot from 4 ft (assist by K. Walker),,21,19
1,4:02.0,,R. Westbrook misses 2-pt jump shot from 13 ft,21,19
1,4:01.0,,Offensive rebound by Team,21,19
1,4:01.0,Loose ball foul by C. Zeller (drawn by S. Adams),,21,19
1,3:56.0,,Turnover by R. Westbrook (bad pass),21,19
1,3:47.0,K. Walker misses 3-pt jump shot from 26 ft,,21,19
1,3:42.0,,Defensive rebound by J. Grant,21,19
1,3:38.0,,R. Westbrook misses 2-pt jump shot from 12 ft,21,19
1,3:36.0,Defensive rebound by C. Zeller,,21,19
1,3:27.0,Shooting foul by T. Luwawu-Cabarrot (drawn by K. Walker),,21,19
1,3:27.0,K. Walker misses free throw 1 of 2,,21,19
1,3:27.0,Offensive rebound by Team,,21,19
1,3:27.0,,Oklahoma City full timeout,21,19
1,3:27.0,K. Walker makes free throw 2 of 2,,22,19
1,3:14.0,,J. Grant makes 3-pt jump shot from 24 ft (assist by R. Westbrook),22,22
1,3:01.0,M. Bridges misses 2-pt layup from 1 ft,,22,22
1,2:59.0,Offensive rebound by Team,,22,22
1,2:59.0,,Á. Abrines enters the game for T. Luwawu-Cabarrot,22,22
1,2:59.0,,D. Schröder enters the game for R. Westbrook,22,22
1,2:54.0,J. Lamb makes 2-pt jump shot from 6 ft (assist by K. Walker),,24,22
1,2:44.0,,Shooting foul by C. Zeller (drawn by S. Adams),24,22
1,2:44.0,,S. Adams makes free throw 1 of 2,24,23
1,2:44.0,F. Kaminsky enters the game for C. Zeller,,24,23
1,2:44.0,,S. Adams makes free throw 2 of 2,24,24
1,2:37.0,Personal foul by Á. Abrines (drawn by J. Lamb),,24,24
1,2:37.0,J. Lamb makes free throw 1 of 2,,25,24
1,2:37.0,,P. Patterson enters the game for J. Grant,25,24
1,2:37.0,J. Lamb makes free throw 2 of 2,,26,24
1,2:14.0,,S. Adams misses 2-pt layup from 1 ft (block by F. Kaminsky),26,24
1,2:12.0,Defensive rebound by F. Kaminsky,,26,24
1,2:08.0,K. Walker makes 3-pt jump shot from 23 ft (assist by D. Bacon),,29,24
1,1:54.0,,P. George makes 3-pt jump shot from 24 ft (assist by P. Patterson),29,27
1,1:29.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,29,27
