QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DALLAS_ACTION,LA LAKERS_SCORE,DALLAS_SCORE
1,11:43.0,,H. Barnes makes 3-pt jump shot from 25 ft,0,3
1,11:24.0,Turnover by B. Ingram (lost ball; steal by H. Barnes),,0,3
1,11:14.0,,D. Smith makes 2-pt jump shot from 10 ft,0,5
1,11:12.0,,Loose ball foul by D. Jordan (drawn by J. McGee),0,5
1,10:50.0,J. Hart misses 2-pt jump shot from 7 ft,,0,5
1,10:47.0,,Defensive rebound by D. Jordan,0,5
1,10:37.0,,L. Dončić misses 3-pt jump shot from 28 ft,0,5
1,10:32.0,Defensive rebound by K. Kuzma,,0,5
1,10:28.0,K. Kuzma misses 2-pt jump shot from 6 ft,,0,5
1,10:25.0,,Defensive rebound by Team,0,5
1,10:15.0,,L. Dončić misses 2-pt jump shot from 13 ft,0,5
1,10:12.0,Defensive rebound by J. McGee,,0,5
1,10:08.0,L. Ball misses 2-pt jump shot from 12 ft,,0,5
1,10:05.0,,Defensive rebound by D. Jordan,0,5
1,9:51.0,,W. Matthews misses 2-pt layup from 3 ft,0,5
1,9:48.0,Defensive rebound by J. Hart,,0,5
1,9:46.0,L. Ball makes 3-pt jump shot from 26 ft (assist by J. Hart),,3,5
1,9:16.0,,D. Smith makes 3-pt jump shot from 25 ft,3,8
1,9:03.0,L. Ball misses 3-pt jump shot from 28 ft,,3,8
1,9:00.0,,Defensive rebound by D. Jordan,3,8
1,8:57.0,,L. Dončić makes 2-pt jump shot from 7 ft,3,10
1,8:57.0,,Shooting foul by B. Ingram (drawn by L. Dončić),3,10
1,8:57.0,,L. Dončić makes free throw 1 of 1,3,11
1,8:49.0,B. Ingram misses 2-pt jump shot from 13 ft,,3,11
1,8:45.0,,Defensive rebound by D. Jordan,3,11
1,8:37.0,,H. Barnes misses 3-pt jump shot from 26 ft,3,11
1,8:33.0,Defensive rebound by J. Hart,,3,11
1,8:29.0,B. Ingram makes 2-pt layup from 1 ft,,5,11
1,8:10.0,,H. Barnes misses 2-pt hook shot from 3 ft,5,11
1,8:08.0,Defensive rebound by J. Hart,,5,11
1,8:03.0,Turnover by J. Hart (lost ball; steal by W. Matthews),,5,11
1,8:02.0,,Turnover by D. Smith (bad pass; steal by L. Ball),5,11
1,8:00.0,L. Ball makes 2-pt dunk from 1 ft,,7,11
1,7:44.0,,L. Dončić misses 2-pt jump shot from 13 ft,7,11
1,7:44.0,Defensive rebound by J. McGee,,7,11
1,7:37.0,B. Ingram makes 2-pt dunk from 1 ft (assist by L. Ball),,9,11
1,7:37.0,,Dallas full timeout,9,11
1,7:18.0,,Personal foul by J. McGee (drawn by D. Jordan),9,11
1,7:08.0,,Shooting foul by B. Ingram (drawn by H. Barnes),9,11
1,7:08.0,,H. Barnes makes free throw 1 of 2,9,12
1,7:08.0,,H. Barnes makes free throw 2 of 2,9,13
1,6:55.0,Turnover by K. Kuzma (bad pass; steal by D. Jordan),,9,13
1,6:48.0,,Turnover by D. Smith (lost ball; steal by L. Ball),9,13
1,6:43.0,J. Hart makes 2-pt layup from 2 ft (assist by L. Ball),,11,13
1,6:31.0,,D. Jordan makes 2-pt dunk at rim (assist by L. Dončić),11,15
1,6:22.0,B. Ingram makes 2-pt layup from 1 ft,,13,15
1,6:09.0,,Turnover by D. Jordan (bad pass),13,15
1,5:58.0,K. Kuzma misses 2-pt layup from 4 ft,,13,15
1,5:55.0,,Defensive rebound by L. Dončić,13,15
1,5:48.0,,D. Smith makes 2-pt layup from 1 ft (assist by L. Dončić),13,17
1,5:21.0,K. Kuzma misses 3-pt jump shot from 25 ft,,13,17
1,5:20.0,Offensive rebound by Team,,13,17
1,5:20.0,Personal foul by D. Smith (drawn by J. McGee),,13,17
1,5:08.0,L. Ball makes 3-pt jump shot from 27 ft (assist by J. Hart),,16,17
1,4:50.0,,L. Dončić makes 2-pt jump shot from 11 ft,16,19
1,4:50.0,Violation by Team (def goaltending),,16,19
1,4:38.0,J. Hart misses 3-pt jump shot from 27 ft,,16,19
1,4:34.0,,Defensive rebound by D. Jordan,16,19
1,4:28.0,,L. Dončić makes 2-pt jump shot from 12 ft,16,21
1,4:14.0,J. McGee misses 2-pt hook shot from 10 ft,,16,21
1,4:11.0,,Defensive rebound by W. Matthews,16,21
1,4:08.0,,L. Dončić misses 3-pt jump shot from 25 ft,16,21
1,4:04.0,,Offensive rebound by D. Jordan,16,21
1,4:03.0,,Turnover by D. Jordan (bad pass; steal by J. Hart),16,21
1,3:59.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. Ball),,18,21
1,3:59.0,Shooting foul by D. Smith (drawn by J. McGee),,18,21
1,3:59.0,K. Caldwell-Pope enters the game for B. Ingram,,18,21
1,3:59.0,,J. Barea enters the game for W. Matthews,18,21
1,3:59.0,,D. Finney-Smith enters the game for D. Smith,18,21
1,3:59.0,J. McGee misses free throw 1 of 1,,18,21
1,3:56.0,,Defensive rebound by D. Jordan,18,21
1,3:41.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by J. Barea),18,24
1,3:38.0,LA Lakers full timeout,,18,24
1,3:38.0,I. Zubac enters the game for J. McGee,,18,24
1,3:17.0,K. Kuzma misses 2-pt jump shot from 3 ft (block by D. Jordan),,18,24
1,3:17.0,Offensive rebound by Team,,18,24
1,3:14.0,K. Kuzma misses 3-pt jump shot from 25 ft,,18,24
1,3:11.0,Offensive rebound by L. Ball,,18,24
1,3:08.0,J. Hart misses 2-pt jump shot from 13 ft,,18,24
1,3:06.0,Offensive rebound by Team,,18,24
1,3:06.0,,Loose ball foul by D. Jordan (drawn by I. Zubac),18,24
1,3:06.0,,D. Powell enters the game for D. Jordan,18,24
1,2:59.0,Turnover by I. Zubac (lost ball; steal by D. Finney-Smith),,18,24
1,2:38.0,,D. Finney-Smith makes 2-pt dunk at rim (assist by D. Powell),18,26
1,2:22.0,K. Kuzma misses 3-pt jump shot from 24 ft,,18,26
1,2:20.0,Offensive rebound by I. Zubac,,18,26
1,2:20.0,I. Zubac misses 2-pt layup at rim,,18,26
1,2:19.0,Offensive rebound by Team,,18,26
1,2:19.0,Personal foul by D. Powell (drawn by I. Zubac),,18,26
1,2:19.0,I. Zubac makes free throw 1 of 2,,19,26
1,2:19.0,,D. Harris enters the game for H. Barnes,19,26
1,2:19.0,,D. Nowitzki enters the game for L. Dončić,19,26
1,2:19.0,I. Zubac makes free throw 2 of 2,,20,26
1,1:59.0,,J. Barea misses 2-pt jump shot from 6 ft,20,26
1,1:57.0,,Offensive rebound by D. Powell,20,26
1,1:55.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,20,26
1,1:52.0,Defensive rebound by I. Zubac,,20,26
1,1:45.0,L. Ball misses 3-pt jump shot from 26 ft,,20,26
1,1:41.0,,Defensive rebound by D. Powell,20,26
1,1:33.0,,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),20,28
1,1:19.0,K. Kuzma misses 2-pt layup from 2 ft,,20,28
1,1:17.0,,Defensive rebound by D. Finney-Smith,20,28
1,1:06.0,,D. Powell misses 3-pt jump shot from 23 ft,20,28
1,1:03.0,Defensive rebound by K. Caldwell-Pope,,20,28
1,0:57.0,I. Zubac makes 2-pt hook shot from 4 ft (assist by K. Caldwell-Pope),,22,28
1,0:46.0,,J. Barea makes 2-pt layup from 5 ft,22,30
1,0:34.0,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by K. Kuzma),,25,30
1,0:21.0,,D. Powell makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),25,33
1,0:04.0,K. Kuzma misses 2-pt layup from 4 ft (block by D. Powell),,25,33
1,0:03.0,Offensive rebound by Team,,25,33
1,0:03.0,,M. Kleber enters the game for D. Nowitzki,25,33
1,0:02.0,J. Hart misses 3-pt jump shot from 23 ft,,25,33
1,0:01.0,,Defensive rebound by D. Finney-Smith,25,33
2,11:51.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,25,33
2,11:47.0,,Defensive rebound by D. Powell,25,33
2,11:36.0,,D. Harris makes 2-pt jump shot from 18 ft (assist by D. Powell),25,35
2,11:13.0,M. Beasley makes 2-pt jump shot from 7 ft (assist by S. Mykhailiuk),,27,35
2,10:58.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by J. Barea),27,37
2,10:40.0,M. Beasley makes 2-pt jump shot from 3 ft,,29,37
2,10:23.0,,Shooting foul by T. Chandler (drawn by D. Powell),29,37
2,10:23.0,,D. Powell makes free throw 1 of 2,29,38
2,10:23.0,,D. Powell misses free throw 2 of 2,29,38
2,10:22.0,,Offensive rebound by D. Finney-Smith,29,38
