QUARTER,TIME_REMAINING,NEW YORK_ACTION,MINNESOTA_ACTION,NEW YORK_SCORE,MINNESOTA_SCORE
1,11:38.0,,T. Gibson makes 2-pt layup from 3 ft (assist by J. Okogie),0,2
1,11:14.0,D. Dotson makes 3-pt jump shot from 27 ft (assist by K. Knox),,3,2
1,10:57.0,,T. Gibson makes 2-pt layup from 2 ft (assist by J. Teague),3,4
1,10:35.0,D. Dotson makes 2-pt layup from 2 ft (assist by D. Jordan),,5,4
1,10:15.0,,K. Bates-Diop makes 2-pt jump shot from 20 ft (assist by J. Teague),5,6
1,10:02.0,K. Knox misses 2-pt jump shot from 10 ft,,5,6
1,10:02.0,Offensive rebound by Team,,5,6
1,10:00.0,D. Dotson misses 2-pt jump shot from 15 ft,,5,6
1,10:00.0,,Defensive rebound by D. Šarić,5,6
1,9:51.0,,D. Šarić misses 3-pt jump shot from 24 ft,5,6
1,9:48.0,Defensive rebound by D. Jordan,,5,6
1,9:25.0,N. Vonleh makes 2-pt layup at rim,,7,6
1,9:04.0,,T. Gibson makes 2-pt layup from 2 ft (assist by J. Teague),7,8
1,8:59.0,Shooting foul by K. Bates-Diop (drawn by D. Dotson),,7,8
1,8:59.0,D. Dotson makes free throw 1 of 2,,8,8
1,8:59.0,D. Dotson makes free throw 2 of 2,,9,8
1,8:51.0,,Turnover by J. Teague (out of bounds lost ball),9,8
1,8:31.0,D. Smith misses 2-pt jump shot from 20 ft,,9,8
1,8:30.0,,Defensive rebound by Team,9,8
1,8:17.0,,J. Teague makes 2-pt jump shot from 10 ft,9,10
1,8:02.0,D. Smith makes 2-pt layup from 1 ft,,11,10
1,7:54.0,,J. Teague makes 2-pt layup from 2 ft,11,12
1,7:40.0,D. Jordan misses 2-pt dunk at rim,,11,12
1,7:38.0,,Defensive rebound by K. Bates-Diop,11,12
1,7:31.0,,D. Šarić makes 2-pt layup from 2 ft (assist by J. Teague),11,14
1,7:16.0,K. Knox misses 2-pt layup from 1 ft,,11,14
1,7:14.0,Offensive rebound by K. Knox,,11,14
1,7:14.0,K. Knox misses 2-pt layup from 1 ft,,11,14
1,7:14.0,,Defensive rebound by Team,11,14
1,7:04.0,,D. Šarić misses 3-pt jump shot from 25 ft,11,14
1,7:04.0,Defensive rebound by Team,,11,14
1,6:48.0,K. Knox makes 2-pt layup from 1 ft (assist by D. Jordan),,13,14
1,6:36.0,,T. Gibson misses 2-pt layup from 1 ft (block by D. Jordan),13,14
1,6:33.0,,Offensive rebound by T. Gibson,13,14
1,6:27.0,,T. Gibson misses 2-pt layup from 2 ft,13,14
1,6:26.0,Defensive rebound by Team,,13,14
1,6:26.0,,Loose ball foul by D. Šarić (drawn by D. Jordan),13,14
1,6:26.0,,Minnesota full timeout,13,14
1,6:22.0,Personal foul by T. Gibson (drawn by D. Jordan),,13,14
1,6:17.0,D. Dotson misses 3-pt jump shot from 25 ft,,13,14
1,6:14.0,Offensive rebound by D. Jordan,,13,14
1,6:13.0,D. Jordan misses 2-pt dunk at rim,,13,14
1,6:10.0,,Defensive rebound by K. Bates-Diop,13,14
1,5:50.0,,Turnover by K. Bates-Diop (lost ball; steal by D. Dotson),13,14
1,5:45.0,Turnover by D. Smith (bad pass; steal by J. Okogie),,13,14
1,5:40.0,,K. Bates-Diop makes 3-pt jump shot from 22 ft (assist by D. Šarić),13,17
1,5:20.0,D. Jordan misses 2-pt hook shot from 8 ft,,13,17
1,5:18.0,,Defensive rebound by T. Gibson,13,17
1,4:59.0,,J. Okogie misses 3-pt jump shot from 23 ft,13,17
1,4:58.0,,Offensive rebound by Team,13,17
1,4:58.0,Loose ball foul by D. Dotson (drawn by T. Gibson),,13,17
1,4:58.0,E. Mudiay enters the game for D. Jordan,,13,17
1,4:58.0,M. Robinson enters the game for D. Smith,,13,17
1,4:53.0,,J. Teague misses 3-pt jump shot from 25 ft,13,17
1,4:50.0,Defensive rebound by N. Vonleh,,13,17
1,4:46.0,Turnover by K. Knox (lost ball; steal by J. Teague),,13,17
1,4:43.0,,J. Teague makes 2-pt layup from 1 ft,13,19
1,4:35.0,New York full timeout,,13,19
1,4:35.0,A. Trier enters the game for K. Knox,,13,19
1,4:35.0,,G. Dieng enters the game for T. Gibson,13,19
1,4:22.0,D. Dotson makes 2-pt jump shot from 23 ft,,15,19
1,4:06.0,,D. Šarić misses 2-pt layup from 2 ft,15,19
1,4:04.0,,Offensive rebound by Team,15,19
1,4:02.0,,K. Bates-Diop misses 2-pt layup at rim (block by M. Robinson),15,19
1,3:59.0,Defensive rebound by A. Trier,,15,19
1,3:56.0,D. Dotson misses 3-pt jump shot from 25 ft,,15,19
1,3:54.0,Offensive rebound by M. Robinson,,15,19
1,3:54.0,M. Robinson misses 2-pt layup from 1 ft,,15,19
1,3:50.0,,Defensive rebound by D. Šarić,15,19
1,3:36.0,,G. Dieng misses 2-pt jump shot from 12 ft,15,19
1,3:34.0,,Offensive rebound by Team,15,19
1,3:34.0,L. Thomas enters the game for N. Vonleh,,15,19
1,3:29.0,,J. Teague misses 3-pt jump shot from 25 ft,15,19
1,3:26.0,Defensive rebound by M. Robinson,,15,19
1,3:11.0,Turnover by A. Trier (out of bounds lost ball),,15,19
1,3:11.0,,T. Jones enters the game for J. Teague,15,19
1,3:01.0,,T. Jones misses 2-pt jump shot from 7 ft,15,19
1,2:58.0,Defensive rebound by L. Thomas,,15,19
