QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DENVER_ACTION,OKLAHOMA CITY_SCORE,DENVER_SCORE
1,11:46.0,P. George misses 3-pt jump shot from 24 ft,,0,0
1,11:44.0,,Defensive rebound by P. Millsap,0,0
1,11:30.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),0,3
1,11:10.0,S. Adams makes 2-pt hook shot from 4 ft (assist by P. George),,2,3
1,10:49.0,,N. Jokić makes 2-pt layup from 2 ft,2,5
1,10:43.0,Personal foul by W. Barton (drawn by P. George),,2,5
1,10:37.0,R. Westbrook makes 2-pt layup from 1 ft,,4,5
1,10:22.0,,P. Millsap makes 2-pt layup from 1 ft (assist by N. Jokić),4,7
1,10:10.0,S. Adams misses 2-pt layup from 6 ft (block by N. Jokić),,4,7
1,10:07.0,Offensive rebound by R. Westbrook,,4,7
1,10:05.0,R. Westbrook misses 3-pt jump shot from 22 ft,,4,7
1,10:03.0,Offensive rebound by R. Westbrook,,4,7
1,10:00.0,R. Westbrook makes 2-pt layup from 1 ft,,6,7
1,9:46.0,,Personal foul by R. Westbrook (drawn by J. Murray),6,7
1,9:44.0,,M. Beasley misses 3-pt jump shot from 25 ft,6,7
1,9:42.0,Defensive rebound by P. George,,6,7
1,9:32.0,J. Grant makes 2-pt layup from 2 ft (assist by P. George),,8,7
1,9:22.0,,N. Jokić misses 2-pt layup from 1 ft (block by S. Adams),8,7
1,9:22.0,,Offensive rebound by Team,8,7
1,9:20.0,,M. Beasley misses 2-pt jump shot from 20 ft,8,7
1,9:16.0,,Offensive rebound by M. Beasley,8,7
1,9:15.0,,M. Beasley misses 2-pt jump shot from 9 ft,8,7
1,9:13.0,Defensive rebound by R. Westbrook,,8,7
1,9:09.0,Shooting foul by M. Beasley (drawn by R. Westbrook),,8,7
1,9:09.0,R. Westbrook makes free throw 1 of 2,,9,7
1,9:09.0,R. Westbrook misses free throw 2 of 2,,9,7
1,9:06.0,,Defensive rebound by P. Millsap,9,7
1,8:59.0,,Personal foul by T. Ferguson (drawn by J. Murray),9,7
1,8:48.0,,J. Murray misses 3-pt jump shot from 26 ft,9,7
1,8:44.0,Defensive rebound by P. George,,9,7
1,8:42.0,Turnover by P. George (bad pass),,9,7
1,8:30.0,,J. Murray misses 2-pt layup from 5 ft,9,7
1,8:28.0,,Offensive rebound by J. Murray,9,7
1,8:26.0,,Turnover by P. Millsap (bad pass; steal by P. George),9,7
1,8:23.0,P. George makes 2-pt dunk from 1 ft (assist by R. Westbrook),,11,7
1,8:15.0,,W. Barton misses 2-pt jump shot from 12 ft,11,7
