QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHILADELPHIA_ACTION,WASHINGTON_SCORE,PHILADELPHIA_SCORE
1,11:39.0,,B. Simmons misses 2-pt jump shot from 13 ft,0,0
1,11:35.0,,Offensive rebound by J. Butler,0,0
1,11:34.0,,Turnover by J. Butler (bad pass; steal by T. Satoranský),0,0
1,11:23.0,J. Green makes 3-pt jump shot from 23 ft (assist by T. Ariza),,3,0
1,11:08.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Butler),3,2
1,10:55.0,B. Beal misses 2-pt jump shot from 16 ft,,3,2
1,10:52.0,,Defensive rebound by W. Chandler,3,2
1,10:43.0,,J. Embiid misses 2-pt jump shot from 13 ft,3,2
1,10:41.0,Defensive rebound by J. Green,,3,2
1,10:37.0,B. Beal makes 3-pt jump shot from 27 ft (assist by T. Satoranský),,6,2
1,10:27.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,6,2
1,10:25.0,,Offensive rebound by F. Korkmaz,6,2
1,10:19.0,,B. Simmons makes 2-pt dunk at rim (assist by J. Butler),6,4
1,9:54.0,T. Bryant makes 3-pt jump shot from 24 ft (assist by T. Satoranský),,9,4
1,9:40.0,,W. Chandler misses 2-pt jump shot from 13 ft,9,4
1,9:37.0,Defensive rebound by B. Beal,,9,4
1,9:23.0,B. Beal misses 3-pt jump shot from 26 ft,,9,4
1,9:19.0,,Defensive rebound by J. Embiid,9,4
1,9:08.0,,Turnover by F. Korkmaz (bad pass),9,4
1,9:00.0,T. Satoranský makes 3-pt jump shot from 25 ft,,12,4
1,9:00.0,,Philadelphia full timeout,12,4
1,8:46.0,,J. Embiid misses 2-pt layup from 1 ft (block by T. Bryant),12,4
1,8:43.0,Defensive rebound by T. Ariza,,12,4
1,8:30.0,B. Beal makes 2-pt layup from 1 ft,,14,4
1,8:18.0,,W. Chandler makes 2-pt layup from 1 ft (assist by F. Korkmaz),14,6
1,7:53.0,T. Satoranský misses 2-pt jump shot from 17 ft,,14,6
1,7:50.0,,Defensive rebound by J. Embiid,14,6
1,7:39.0,,J. Butler makes 2-pt jump shot from 1 ft,14,8
1,7:23.0,T. Bryant makes 2-pt jump shot from 17 ft,,16,8
1,7:13.0,,Shooting foul by T. Satoranský (drawn by J. Embiid),16,8
1,7:13.0,,J. Embiid misses free throw 1 of 2,16,8
1,7:13.0,,Offensive rebound by Team,16,8
1,7:13.0,,J. Embiid makes free throw 2 of 2,16,9
1,7:02.0,T. Ariza misses 3-pt jump shot from 26 ft,,16,9
1,6:58.0,,Defensive rebound by B. Simmons,16,9
1,6:52.0,,J. Embiid makes 3-pt jump shot from 24 ft (assist by F. Korkmaz),16,12
1,6:34.0,Shooting foul by B. Simmons (drawn by J. Green),,16,12
1,6:34.0,J. Green makes free throw 1 of 2,,17,12
1,6:34.0,,T. McConnell enters the game for W. Chandler,17,12
1,6:34.0,,M. Muscala enters the game for J. Embiid,17,12
1,6:34.0,,L. Shamet enters the game for F. Korkmaz,17,12
1,6:34.0,J. Green makes free throw 2 of 2,,18,12
1,6:25.0,,L. Shamet misses 3-pt jump shot from 26 ft,18,12
1,6:22.0,Defensive rebound by T. Ariza,,18,12
1,6:12.0,T. Ariza makes 2-pt layup from 2 ft (assist by T. Bryant),,20,12
1,5:51.0,,J. Butler makes 2-pt layup from 3 ft (assist by M. Muscala),20,14
1,5:51.0,,Shooting foul by T. Satoranský (drawn by J. Butler),20,14
1,5:51.0,C. Randle enters the game for T. Satoranský,,20,14
1,5:51.0,,J. Butler misses free throw 1 of 1,20,14
1,5:49.0,Defensive rebound by T. Ariza,,20,14
1,5:37.0,Turnover by C. Randle (bad pass; steal by B. Simmons),,20,14
1,5:33.0,,L. Shamet makes 3-pt jump shot from 24 ft (assist by B. Simmons),20,17
1,5:33.0,O. Porter enters the game for J. Green,,20,17
1,5:03.0,T. Bryant misses 2-pt jump shot from 17 ft,,20,17
1,5:03.0,Offensive rebound by Team,,20,17
1,5:00.0,Turnover by Team (shot clock),,20,17
1,4:49.0,,J. Butler makes 3-pt jump shot from 26 ft,20,20
1,4:25.0,Turnover by T. Bryant (bad pass; steal by J. Butler),,20,20
1,4:22.0,,J. Butler makes 2-pt dunk from 1 ft,20,22
1,4:22.0,Washington full timeout,,20,22
1,4:22.0,S. Dekker enters the game for T. Bryant,,20,22
1,4:05.0,B. Beal makes 2-pt layup from 3 ft,,22,22
1,3:41.0,,B. Simmons misses 2-pt jump shot from 9 ft,22,22
1,3:40.0,Defensive rebound by T. Ariza,,22,22
1,3:22.0,S. Dekker misses 3-pt jump shot from 27 ft,,22,22
1,3:17.0,,Defensive rebound by J. Butler,22,22
1,3:03.0,,Turnover by T. McConnell (bad pass; steal by B. Beal),22,22
1,2:56.0,Turnover by B. Beal (bad pass; steal by J. Butler),,22,22
1,2:50.0,,J. Butler makes 2-pt dunk from 1 ft (assist by B. Simmons),22,24
1,2:33.0,B. Beal makes 2-pt jump shot from 20 ft,,24,24
1,2:22.0,,Personal foul by C. Randle (drawn by B. Simmons),24,24
1,2:22.0,T. Brown enters the game for T. Ariza,,24,24
1,2:22.0,,J. Bolden enters the game for J. Butler,24,24
1,2:22.0,,J. Embiid enters the game for M. Muscala,24,24
1,2:22.0,,F. Korkmaz enters the game for L. Shamet,24,24
1,2:22.0,,S. Milton enters the game for B. Simmons,24,24
1,2:13.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by F. Korkmaz),24,26
1,2:06.0,B. Beal makes 2-pt jump shot from 21 ft (assist by C. Randle),,26,26
1,1:47.0,,J. Bolden makes 2-pt jump shot from 6 ft (assist by S. Milton),26,28
1,1:30.0,Turnover by B. Beal (out of bounds lost ball),,26,28
1,1:21.0,,Turnover by T. McConnell (bad pass; steal by S. Dekker),26,28
1,1:14.0,O. Porter misses 3-pt jump shot from 26 ft,,26,28
1,1:11.0,,Defensive rebound by T. McConnell,26,28
1,1:00.0,,Shooting foul by O. Porter (drawn by F. Korkmaz),26,28
1,1:00.0,,F. Korkmaz makes free throw 1 of 2,26,29
1,1:00.0,,F. Korkmaz makes free throw 2 of 2,26,30
1,0:43.0,O. Porter misses 2-pt jump shot from 20 ft,,26,30
1,0:40.0,,Defensive rebound by J. Bolden,26,30
1,0:36.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by T. McConnell),26,32
1,0:25.0,C. Randle makes 3-pt jump shot from 26 ft (assist by B. Beal),,29,32
1,0:00.0,,J. Embiid misses 2-pt jump shot from 16 ft,29,32
1,0:00.0,,Offensive rebound by Team,29,32
2,11:46.0,O. Porter misses 2-pt jump shot from 22 ft,,29,32
2,11:42.0,,Defensive rebound by T. McConnell,29,32
2,11:23.0,,L. Shamet misses 3-pt jump shot from 27 ft,29,32
2,11:20.0,Defensive rebound by T. Brown,,29,32
2,11:02.0,O. Porter misses 2-pt jump shot from 22 ft,,29,32
2,10:59.0,,Defensive rebound by J. Embiid,29,32
2,10:51.0,,Shooting foul by S. Dekker (drawn by J. Butler),29,32
2,10:51.0,,J. Butler makes free throw 1 of 2,29,33
2,10:51.0,,J. Butler makes free throw 2 of 2,29,34
2,10:46.0,Turnover by O. Porter (bad pass; steal by T. McConnell),,29,34
2,10:42.0,,T. McConnell makes 2-pt layup from 1 ft,29,36
2,10:31.0,Shooting foul by J. Bolden (drawn by S. Dekker),,29,36
2,10:31.0,S. Dekker misses free throw 1 of 2,,29,36
2,10:31.0,Offensive rebound by Team,,29,36
2,10:31.0,J. Green enters the game for T. Brown,,29,36
2,10:31.0,S. Dekker makes free throw 2 of 2,,30,36
2,10:19.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by T. McConnell),30,39
2,10:01.0,O. Porter misses 2-pt jump shot from 10 ft,,30,39
2,9:59.0,,Defensive rebound by J. Embiid,30,39
2,9:58.0,,Turnover by J. Embiid (lost ball; steal by S. Dekker),30,39
2,9:51.0,J. Green misses 2-pt layup from 3 ft,,30,39
2,9:47.0,,Defensive rebound by J. Embiid,30,39
2,9:44.0,,J. Butler makes 2-pt layup from 1 ft (assist by T. McConnell),30,41
2,9:44.0,Washington full timeout,,30,41
2,9:44.0,T. Ariza enters the game for S. Dekker,,30,41
2,9:44.0,B. Beal enters the game for O. Porter,,30,41
2,9:44.0,T. Satoranský enters the game for C. Randle,,30,41
2,9:32.0,B. Beal misses 3-pt jump shot from 26 ft,,30,41
2,9:28.0,,Defensive rebound by J. Butler,30,41
2,9:15.0,,Turnover by J. Butler (bad pass; steal by I. Mahinmi),30,41
2,8:58.0,J. Green misses 2-pt jump shot from 8 ft,,30,41
2,8:54.0,Offensive rebound by I. Mahinmi,,30,41
2,8:53.0,I. Mahinmi makes 2-pt layup from 1 ft,,32,41
2,8:42.0,,L. Shamet misses 2-pt layup from 1 ft (block by I. Mahinmi),32,41
2,8:42.0,,Offensive rebound by T. McConnell,32,41
2,8:32.0,,Personal foul by I. Mahinmi (drawn by L. Shamet),32,41
2,8:32.0,,W. Chandler enters the game for J. Bolden,32,41
2,8:32.0,,M. Muscala enters the game for J. Embiid,32,41
2,8:32.0,,B. Simmons enters the game for T. McConnell,32,41
2,8:30.0,,Turnover by J. Butler (bad pass; steal by B. Beal),32,41
2,8:23.0,T. Ariza misses 3-pt jump shot from 26 ft,,32,41
2,8:19.0,,Defensive rebound by M. Muscala,32,41
2,8:04.0,,B. Simmons misses 2-pt jump shot from 4 ft,32,41
2,8:02.0,Defensive rebound by I. Mahinmi,,32,41
2,7:52.0,B. Beal makes 2-pt layup from 2 ft (assist by I. Mahinmi),,34,41
2,7:30.0,,B. Simmons makes 2-pt layup from 1 ft,34,43
2,7:14.0,Offensive foul by I. Mahinmi (drawn by L. Shamet),,34,43
2,7:14.0,Turnover by I. Mahinmi (offensive foul),,34,43
2,7:14.0,O. Porter enters the game for I. Mahinmi,,34,43
2,6:57.0,,J. Butler misses 2-pt jump shot from 21 ft,34,43
2,6:54.0,Defensive rebound by T. Ariza,,34,43
2,6:38.0,Turnover by B. Beal (bad pass; steal by L. Shamet),,34,43
2,6:33.0,,B. Simmons makes 2-pt layup from 2 ft,34,45
2,6:32.0,Washington full timeout,,34,45
2,6:15.0,B. Beal makes 2-pt layup from 2 ft (assist by O. Porter),,36,45
2,5:52.0,,M. Muscala makes 2-pt layup from 2 ft (assist by L. Shamet),36,47
2,5:52.0,,Shooting foul by B. Beal (drawn by M. Muscala),36,47
2,5:52.0,,M. Muscala makes free throw 1 of 1,36,48
2,5:36.0,T. Satoranský makes 2-pt jump shot from 19 ft (assist by T. Ariza),,38,48
2,5:14.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Butler),38,50
2,5:03.0,Turnover by T. Satoranský (bad pass),,38,50
2,4:57.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by B. Simmons),38,53
2,4:47.0,Personal foul by J. Butler (drawn by J. Green),,38,53
2,4:41.0,O. Porter misses 2-pt jump shot from 15 ft,,38,53
2,4:38.0,,Defensive rebound by B. Simmons,38,53
2,4:35.0,,Turnover by B. Simmons (lost ball; steal by O. Porter),38,53
2,4:35.0,Personal foul by W. Chandler (drawn by O. Porter),,38,53
2,4:25.0,T. Ariza misses 3-pt jump shot from 26 ft,,38,53
2,4:23.0,,Defensive rebound by M. Muscala,38,53
2,4:21.0,,L. Shamet misses 3-pt jump shot from 27 ft,38,53
2,4:19.0,,Offensive rebound by W. Chandler,38,53
2,4:11.0,,B. Simmons makes 2-pt hook shot from 6 ft,38,55
2,3:56.0,J. Green misses 2-pt layup from 7 ft (block by M. Muscala),,38,55
2,3:54.0,,Defensive rebound by W. Chandler,38,55
2,3:40.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by M. Muscala),38,58
2,3:38.0,Washington full timeout,,38,58
2,3:38.0,I. Mahinmi enters the game for O. Porter,,38,58
2,3:38.0,,J. Embiid enters the game for J. Butler,38,58
2,3:38.0,,F. Korkmaz enters the game for M. Muscala,38,58
2,3:38.0,,S. Milton enters the game for L. Shamet,38,58
2,3:19.0,B. Beal misses 3-pt jump shot from 27 ft,,38,58
2,3:16.0,,Defensive rebound by B. Simmons,38,58
2,3:01.0,,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by J. Embiid),38,61
2,2:41.0,Turnover by T. Ariza (bad pass; steal by W. Chandler),,38,61
2,2:37.0,,B. Simmons misses 2-pt layup from 1 ft,38,61
2,2:34.0,Defensive rebound by T. Satoranský,,38,61
2,2:26.0,B. Beal misses 3-pt jump shot from 27 ft,,38,61
2,2:24.0,,Defensive rebound by W. Chandler,38,61
2,2:19.0,,J. Embiid makes 2-pt jump shot from 5 ft (assist by F. Korkmaz),38,63
2,2:19.0,,Shooting foul by T. Ariza (drawn by J. Embiid),38,63
2,2:19.0,,J. Embiid makes free throw 1 of 1,38,64
2,2:08.0,B. Beal makes 3-pt jump shot from 28 ft (assist by T. Satoranský),,41,64
2,1:57.0,,J. Embiid misses 3-pt jump shot from 27 ft,41,64
2,1:54.0,,Offensive rebound by S. Milton,41,64
2,1:53.0,,S. Milton misses 2-pt layup from 2 ft (block by I. Mahinmi),41,64
2,1:53.0,Defensive rebound by I. Mahinmi,,41,64
2,1:43.0,Technical foul by T. Ariza,,41,64
2,1:43.0,,F. Korkmaz makes technical free throw,41,65
2,1:31.0,I. Mahinmi makes 2-pt hook shot from 8 ft,,43,65
2,1:29.0,,Philadelphia full timeout,43,65
2,1:21.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Embiid),43,67
2,1:05.0,Turnover by I. Mahinmi (bad pass; steal by B. Simmons),,43,67
2,1:01.0,,B. Simmons misses 2-pt layup from 3 ft,43,67
2,0:57.0,,Offensive rebound by B. Simmons,43,67
2,0:57.0,,B. Simmons misses 2-pt layup from 1 ft,43,67
2,0:57.0,Defensive rebound by B. Beal,,43,67
2,0:55.0,Turnover by B. Beal (bad pass),,43,67
