QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW ORLEANS_ACTION,WASHINGTON_SCORE,NEW ORLEANS_SCORE
1,11:37.0,,A. Davis misses 2-pt jump shot from 20 ft,0,0
1,11:32.0,Defensive rebound by J. Wall,,0,0
1,11:23.0,B. Beal makes 2-pt jump shot from 20 ft,,2,0
1,11:10.0,,J. Holiday makes 2-pt layup from 2 ft,2,2
1,11:05.0,Personal foul by T. Frazier (drawn by B. Beal),,2,2
1,10:56.0,O. Porter misses 2-pt jump shot from 17 ft,,2,2
1,10:52.0,,Defensive rebound by N. Mirotić,2,2
1,10:46.0,,J. Holiday makes 2-pt layup from 2 ft (assist by N. Mirotić),2,4
1,10:32.0,J. Wall misses 3-pt jump shot from 25 ft,,2,4
1,10:30.0,,Defensive rebound by Team,2,4
1,10:16.0,,Turnover by A. Davis (out of bounds lost ball),2,4
1,10:03.0,Turnover by B. Beal (bad pass; steal by N. Mirotić),,2,4
1,9:59.0,,N. Mirotić makes 3-pt jump shot from 26 ft (assist by T. Frazier),2,7
1,9:44.0,B. Beal misses 2-pt jump shot from 9 ft,,2,7
1,9:43.0,Offensive rebound by O. Porter,,2,7
1,9:41.0,J. Wall misses 3-pt jump shot from 24 ft,,2,7
1,9:41.0,,Defensive rebound by J. Holiday,2,7
1,9:31.0,,N. Mirotić misses 2-pt jump shot from 16 ft,2,7
1,9:27.0,,Offensive rebound by Team,2,7
1,9:25.0,,Personal foul by B. Beal (drawn by A. Davis),2,7
1,9:18.0,,A. Davis misses 2-pt layup from 3 ft,2,7
1,9:15.0,,Offensive rebound by A. Davis,2,7
1,9:15.0,,A. Davis misses 2-pt layup from 1 ft,2,7
1,9:15.0,,Offensive rebound by E. Moore,2,7
1,9:13.0,,E. Moore misses 3-pt jump shot from 24 ft,2,7
1,9:11.0,Defensive rebound by J. Wall,,2,7
1,9:09.0,O. Porter makes 2-pt layup from 2 ft (assist by J. Wall),,4,7
1,8:54.0,,N. Mirotić misses 3-pt jump shot from 23 ft,4,7
1,8:51.0,Defensive rebound by J. Wall,,4,7
1,8:46.0,K. Oubre misses 2-pt layup from 1 ft,,4,7
1,8:43.0,,Defensive rebound by E. Moore,4,7
1,8:33.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by A. Davis),4,10
1,8:21.0,B. Beal misses 2-pt layup from 1 ft (block by J. Holiday),,4,10
1,8:17.0,Offensive rebound by J. Wall,,4,10
1,8:16.0,Shooting foul by N. Mirotić (drawn by J. Wall),,4,10
1,8:16.0,J. Wall makes free throw 1 of 2,,5,10
1,8:16.0,J. Wall misses free throw 2 of 2,,5,10
1,8:14.0,,Defensive rebound by J. Holiday,5,10
1,8:04.0,,A. Davis makes 2-pt jump shot from 14 ft (assist by E. Moore),5,12
1,7:55.0,Personal foul by E. Moore (drawn by O. Porter),,5,12
1,7:48.0,Turnover by B. Beal (bad pass; steal by A. Davis),,5,12
1,7:44.0,,Turnover by T. Frazier (bad pass),5,12
1,7:29.0,J. Wall makes 2-pt jump shot from 18 ft,,7,12
1,7:20.0,,J. Holiday misses 3-pt jump shot from 24 ft,7,12
1,7:17.0,Defensive rebound by O. Porter,,7,12
1,7:11.0,K. Oubre misses 2-pt layup from 7 ft (block by A. Davis),,7,12
1,7:07.0,,Defensive rebound by J. Holiday,7,12
1,7:06.0,,Shooting foul by J. Wall (drawn by T. Frazier),7,12
1,7:06.0,,T. Frazier makes free throw 1 of 2,7,13
1,7:06.0,,T. Frazier makes free throw 2 of 2,7,14
1,6:54.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by B. Beal),,10,14
1,6:34.0,,J. Holiday makes 2-pt layup from 2 ft (assist by T. Frazier),10,16
1,6:20.0,J. Wall misses 3-pt jump shot from 26 ft,,10,16
1,6:17.0,,Defensive rebound by A. Davis,10,16
