QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
1,11:41.0,B. Lopez misses 3-pt jump shot from 26 ft,,0,0
1,11:38.0,,Defensive rebound by T. Hardaway,0,0
1,11:22.0,,T. Hardaway misses 2-pt jump shot from 19 ft,0,0
1,11:20.0,Defensive rebound by E. Bledsoe,,0,0
1,11:12.0,M. Brogdon makes 2-pt layup from 1 ft (assist by E. Bledsoe),,2,0
1,10:57.0,,K. Knox misses 3-pt jump shot from 26 ft,2,0
1,10:53.0,Defensive rebound by E. Bledsoe,,2,0
1,10:52.0,Turnover by E. Bledsoe (bad pass),,2,0
1,10:42.0,,T. Hardaway misses 2-pt jump shot from 21 ft,2,0
1,10:39.0,Defensive rebound by G. Antetokounmpo,,2,0
1,10:24.0,G. Antetokounmpo misses 2-pt dunk from 1 ft,,2,0
1,10:20.0,Offensive rebound by M. Brogdon,,2,0
1,10:20.0,M. Brogdon makes 3-pt jump shot from 23 ft,,5,0
1,10:06.0,,K. Knox misses 2-pt jump shot from 21 ft,5,0
1,10:05.0,Defensive rebound by G. Antetokounmpo,,5,0
1,9:57.0,M. Brogdon misses 2-pt dunk from 1 ft (block by N. Vonleh),,5,0
1,9:54.0,,Defensive rebound by N. Vonleh,5,0
1,9:37.0,,E. Mudiay makes 2-pt jump shot from 10 ft,5,2
1,9:18.0,B. Lopez makes 2-pt dunk at rim,,7,2
1,9:00.0,,E. Freedom misses 2-pt hook shot from 5 ft,7,2
1,8:58.0,,Offensive rebound by Team,7,2
1,8:51.0,,E. Mudiay misses 3-pt jump shot from 24 ft,7,2
1,8:46.0,Defensive rebound by G. Antetokounmpo,,7,2
1,8:35.0,K. Middleton misses 2-pt jump shot from 20 ft,,7,2
1,8:32.0,,Defensive rebound by K. Knox,7,2
1,8:25.0,,T. Hardaway misses 2-pt jump shot from 17 ft,7,2
1,8:23.0,Defensive rebound by G. Antetokounmpo,,7,2
1,8:15.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),,10,2
1,8:14.0,,New York full timeout,10,2
1,8:04.0,,Shooting foul by B. Lopez (drawn by K. Knox),10,2
1,8:04.0,,K. Knox makes free throw 1 of 2,10,3
1,8:04.0,,K. Knox makes free throw 2 of 2,10,4
1,7:53.0,Turnover by E. Bledsoe (bad pass; steal by T. Hardaway),,10,4
1,7:47.0,,T. Hardaway makes 2-pt jump shot from 10 ft,10,6
1,7:25.0,Turnover by M. Brogdon (bad pass; steal by E. Freedom),,10,6
1,7:18.0,,K. Knox makes 3-pt jump shot from 23 ft (assist by E. Mudiay),10,9
1,7:01.0,K. Middleton misses 3-pt jump shot from 26 ft,,10,9
1,7:00.0,,Defensive rebound by T. Hardaway,10,9
1,6:57.0,,Shooting foul by K. Middleton (drawn by K. Knox),10,9
1,6:57.0,Milwaukee full timeout,,10,9
1,6:57.0,S. Brown enters the game for M. Brogdon,,10,9
1,6:57.0,,K. Knox makes free throw 1 of 2,10,10
1,6:57.0,,K. Knox makes free throw 2 of 2,10,11
1,6:42.0,Personal foul by N. Vonleh (drawn by G. Antetokounmpo),,10,11
1,6:35.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft,,12,11
1,6:20.0,,Turnover by E. Mudiay (bad pass; steal by G. Antetokounmpo),12,11
1,6:18.0,Personal foul by K. Knox (drawn by G. Antetokounmpo),,12,11
1,6:11.0,K. Middleton misses 2-pt jump shot from 10 ft,,12,11
1,6:08.0,,Defensive rebound by N. Vonleh,12,11
1,6:01.0,,T. Hardaway misses 2-pt layup from 1 ft (block by B. Lopez),12,11
1,5:57.0,Defensive rebound by S. Brown,,12,11
1,5:56.0,E. Bledsoe misses 2-pt layup from 1 ft,,12,11
1,5:56.0,Offensive rebound by G. Antetokounmpo,,12,11
1,5:52.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,12,11
1,5:52.0,,Defensive rebound by E. Freedom,12,11
1,5:50.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by E. Mudiay),12,14
1,5:39.0,Offensive foul by G. Antetokounmpo (drawn by N. Vonleh),,12,14
1,5:39.0,Turnover by G. Antetokounmpo (offensive foul),,12,14
1,5:39.0,G. Hill enters the game for G. Antetokounmpo,,12,14
1,5:39.0,D. Wilson enters the game for E. Bledsoe,,12,14
1,5:30.0,,Personal foul by S. Brown (drawn by T. Hardaway),12,14
1,5:30.0,,D. Dotson enters the game for E. Freedom,12,14
