QUARTER,TIME_REMAINING,CHICAGO_ACTION,CLEVELAND_ACTION,CHICAGO_SCORE,CLEVELAND_SCORE
1,11:48.0,,Turnover by C. Osman (bad pass; steal by J. Holiday),0,0
1,11:47.0,Shooting foul by C. Osman (drawn by J. Holiday),,0,0
1,11:47.0,J. Holiday makes free throw 1 of 2,,1,0
1,11:47.0,J. Holiday makes free throw 2 of 2,,2,0
1,11:25.0,,A. Burks makes 3-pt jump shot from 26 ft (assist by C. Sexton),2,3
1,11:05.0,L. Markkanen makes 2-pt jump shot at rim (assist by K. Dunn),,4,3
1,10:46.0,,C. Sexton misses 2-pt layup from 5 ft (block by K. Dunn),4,3
1,10:43.0,,Offensive rebound by L. Nance,4,3
1,10:41.0,,J. Blossomgame misses 3-pt jump shot from 30 ft,4,3
1,10:40.0,Defensive rebound by K. Dunn,,4,3
1,10:32.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),,7,3
1,10:15.0,,L. Nance makes 2-pt layup from 3 ft (assist by C. Sexton),7,5
1,10:06.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by W. Carter),,10,5
1,10:06.0,,Cleveland full timeout,10,5
1,9:53.0,,C. Osman makes 2-pt layup from 1 ft,10,7
1,9:53.0,,Shooting foul by R. Arcidiacono (drawn by C. Osman),10,7
1,9:53.0,,C. Osman makes free throw 1 of 1,10,8
1,9:42.0,L. Markkanen misses 2-pt jump shot from 8 ft,,10,8
1,9:41.0,Offensive rebound by W. Carter,,10,8
1,9:41.0,W. Carter misses 2-pt layup from 1 ft,,10,8
1,9:39.0,,Defensive rebound by L. Nance,10,8
1,9:24.0,,C. Sexton makes 2-pt jump shot from 19 ft,10,10
1,9:10.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by W. Carter),,13,10
1,8:55.0,,C. Osman misses 3-pt jump shot from 22 ft,13,10
1,8:52.0,Defensive rebound by W. Carter,,13,10
1,8:32.0,W. Carter misses 2-pt jump shot from 8 ft,,13,10
1,8:30.0,,Defensive rebound by J. Blossomgame,13,10
1,8:23.0,,C. Osman makes 2-pt layup at rim,13,12
1,8:09.0,J. Holiday makes 3-pt jump shot from 28 ft (assist by L. Markkanen),,16,12
1,7:52.0,,C. Osman misses 2-pt jump shot from 8 ft,16,12
1,7:51.0,,Offensive rebound by C. Osman,16,12
1,7:40.0,,C. Osman misses 2-pt layup from 3 ft,16,12
1,7:38.0,Defensive rebound by J. Holiday,,16,12
1,7:28.0,K. Dunn misses 2-pt jump shot from 18 ft,,16,12
1,7:25.0,,Defensive rebound by A. Burks,16,12
1,7:18.0,,Personal foul by J. Holiday (drawn by L. Nance),16,12
1,7:02.0,,Turnover by C. Sexton (lost ball; steal by K. Dunn),16,12
1,6:58.0,J. Holiday misses 3-pt jump shot from 25 ft,,16,12
1,6:57.0,,Defensive rebound by A. Burks,16,12
1,6:43.0,,A. Burks makes 3-pt jump shot from 26 ft,16,15
1,6:25.0,Turnover by J. Holiday (bad pass; steal by L. Nance),,16,15
1,6:19.0,,C. Osman makes 2-pt layup at rim,16,17
1,6:10.0,K. Dunn misses 2-pt dunk from 1 ft,,16,17
1,6:08.0,,Defensive rebound by C. Osman,16,17
1,6:03.0,,C. Sexton misses 2-pt jump shot from 14 ft,16,17
1,6:02.0,,Offensive rebound by Team,16,17
1,6:02.0,,J. Clarkson enters the game for J. Blossomgame,16,17
1,5:48.0,,Turnover by L. Nance (lost ball; steal by R. Arcidiacono),16,17
1,5:44.0,K. Dunn makes 2-pt layup from 1 ft,,18,17
1,5:29.0,,Personal foul by W. Carter (drawn by L. Nance),18,17
1,5:22.0,,C. Sexton misses 3-pt jump shot from 26 ft,18,17
1,5:19.0,Defensive rebound by L. Markkanen,,18,17
1,5:05.0,K. Dunn misses 2-pt jump shot from 16 ft,,18,17
1,5:04.0,Offensive rebound by W. Carter,,18,17
1,5:04.0,W. Carter misses 2-pt layup from 1 ft,,18,17
1,5:01.0,,Defensive rebound by C. Osman,18,17
1,4:46.0,,C. Sexton misses 2-pt layup from 2 ft,18,17
1,4:41.0,,Offensive rebound by L. Nance,18,17
1,4:41.0,,L. Nance makes 2-pt layup at rim,18,19
1,4:40.0,Chicago full timeout,,18,19
1,4:40.0,S. Harrison enters the game for K. Dunn,,18,19
1,4:40.0,C. Hutchison enters the game for L. Markkanen,,18,19
1,4:40.0,,D. Nwaba enters the game for A. Burks,18,19
1,4:40.0,,A. Žižić enters the game for L. Nance,18,19
1,4:20.0,W. Carter misses 2-pt layup from 3 ft (block by A. Žižić),,18,19
1,4:20.0,Offensive rebound by Team,,18,19
1,4:20.0,Turnover by Team (shot clock),,18,19
1,4:06.0,,J. Clarkson makes 2-pt layup at rim,18,21
1,3:54.0,R. Arcidiacono makes 2-pt layup from 1 ft,,20,21
1,3:26.0,,J. Clarkson misses 3-pt jump shot from 25 ft,20,21
1,3:26.0,Defensive rebound by J. Holiday,,20,21
1,3:12.0,W. Carter misses 2-pt jump shot from 14 ft,,20,21
1,3:09.0,,Defensive rebound by C. Osman,20,21
1,2:49.0,,Shooting foul by S. Harrison (drawn by D. Nwaba),20,21
1,2:49.0,,D. Nwaba misses free throw 1 of 2,20,21
1,2:49.0,,Offensive rebound by Team,20,21
1,2:49.0,R. Lopez enters the game for W. Carter,,20,21
1,2:49.0,,J. Blossomgame enters the game for C. Osman,20,21
1,2:49.0,,M. Dellavedova enters the game for C. Sexton,20,21
1,2:49.0,,D. Nwaba makes free throw 2 of 2,20,22
1,2:38.0,S. Harrison makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),,23,22
