QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,GOLDEN STATE_ACTION,LA CLIPPERS_SCORE,GOLDEN STATE_SCORE
1,11:42.0,I. Zubac misses 2-pt jump shot from 6 ft (block by K. Durant),,0,0
1,11:41.0,Offensive rebound by P. Beverley,,0,0
1,11:35.0,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,,0,0
1,11:33.0,,Defensive rebound by S. Curry,0,0
1,11:22.0,,D. Cousins misses 2-pt jump shot from 8 ft,0,0
1,11:21.0,Defensive rebound by D. Gallinari,,0,0
1,11:09.0,D. Gallinari makes 3-pt jump shot from 30 ft (assist by P. Beverley),,3,0
1,10:45.0,,D. Cousins makes 2-pt dunk from 2 ft (assist by S. Curry),3,2
1,10:36.0,Turnover by I. Zubac (lost ball; steal by D. Cousins),,3,2
1,10:28.0,,D. Cousins misses 2-pt layup from 4 ft,3,2
1,10:27.0,Defensive rebound by D. Gallinari,,3,2
1,10:08.0,P. Beverley misses 3-pt jump shot from 22 ft,,3,2
1,10:04.0,Offensive rebound by Team,,3,2
1,9:54.0,D. Gallinari misses 2-pt jump shot from 12 ft,,3,2
1,9:53.0,,Defensive rebound by S. Curry,3,2
1,9:48.0,,Turnover by D. Green (bad pass; steal by P. Beverley),3,2
1,9:45.0,Turnover by P. Beverley (bad pass; steal by K. Thompson),,3,2
1,9:40.0,,D. Green misses 2-pt layup from 3 ft (block by P. Beverley),3,2
1,9:39.0,,Offensive rebound by Team,3,2
1,9:37.0,,K. Thompson misses 3-pt jump shot from 28 ft,3,2
1,9:35.0,Defensive rebound by D. Gallinari,,3,2
1,9:23.0,P. Beverley misses 3-pt jump shot from 25 ft,,3,2
1,9:21.0,,Defensive rebound by K. Durant,3,2
1,9:11.0,,D. Cousins makes 3-pt jump shot from 27 ft (assist by K. Durant),3,5
1,8:57.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft (assist by I. Zubac),,5,5
1,8:45.0,,D. Green makes 2-pt dunk from 2 ft (assist by K. Durant),5,7
1,8:45.0,LA Clippers full timeout,,5,7
1,8:23.0,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft (block by D. Green),,5,7
1,8:22.0,Offensive rebound by S. Gilgeous-Alexander,,5,7
1,8:22.0,Shooting foul by D. Green (drawn by S. Gilgeous-Alexander),,5,7
1,8:22.0,S. Gilgeous-Alexander makes free throw 1 of 2,,6,7
1,8:22.0,S. Gilgeous-Alexander makes free throw 2 of 2,,7,7
1,8:22.0,,Turnover by D. Green (bad pass),7,7
1,8:04.0,D. Gallinari misses 2-pt jump shot from 22 ft,,7,7
1,8:02.0,,Defensive rebound by D. Cousins,7,7
1,7:53.0,,D. Green makes 2-pt layup from 4 ft (assist by D. Cousins),7,9
1,7:53.0,,Shooting foul by I. Zubac (drawn by D. Green),7,9
1,7:53.0,,D. Green makes free throw 1 of 1,7,10
1,7:31.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,7,10
1,7:30.0,Offensive rebound by Team,,7,10
1,7:27.0,L. Shamet misses 2-pt layup from 8 ft (block by K. Thompson),,7,10
1,7:26.0,,Defensive rebound by S. Curry,7,10
1,7:22.0,,Turnover by S. Curry (bad pass),7,10
1,7:15.0,Offensive foul by I. Zubac (drawn by S. Curry),,7,10
1,7:15.0,Turnover by I. Zubac (offensive foul),,7,10
1,7:15.0,M. Harrell enters the game for I. Zubac,,7,10
1,7:05.0,,Personal foul by M. Harrell (drawn by K. Durant),7,10
1,6:59.0,,K. Durant misses 2-pt jump shot from 15 ft (block by S. Gilgeous-Alexander),7,10
1,6:58.0,,Offensive rebound by D. Green,7,10
1,6:55.0,,K. Durant misses 2-pt jump shot from 17 ft,7,10
1,6:54.0,Defensive rebound by M. Harrell,,7,10
1,6:42.0,D. Gallinari makes 2-pt jump shot from 21 ft (assist by M. Harrell),,9,10
1,6:32.0,,Turnover by D. Green (bad pass; steal by L. Shamet),9,10
1,6:28.0,Shooting foul by D. Cousins (drawn by M. Harrell),,9,10
1,6:28.0,M. Harrell misses free throw 1 of 2,,9,10
1,6:28.0,Offensive rebound by Team,,9,10
1,6:28.0,M. Harrell makes free throw 2 of 2,,10,10
1,6:28.0,L. Williams enters the game for L. Shamet,,10,10
1,6:15.0,,S. Curry misses 3-pt jump shot from 27 ft,10,10
1,6:13.0,Defensive rebound by D. Gallinari,,10,10
1,6:07.0,M. Harrell misses 2-pt layup from 8 ft,,10,10
1,6:06.0,,Defensive rebound by D. Green,10,10
1,5:56.0,,K. Thompson makes 2-pt jump shot from 9 ft (assist by S. Curry),10,12
1,5:46.0,L. Williams makes 2-pt jump shot from 18 ft,,12,12
1,5:32.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by D. Green),12,15
1,5:09.0,M. Harrell makes 2-pt layup from 5 ft,,14,15
1,5:02.0,,Golden State full timeout,14,15
1,5:02.0,,A. Iguodala enters the game for D. Cousins,14,15
1,5:02.0,,K. Looney enters the game for K. Thompson,14,15
1,4:54.0,,S. Curry misses 2-pt layup from 3 ft (block by S. Gilgeous-Alexander),14,15
1,4:52.0,Defensive rebound by D. Gallinari,,14,15
1,4:47.0,L. Williams makes 2-pt layup from 4 ft (assist by P. Beverley),,16,15
1,4:37.0,,D. Green makes 3-pt jump shot from 29 ft (assist by S. Curry),16,18
1,4:21.0,Turnover by D. Gallinari (bad pass; steal by D. Green),,16,18
1,4:11.0,,S. Curry makes 3-pt jump shot from 29 ft (assist by A. Iguodala),16,21
1,4:01.0,Personal foul by D. Green (drawn by D. Gallinari),,16,21
1,3:49.0,D. Gallinari misses 3-pt jump shot from 27 ft,,16,21
1,3:47.0,,Defensive rebound by K. Durant,16,21
1,3:33.0,,K. Looney makes 2-pt jump shot from 6 ft (assist by D. Green),16,23
1,3:20.0,L. Williams misses 2-pt jump shot from 10 ft,,16,23
1,3:19.0,,Defensive rebound by D. Green,16,23
1,3:15.0,,Turnover by D. Green (bad pass),16,23
1,3:15.0,J. Green enters the game for D. Gallinari,,16,23
1,3:15.0,G. Temple enters the game for S. Gilgeous-Alexander,,16,23
1,3:15.0,,A. McKinnie enters the game for K. Durant,16,23
1,3:06.0,P. Beverley misses 2-pt layup from 9 ft (block by A. McKinnie),,16,23
1,3:05.0,,Defensive rebound by K. Looney,16,23
1,2:50.0,,K. Looney makes 2-pt jump shot from 7 ft (assist by D. Green),16,25
1,2:27.0,M. Harrell makes 2-pt layup from 3 ft (assist by P. Beverley),,18,25
1,2:12.0,,D. Green makes 3-pt jump shot from 28 ft (assist by S. Curry),18,28
1,1:54.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,20,28
1,1:38.0,,Turnover by K. Looney (out of bounds lost ball),20,28
1,1:38.0,W. Chandler enters the game for P. Beverley,,20,28
1,1:30.0,M. Harrell misses 2-pt layup from 4 ft (block by K. Looney),,20,28
