QUARTER,TIME_REMAINING,INDIANA_ACTION,MINNESOTA_ACTION,INDIANA_SCORE,MINNESOTA_SCORE
1,11:39.0,,K. Towns misses 2-pt hook shot from 9 ft,0,0
1,11:37.0,,Offensive rebound by Team,0,0
1,11:25.0,,T. Gibson makes 3-pt jump shot from 23 ft (assist by A. Wiggins),0,3
1,10:59.0,M. Turner misses 2-pt jump shot from 14 ft,,0,3
1,10:57.0,,Defensive rebound by T. Gibson,0,3
1,10:49.0,,T. Gibson makes 2-pt hook shot from 6 ft (assist by J. Teague),0,5
1,10:29.0,T. Young makes 2-pt layup from 1 ft (assist by M. Turner),,2,5
1,10:04.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),2,8
1,9:48.0,M. Turner misses 3-pt jump shot from 25 ft,,2,8
1,9:45.0,,Defensive rebound by J. Teague,2,8
1,9:39.0,,K. Towns misses 2-pt layup from 6 ft (block by T. Young),2,8
1,9:36.0,Defensive rebound by T. Young,,2,8
1,9:34.0,D. Collison misses 2-pt layup from 1 ft,,2,8
1,9:33.0,Offensive rebound by Team,,2,8
1,9:28.0,V. Oladipo makes 2-pt jump shot from 12 ft,,4,8
1,9:14.0,,J. Teague misses 2-pt jump shot from 10 ft,4,8
1,9:11.0,Defensive rebound by M. Turner,,4,8
1,9:08.0,Shooting foul by J. Teague (drawn by D. Collison),,4,8
1,9:08.0,D. Collison makes free throw 1 of 2,,5,8
1,9:08.0,D. Collison misses free throw 2 of 2,,5,8
1,9:06.0,,Defensive rebound by K. Towns,5,8
1,8:58.0,,A. Wiggins makes 2-pt jump shot from 7 ft (assist by J. Teague),5,10
1,8:41.0,M. Turner misses 2-pt jump shot from 18 ft,,5,10
1,8:39.0,,Defensive rebound by J. Teague,5,10
1,8:34.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),5,12
1,8:11.0,T. Young misses 2-pt layup from 5 ft,,5,12
1,8:09.0,,Defensive rebound by K. Towns,5,12
1,8:06.0,,Shooting foul by M. Turner (drawn by J. Butler),5,12
1,8:06.0,,J. Butler makes free throw 1 of 2,5,13
1,8:06.0,,J. Butler makes free throw 2 of 2,5,14
1,7:51.0,V. Oladipo makes 2-pt layup from 3 ft,,7,14
1,7:34.0,,A. Wiggins misses 2-pt jump shot from 15 ft,7,14
1,7:33.0,Defensive rebound by B. Bogdanović,,7,14
1,7:25.0,B. Bogdanović misses 2-pt jump shot from 13 ft (block by T. Gibson),,7,14
1,7:25.0,Offensive rebound by Team,,7,14
1,7:17.0,V. Oladipo makes 2-pt jump shot from 14 ft,,9,14
1,7:03.0,,Turnover by K. Towns (lost ball; steal by T. Young),9,14
1,6:58.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Collison),,12,14
1,6:44.0,,Personal foul by M. Turner (drawn by T. Gibson),12,14
1,6:44.0,,Minnesota full timeout,12,14
1,6:44.0,D. Sabonis enters the game for M. Turner,,12,14
1,6:39.0,,Shooting foul by D. Sabonis (drawn by J. Butler),12,14
1,6:39.0,,J. Butler makes free throw 1 of 2,12,15
1,6:39.0,,J. Butler makes free throw 2 of 2,12,16
1,6:27.0,T. Young makes 2-pt hook shot from 5 ft,,14,16
1,6:27.0,,Violation by Team (def goaltending),14,16
1,6:14.0,,K. Towns misses 3-pt jump shot from 25 ft,14,16
1,6:11.0,Defensive rebound by D. Sabonis,,14,16
1,6:06.0,V. Oladipo makes 2-pt layup from 1 ft,,16,16
1,5:49.0,,J. Butler makes 2-pt jump shot from 15 ft,16,18
1,5:29.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,16,18
1,5:25.0,Offensive rebound by T. Young,,16,18
1,5:25.0,T. Young misses 2-pt layup from 1 ft,,16,18
1,5:25.0,Offensive rebound by Team,,16,18
1,5:25.0,,D. Rose enters the game for J. Butler,16,18
1,5:14.0,V. Oladipo misses 3-pt jump shot from 26 ft,,16,18
1,5:11.0,Offensive rebound by D. Sabonis,,16,18
1,5:08.0,Turnover by D. Sabonis (lost ball; steal by D. Rose),,16,18
1,5:01.0,,Turnover by T. Gibson (lost ball; steal by D. Collison),16,18
1,4:55.0,T. Young misses 2-pt jump shot from 17 ft,,16,18
1,4:53.0,Offensive rebound by B. Bogdanović,,16,18
1,4:48.0,T. Young misses 3-pt jump shot from 23 ft,,16,18
1,4:44.0,,Defensive rebound by T. Gibson,16,18
1,4:28.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),16,20
1,4:17.0,B. Bogdanović misses 2-pt jump shot from 10 ft (block by K. Towns),,16,20
1,4:15.0,,Defensive rebound by K. Towns,16,20
1,4:11.0,,A. Wiggins misses 3-pt jump shot from 25 ft,16,20
1,4:06.0,Defensive rebound by B. Bogdanović,,16,20
1,4:02.0,D. Collison misses 2-pt layup from 1 ft,,16,20
1,3:57.0,Offensive rebound by D. Sabonis,,16,20
1,3:57.0,D. Sabonis makes 2-pt layup from 1 ft,,18,20
1,3:55.0,,Minnesota full timeout,18,20
1,3:55.0,C. Joseph enters the game for B. Bogdanović,,18,20
1,3:55.0,K. O'Quinn enters the game for T. Young,,18,20
1,3:55.0,,J. Okogie enters the game for A. Wiggins,18,20
1,3:47.0,,J. Teague misses 2-pt jump shot from 14 ft,18,20
1,3:43.0,Defensive rebound by K. O'Quinn,,18,20
1,3:33.0,K. O'Quinn makes 2-pt jump shot from 20 ft (assist by C. Joseph),,20,20
1,3:23.0,,K. Towns misses 3-pt jump shot from 25 ft,20,20
1,3:21.0,Defensive rebound by V. Oladipo,,20,20
1,3:15.0,Shooting foul by J. Okogie (drawn by V. Oladipo),,20,20
1,3:15.0,V. Oladipo makes free throw 1 of 2,,21,20
1,3:15.0,T. Evans enters the game for D. Collison,,21,20
1,3:15.0,,A. Tolliver enters the game for T. Gibson,21,20
1,3:15.0,V. Oladipo makes free throw 2 of 2,,22,20
1,3:04.0,,A. Tolliver misses 3-pt jump shot from 25 ft,22,20
1,3:01.0,Defensive rebound by T. Evans,,22,20
1,2:59.0,Personal foul by A. Tolliver (drawn by D. Sabonis),,22,20
