QUARTER,TIME_REMAINING,INDIANA_ACTION,LA LAKERS_ACTION,INDIANA_SCORE,LA LAKERS_SCORE
1,11:41.0,D. Collison misses 2-pt jump shot from 18 ft,,0,0
1,11:37.0,,Defensive rebound by K. Kuzma,0,0
1,11:26.0,,B. Ingram makes 2-pt dunk from 1 ft (assist by L. James),0,2
1,11:08.0,M. Turner misses 2-pt layup from 3 ft (block by J. McGee),,0,2
1,11:06.0,,Defensive rebound by K. Kuzma,0,2
1,11:03.0,,K. Kuzma makes 2-pt layup from 1 ft,0,4
1,10:41.0,T. Evans misses 2-pt layup from 3 ft,,0,4
1,10:39.0,,Defensive rebound by L. Ball,0,4
1,10:37.0,,Shooting foul by M. Turner (drawn by L. James),0,4
1,10:37.0,,L. James misses free throw 1 of 2,0,4
1,10:37.0,,Offensive rebound by Team,0,4
1,10:37.0,,L. James misses free throw 2 of 2,0,4
1,10:35.0,Defensive rebound by B. Bogdanović,,0,4
1,10:13.0,T. Young misses 2-pt hook shot from 2 ft,,0,4
1,10:11.0,,Defensive rebound by B. Ingram,0,4
1,9:57.0,,L. James makes 2-pt jump shot from 19 ft,0,6
1,9:42.0,Personal foul by K. Kuzma (drawn by B. Bogdanović),,0,6
1,9:31.0,D. Collison misses 2-pt jump shot from 17 ft,,0,6
1,9:28.0,,Defensive rebound by L. James,0,6
1,9:25.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),0,8
1,9:20.0,Indiana full timeout,,0,8
1,9:09.0,Turnover by T. Young (out of bounds lost ball),,0,8
1,8:54.0,,L. James makes 2-pt layup from 1 ft (assist by B. Ingram),0,10
1,8:39.0,M. Turner misses 2-pt jump shot from 18 ft,,0,10
1,8:36.0,,Defensive rebound by L. Ball,0,10
1,8:29.0,,K. Kuzma makes 3-pt jump shot from 22 ft (assist by J. McGee),0,13
1,8:13.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,0,13
1,8:09.0,,Defensive rebound by L. Ball,0,13
1,8:06.0,,L. James misses 3-pt jump shot from 24 ft,0,13
1,8:02.0,Defensive rebound by M. Turner,,0,13
1,7:58.0,D. Collison misses 2-pt layup from 6 ft (block by L. Ball),,0,13
1,7:58.0,Offensive rebound by Team,,0,13
1,7:51.0,T. Evans misses 3-pt jump shot from 26 ft,,0,13
1,7:48.0,,Defensive rebound by K. Kuzma,0,13
1,7:44.0,,Turnover by K. Kuzma (lost ball; steal by T. Young),0,13
1,7:40.0,T. Young misses 2-pt layup from 4 ft (block by J. McGee),,0,13
1,7:37.0,Offensive rebound by M. Turner,,0,13
1,7:36.0,M. Turner misses 2-pt layup from 2 ft (block by B. Ingram),,0,13
1,7:34.0,,Defensive rebound by J. McGee,0,13
1,7:31.0,,Turnover by J. McGee (lost ball; steal by T. Evans),0,13
1,7:26.0,T. Young makes 2-pt layup from 2 ft (assist by T. Evans),,2,13
1,7:13.0,,K. Kuzma misses 3-pt jump shot from 25 ft,2,13
1,7:08.0,Defensive rebound by D. Collison,,2,13
1,6:57.0,T. Young misses 2-pt layup from 3 ft,,2,13
1,6:51.0,Offensive rebound by T. Young,,2,13
1,6:51.0,T. Young misses 2-pt layup at rim,,2,13
1,6:51.0,,Defensive rebound by J. McGee,2,13
1,6:47.0,,Personal foul by T. Evans (drawn by B. Ingram),2,13
