QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PORTLAND_ACTION,NEW ORLEANS_SCORE,PORTLAND_SCORE
1,8:02.0,,C. McCollum makes 2-pt jump shot from 18 ft (assist by D. Lillard),11,12
1,7:45.0,E. Moore makes 3-pt jump shot from 25 ft (assist by J. Randle),,14,12
1,7:36.0,,Personal foul by E. Payton (drawn by C. McCollum),14,12
1,7:36.0,T. Frazier enters the game for E. Payton,,14,12
1,7:29.0,,Offensive foul by J. Nurkić (drawn by J. Holiday),14,12
1,7:29.0,,Turnover by J. Nurkić (offensive foul),14,12
1,7:10.0,Turnover by J. Randle (bad pass; steal by A. Aminu),,14,12
1,7:10.0,,A. Aminu misses 2-pt layup at rim,14,12
1,7:10.0,,Offensive rebound by Team,14,12
1,7:03.0,Loose ball foul by J. Holiday (drawn by M. Harkless),,14,12
1,6:56.0,,M. Harkless makes 2-pt dunk from 1 ft (assist by J. Nurkić),14,14
1,6:32.0,J. Holiday makes 2-pt jump shot from 4 ft (assist by J. Randle),,16,14
1,6:13.0,,J. Nurkić misses 2-pt layup from 6 ft,16,14
1,6:13.0,Defensive rebound by Team,,16,14
1,6:13.0,,Portland full timeout,16,14
1,6:13.0,D. Miller enters the game for E. Moore,,16,14
1,5:54.0,J. Randle makes 2-pt layup from 1 ft,,18,14
1,5:34.0,,M. Harkless makes 2-pt layup from 1 ft,18,16
1,5:19.0,A. Davis makes 2-pt layup from 2 ft,,20,16
1,5:05.0,,J. Nurkić makes 2-pt hook shot from 5 ft,20,18
1,4:51.0,D. Miller misses 2-pt jump shot from 5 ft,,20,18
1,4:50.0,,Defensive rebound by J. Nurkić,20,18
1,4:42.0,,Turnover by D. Lillard (bad pass; steal by J. Randle),20,18
1,4:37.0,J. Randle misses 2-pt layup from 3 ft,,20,18
1,4:33.0,Offensive rebound by A. Davis,,20,18
1,4:33.0,A. Davis makes 2-pt dunk at rim,,22,18
1,4:22.0,,C. McCollum makes 2-pt jump shot from 18 ft,22,20
1,4:22.0,N. Mirotić enters the game for J. Randle,,22,20
1,4:22.0,,Z. Collins enters the game for M. Harkless,22,20
1,4:22.0,,E. Turner enters the game for J. Nurkić,22,20
1,4:01.0,A. Davis misses 2-pt jump shot from 8 ft,,22,20
1,3:59.0,,Defensive rebound by C. McCollum,22,20
1,3:53.0,,E. Turner makes 2-pt jump shot from 14 ft (assist by C. McCollum),22,22
1,3:35.0,J. Holiday makes 2-pt layup from 1 ft,,24,22
1,3:20.0,,D. Lillard misses 3-pt jump shot from 26 ft,24,22
1,3:19.0,Defensive rebound by J. Holiday,,24,22
1,3:04.0,A. Davis misses 2-pt jump shot from 16 ft,,24,22
1,3:01.0,Offensive rebound by T. Frazier,,24,22
1,2:58.0,Shooting foul by Z. Collins (drawn by D. Miller),,24,22
1,2:58.0,New Orleans full timeout,,24,22
1,2:58.0,,S. Curry enters the game for C. McCollum,24,22
1,2:58.0,D. Miller makes free throw 1 of 2,,25,22
1,2:58.0,D. Miller misses free throw 2 of 2,,25,22
1,2:56.0,,Defensive rebound by A. Aminu,25,22
1,2:43.0,,D. Lillard makes 2-pt jump shot from 10 ft,25,24
1,2:23.0,N. Mirotić misses 2-pt jump shot from 18 ft,,25,24
1,2:19.0,,Defensive rebound by S. Curry,25,24
1,2:11.0,,Personal foul by N. Mirotić (drawn by A. Aminu),25,24
1,2:01.0,,A. Aminu makes 3-pt jump shot from 22 ft (assist by Z. Collins),25,27
1,1:53.0,J. Holiday makes 2-pt layup from 1 ft (assist by T. Frazier),,27,27
1,1:42.0,,A. Aminu misses 3-pt jump shot from 25 ft,27,27
1,1:38.0,Defensive rebound by A. Davis,,27,27
1,1:34.0,Offensive foul by N. Mirotić (drawn by A. Aminu),,27,27
1,1:34.0,Turnover by N. Mirotić (offensive foul),,27,27
1,1:18.0,,Personal foul by T. Frazier (drawn by D. Lillard),27,27
1,1:18.0,,D. Lillard makes free throw 1 of 2,27,28
1,1:18.0,F. Jackson enters the game for J. Holiday,,27,28
1,1:18.0,,D. Lillard misses free throw 2 of 2,27,28
1,1:16.0,Defensive rebound by T. Frazier,,27,28
1,1:03.0,A. Davis makes 2-pt layup from 1 ft (assist by N. Mirotić),,29,28
1,0:58.0,,Personal foul by D. Miller (drawn by D. Lillard),29,28
1,0:58.0,,D. Lillard misses free throw 1 of 2,29,28
1,0:58.0,,Offensive rebound by Team,29,28
1,0:58.0,,D. Lillard makes free throw 2 of 2,29,29
1,0:47.0,A. Davis misses 2-pt layup from 2 ft,,29,29
1,0:46.0,,Defensive rebound by A. Aminu,29,29
1,0:33.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),29,32
1,0:09.0,N. Mirotić misses 3-pt jump shot from 29 ft,,29,32
1,0:06.0,,Defensive rebound by D. Lillard,29,32
1,0:00.0,,D. Lillard misses 2-pt layup from 3 ft,29,32
1,0:00.0,,Offensive rebound by A. Aminu,29,32
1,0:00.0,,A. Aminu misses 2-pt layup from 1 ft,29,32
1,0:00.0,Defensive rebound by A. Davis,,29,32
2,11:39.0,,Z. Collins makes 2-pt layup from 1 ft (assist by S. Curry),29,34
2,11:22.0,Personal foul by Z. Collins (drawn by J. Randle),,29,34
2,11:17.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by E. Payton),,32,34
2,11:01.0,,J. Layman misses 3-pt jump shot from 25 ft,32,34
2,10:59.0,Defensive rebound by D. Miller,,32,34
2,10:45.0,N. Mirotić makes 3-pt jump shot from 24 ft,,35,34
2,10:28.0,,J. Layman misses 3-pt jump shot from 25 ft,35,34
2,10:27.0,Defensive rebound by N. Mirotić,,35,34
2,10:22.0,N. Mirotić misses 3-pt jump shot from 29 ft,,35,34
2,10:18.0,,Defensive rebound by E. Turner,35,34
2,10:10.0,,S. Curry makes 2-pt jump shot from 17 ft (assist by E. Turner),35,36
2,9:58.0,Turnover by E. Payton (bad pass; steal by S. Curry),,35,36
2,9:55.0,,S. Curry misses 3-pt jump shot from 27 ft,35,36
2,9:53.0,,Offensive rebound by Team,35,36
2,9:53.0,Loose ball foul by J. Randle (drawn by Z. Collins),,35,36
2,9:43.0,,Turnover by S. Curry (bad pass; steal by F. Jackson),35,36
2,9:39.0,F. Jackson makes 2-pt layup from 2 ft,,37,36
2,9:39.0,,Portland full timeout,37,36
2,9:15.0,,S. Curry misses 2-pt jump shot from 17 ft (block by N. Mirotić),37,36
2,9:11.0,Defensive rebound by E. Payton,,37,36
2,9:10.0,Personal foul by Z. Collins (drawn by J. Randle),,37,36
2,9:03.0,Turnover by J. Randle (traveling),,37,36
2,8:51.0,,J. Layman makes 2-pt layup at rim (assist by Z. Collins),37,38
2,8:32.0,J. Randle misses 2-pt layup from 2 ft,,37,38
2,8:32.0,,Defensive rebound by Z. Collins,37,38
2,8:25.0,,M. Leonard makes 2-pt layup from 1 ft (assist by E. Turner),37,40
2,8:14.0,F. Jackson misses 3-pt jump shot from 22 ft,,37,40
2,8:12.0,,Defensive rebound by E. Turner,37,40
2,8:07.0,,Z. Collins makes 2-pt dunk from 1 ft (assist by E. Turner),37,42
2,7:58.0,New Orleans full timeout,,37,42
2,7:58.0,J. Holiday enters the game for F. Jackson,,37,42
2,7:58.0,E. Moore enters the game for D. Miller,,37,42
2,7:49.0,N. Mirotić misses 3-pt jump shot from 25 ft,,37,42
2,7:47.0,,Defensive rebound by S. Curry,37,42
2,7:28.0,,E. Turner misses 2-pt jump shot from 15 ft,37,42
2,7:24.0,,Offensive rebound by M. Leonard,37,42
2,7:24.0,A. Davis enters the game for N. Mirotić,,37,42
2,7:24.0,,A. Aminu enters the game for Z. Collins,37,42
2,7:24.0,,J. Nurkić enters the game for M. Leonard,37,42
2,7:13.0,,E. Turner makes 2-pt jump shot from 5 ft,37,44
2,7:02.0,Shooting foul by S. Curry (drawn by J. Holiday),,37,44
2,7:02.0,J. Holiday makes free throw 1 of 2,,38,44
2,7:02.0,,C. McCollum enters the game for S. Curry,38,44
2,7:02.0,J. Holiday makes free throw 2 of 2,,39,44
2,6:53.0,,E. Turner misses 2-pt jump shot from 11 ft,39,44
2,6:50.0,,Offensive rebound by C. McCollum,39,44
2,6:48.0,,J. Layman makes 2-pt jump shot from 17 ft (assist by C. McCollum),39,46
2,6:48.0,,Away from play foul by J. Randle (drawn by J. Nurkić),39,46
2,6:48.0,,J. Nurkić makes free throw 1 of 1,39,47
2,6:30.0,A. Davis makes 2-pt hook shot from 6 ft (assist by J. Holiday),,41,47
2,6:17.0,,C. McCollum makes 2-pt jump shot from 19 ft (assist by E. Turner),41,49
2,6:05.0,Def 3 sec tech foul by Team,,41,49
2,6:05.0,E. Moore makes technical free throw,,42,49
2,5:52.0,E. Payton misses 3-pt jump shot from 25 ft,,42,49
2,5:49.0,,Defensive rebound by E. Turner,42,49
2,5:40.0,,J. Layman makes 2-pt dunk from 1 ft (assist by J. Nurkić),42,51
2,5:29.0,E. Payton makes 2-pt jump shot from 17 ft,,44,51
2,5:18.0,,C. McCollum misses 2-pt jump shot from 22 ft,44,51
2,5:18.0,,Offensive rebound by E. Turner,44,51
2,5:16.0,,E. Turner misses 2-pt layup from 3 ft (block by A. Davis),44,51
2,5:13.0,Defensive rebound by J. Holiday,,44,51
2,5:09.0,Turnover by E. Payton (bad pass; steal by C. McCollum),,44,51
2,5:05.0,,J. Layman makes 3-pt jump shot from 26 ft (assist by J. Nurkić),44,54
2,4:58.0,New Orleans full timeout,,44,54
2,4:58.0,F. Jackson enters the game for E. Moore,,44,54
2,4:58.0,D. Miller enters the game for E. Payton,,44,54
