QUARTER,TIME_REMAINING,LA LAKERS_ACTION,TORONTO_ACTION,LA LAKERS_SCORE,TORONTO_SCORE
1,11:44.0,,K. Leonard misses 2-pt layup from 2 ft (block by J. McGee),0,0
1,11:42.0,Defensive rebound by K. Kuzma,,0,0
1,11:27.0,Turnover by R. Rondo (bad pass),,0,0
1,11:14.0,,P. Siakam misses 3-pt jump shot from 23 ft,0,0
1,11:11.0,Defensive rebound by R. Rondo,,0,0
1,11:02.0,Turnover by R. Rondo (bad pass; steal by M. Gasol),,0,0
1,10:57.0,,Turnover by J. Lin (lost ball; steal by L. James),0,0
1,10:53.0,L. James makes 2-pt layup from 1 ft,,2,0
1,10:43.0,,J. Lin makes 2-pt jump shot from 3 ft (assist by K. Leonard),2,2
1,10:29.0,K. Kuzma misses 3-pt jump shot from 25 ft,,2,2
1,10:27.0,,Defensive rebound by J. Lin,2,2
1,10:23.0,,Shooting foul by K. Kuzma (drawn by P. Siakam),2,2
1,10:23.0,,P. Siakam makes free throw 1 of 2,2,3
1,10:23.0,,P. Siakam misses free throw 2 of 2,2,3
1,10:21.0,Defensive rebound by J. McGee,,2,3
1,10:05.0,L. James misses 2-pt jump shot from 20 ft,,2,3
1,10:03.0,,Defensive rebound by J. Lin,2,3
1,9:59.0,,J. Lin misses 3-pt jump shot from 26 ft,2,3
1,9:59.0,Defensive rebound by K. Kuzma,,2,3
1,9:50.0,Shooting foul by D. Green (drawn by L. James),,2,3
1,9:50.0,L. James makes free throw 1 of 2,,3,3
1,9:50.0,L. James makes free throw 2 of 2,,4,3
1,9:32.0,,M. Gasol misses 2-pt jump shot from 8 ft,4,3
1,9:29.0,Defensive rebound by K. Kuzma,,4,3
1,9:19.0,L. James misses 2-pt layup from 2 ft,,4,3
1,9:18.0,,Defensive rebound by Team,4,3
1,9:09.0,,Shooting foul by K. Kuzma (drawn by P. Siakam),4,3
1,9:09.0,,P. Siakam makes free throw 1 of 2,4,4
1,9:09.0,J. Hart enters the game for K. Kuzma,,4,4
1,9:09.0,,P. Siakam makes free throw 2 of 2,4,5
1,8:58.0,R. Rondo makes 2-pt jump shot from 2 ft,,6,5
1,8:53.0,,Turnover by M. Gasol (bad pass; steal by J. McGee),6,5
1,8:49.0,J. McGee misses 2-pt layup from 1 ft,,6,5
1,8:47.0,,Defensive rebound by J. Lin,6,5
1,8:41.0,,K. Leonard misses 2-pt layup from 3 ft,6,5
1,8:38.0,,Offensive rebound by M. Gasol,6,5
1,8:35.0,,K. Leonard makes 3-pt jump shot from 23 ft (assist by P. Siakam),6,8
1,8:23.0,L. James misses 3-pt jump shot from 25 ft,,6,8
1,8:23.0,,Defensive rebound by J. Lin,6,8
1,8:15.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Siakam),6,11
1,8:14.0,LA Lakers full timeout,,6,11
1,8:02.0,Offensive foul by J. McGee (drawn by J. Lin),,6,11
1,8:02.0,Turnover by J. McGee (offensive foul),,6,11
1,7:48.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by D. Green),6,13
1,7:33.0,J. Hart misses 2-pt jump shot from 16 ft,,6,13
1,7:29.0,,Defensive rebound by J. Lin,6,13
1,7:25.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by P. Siakam),6,16
1,7:08.0,R. Rondo misses 2-pt layup from 2 ft,,6,16
1,7:07.0,,Defensive rebound by J. Lin,6,16
1,7:02.0,,K. Leonard misses 3-pt jump shot from 26 ft,6,16
1,6:59.0,Defensive rebound by L. James,,6,16
1,6:56.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Rondo),,8,16
1,6:43.0,,Turnover by K. Leonard (lost ball; steal by J. Hart),8,16
1,6:40.0,J. Hart makes 2-pt layup from 2 ft,,10,16
1,6:40.0,Shooting foul by D. Green (drawn by J. Hart),,10,16
1,6:40.0,K. Caldwell-Pope enters the game for R. Rondo,,10,16
1,6:40.0,,N. Powell enters the game for D. Green,10,16
1,6:40.0,J. Hart misses free throw 1 of 1,,10,16
1,6:38.0,,Defensive rebound by K. Leonard,10,16
1,6:23.0,,M. Gasol misses 2-pt jump shot from 16 ft,10,16
1,6:20.0,Defensive rebound by L. James,,10,16
1,6:13.0,L. James makes 2-pt layup from 2 ft,,12,16
1,5:58.0,,J. Lin misses 3-pt jump shot from 26 ft,12,16
1,5:56.0,Defensive rebound by R. Bullock,,12,16
1,5:46.0,R. Bullock misses 3-pt jump shot from 23 ft,,12,16
1,5:43.0,,Defensive rebound by K. Leonard,12,16
1,5:35.0,,K. Leonard misses 2-pt jump shot from 21 ft,12,16
1,5:33.0,Defensive rebound by L. James,,12,16
1,5:26.0,K. Caldwell-Pope misses 2-pt jump shot from 13 ft,,12,16
1,5:23.0,,Defensive rebound by N. Powell,12,16
1,5:19.0,,N. Powell makes 2-pt layup from 2 ft,12,18
1,5:12.0,Turnover by L. James (bad pass; steal by P. Siakam),,12,18
1,5:10.0,,Personal foul by J. McGee (drawn by P. Siakam),12,18
1,5:10.0,,P. McCaw enters the game for P. Siakam,12,18
1,5:00.0,,Turnover by M. Gasol (bad pass),12,18
1,5:00.0,R. Rondo enters the game for L. James,,12,18
1,4:51.0,Shooting foul by J. Lin (drawn by R. Rondo),,12,18
1,4:51.0,R. Rondo misses free throw 1 of 2,,12,18
1,4:51.0,Offensive rebound by Team,,12,18
1,4:51.0,R. Rondo makes free throw 2 of 2,,13,18
1,4:26.0,,N. Powell makes 3-pt jump shot from 26 ft (assist by M. Gasol),13,21
1,4:12.0,R. Rondo misses 2-pt jump shot from 4 ft (block by J. Lin),,13,21
1,4:10.0,,Defensive rebound by P. McCaw,13,21
1,4:09.0,,Shooting foul by J. McGee (drawn by N. Powell),13,21
1,4:09.0,,N. Powell makes free throw 1 of 2,13,22
1,4:09.0,J. Williams enters the game for J. McGee,,13,22
1,4:09.0,,N. Powell misses free throw 2 of 2,13,22
1,4:08.0,Defensive rebound by Team,,13,22
1,3:44.0,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,,13,22
1,3:41.0,Offensive rebound by R. Rondo,,13,22
1,3:38.0,R. Bullock makes 3-pt jump shot from 24 ft (assist by R. Rondo),,16,22
1,3:21.0,,M. Gasol makes 2-pt jump shot from 20 ft,16,24
1,3:10.0,Turnover by K. Caldwell-Pope (bad pass; steal by N. Powell),,16,24
1,3:05.0,,J. Lin misses 2-pt layup from 2 ft (block by K. Caldwell-Pope),16,24
1,3:05.0,,Offensive rebound by Team,16,24
1,3:05.0,,Toronto full timeout,16,24
1,3:05.0,A. Caruso enters the game for R. Bullock,,16,24
1,3:05.0,,O. Anunoby enters the game for M. Gasol,16,24
1,3:05.0,,C. Boucher enters the game for K. Leonard,16,24
1,3:05.0,,P. Siakam enters the game for J. Lin,16,24
