QUARTER,TIME_REMAINING,ATLANTA_ACTION,PORTLAND_ACTION,ATLANTA_SCORE,PORTLAND_SCORE
1,11:39.0,,M. Harkless makes 2-pt layup from 1 ft (assist by A. Aminu),0,2
1,11:21.0,D. Dedmon makes 3-pt jump shot from 25 ft (assist by D. Bembry),,3,2
1,11:05.0,,S. Curry makes 3-pt jump shot from 24 ft,3,5
1,10:46.0,D. Bembry misses 2-pt layup from 3 ft,,3,5
1,10:44.0,,Defensive rebound by J. Nurkić,3,5
1,10:34.0,,Turnover by S. Curry (traveling),3,5
1,10:20.0,T. Young makes 2-pt layup from 2 ft,,5,5
1,10:03.0,,M. Harkless misses 3-pt jump shot from 25 ft,5,5
1,9:59.0,Defensive rebound by K. Huerter,,5,5
1,9:53.0,K. Huerter misses 3-pt jump shot from 25 ft,,5,5
1,9:50.0,Offensive rebound by J. Collins,,5,5
1,9:50.0,J. Collins makes 2-pt layup at rim,,7,5
1,9:50.0,Shooting foul by M. Harkless (drawn by J. Collins),,7,5
1,9:50.0,J. Collins makes free throw 1 of 1,,8,5
1,9:34.0,,C. McCollum makes 2-pt jump shot from 19 ft,8,7
1,9:21.0,J. Collins makes 3-pt jump shot from 23 ft (assist by T. Young),,11,7
1,9:11.0,,S. Curry misses 3-pt jump shot from 25 ft,11,7
1,9:08.0,Defensive rebound by D. Dedmon,,11,7
1,9:02.0,Personal foul by M. Harkless (drawn by T. Young),,11,7
1,8:58.0,Personal foul by S. Curry (drawn by D. Bembry),,11,7
1,8:51.0,T. Young misses 3-pt jump shot from 27 ft,,11,7
1,8:49.0,,Defensive rebound by Team,11,7
1,8:40.0,,Shooting foul by J. Collins (drawn by J. Nurkić),11,7
1,8:40.0,,J. Nurkić makes free throw 1 of 2,11,8
1,8:40.0,,J. Nurkić makes free throw 2 of 2,11,9
1,8:24.0,Turnover by T. Young (bad pass; steal by S. Curry),,11,9
1,8:20.0,,Shooting foul by K. Huerter (drawn by A. Aminu),11,9
1,8:20.0,,A. Aminu makes free throw 1 of 2,11,10
1,8:20.0,,A. Aminu makes free throw 2 of 2,11,11
1,8:05.0,K. Huerter misses 2-pt jump shot from 5 ft,,11,11
1,8:01.0,,Defensive rebound by C. McCollum,11,11
1,7:59.0,,A. Aminu makes 2-pt layup from 2 ft (assist by C. McCollum),11,13
1,7:38.0,T. Young misses 3-pt jump shot from 25 ft,,11,13
1,7:36.0,,Defensive rebound by J. Nurkić,11,13
1,7:27.0,,Turnover by J. Nurkić (bad pass; steal by D. Dedmon),11,13
1,7:20.0,K. Huerter misses 3-pt jump shot from 25 ft,,11,13
1,7:17.0,,Defensive rebound by C. McCollum,11,13
1,7:05.0,,Shooting foul by D. Dedmon (drawn by C. McCollum),11,13
1,7:05.0,,C. McCollum makes free throw 1 of 2,11,14
1,7:05.0,T. Prince enters the game for K. Huerter,,11,14
1,7:05.0,,C. McCollum makes free throw 2 of 2,11,15
1,6:52.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),,13,15
1,6:37.0,,Personal foul by D. Dedmon (drawn by J. Nurkić),13,15
1,6:37.0,,Portland full timeout,13,15
1,6:37.0,A. Len enters the game for D. Bembry,,13,15
1,6:37.0,J. Lin enters the game for D. Dedmon,,13,15
1,6:31.0,,Shooting foul by J. Collins (drawn by M. Harkless),13,15
1,6:31.0,,M. Harkless misses free throw 1 of 2,13,15
1,6:31.0,,Offensive rebound by Team,13,15
1,6:31.0,O. Spellman enters the game for J. Collins,,13,15
1,6:31.0,,M. Harkless makes free throw 2 of 2,13,16
1,6:13.0,A. Len misses 2-pt jump shot from 3 ft,,13,16
1,6:13.0,,Defensive rebound by Team,13,16
1,5:54.0,,M. Harkless makes 3-pt jump shot from 25 ft,13,19
1,5:36.0,J. Lin misses 2-pt jump shot from 9 ft,,13,19
1,5:34.0,,Defensive rebound by A. Aminu,13,19
1,5:29.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by A. Aminu),13,22
1,5:11.0,O. Spellman misses 2-pt layup from 1 ft (block by A. Aminu),,13,22
1,5:07.0,Offensive rebound by O. Spellman,,13,22
1,5:06.0,Turnover by O. Spellman (bad pass; steal by J. Nurkić),,13,22
1,5:06.0,T. Dorsey enters the game for T. Young,,13,22
1,5:06.0,,Z. Collins enters the game for A. Aminu,13,22
1,5:06.0,,J. Layman enters the game for M. Harkless,13,22
1,4:57.0,,S. Curry makes 2-pt jump shot from 20 ft (assist by J. Nurkić),13,24
