QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
1,11:45.0,N. Jokić misses 2-pt jump shot from 21 ft,,0,0
1,11:42.0,,Defensive rebound by A. Aminu,0,0
1,11:33.0,,E. Freedom makes 2-pt jump shot from 14 ft (assist by D. Lillard),0,2
1,11:07.0,J. Murray makes 2-pt jump shot from 9 ft,,2,2
1,10:43.0,,C. McCollum makes 3-pt jump shot from 25 ft,2,5
1,10:28.0,N. Jokić misses 2-pt hook shot from 4 ft,,2,5
1,10:25.0,Offensive rebound by N. Jokić,,2,5
1,10:17.0,G. Harris misses 2-pt jump shot from 15 ft,,2,5
1,10:16.0,,Defensive rebound by E. Freedom,2,5
1,10:10.0,,Shooting foul by G. Harris (drawn by C. McCollum),2,5
1,10:10.0,,C. McCollum makes free throw 1 of 2,2,6
1,10:10.0,,C. McCollum makes free throw 2 of 2,2,7
1,9:59.0,T. Craig makes 3-pt jump shot from 23 ft (assist by J. Murray),,5,7
1,9:39.0,,A. Aminu misses 3-pt jump shot from 25 ft,5,7
1,9:36.0,Defensive rebound by N. Jokić,,5,7
1,9:27.0,Shooting foul by M. Harkless (drawn by P. Millsap),,5,7
1,9:27.0,P. Millsap makes free throw 1 of 2,,6,7
1,9:27.0,P. Millsap misses free throw 2 of 2,,6,7
1,9:25.0,,Defensive rebound by M. Harkless,6,7
1,9:14.0,,M. Harkless misses 2-pt jump shot from 13 ft,6,7
1,9:12.0,Defensive rebound by P. Millsap,,6,7
1,9:05.0,J. Murray makes 2-pt layup from 1 ft,,8,7
1,8:46.0,,A. Aminu misses 2-pt layup from 2 ft (block by P. Millsap),8,7
1,8:44.0,Defensive rebound by P. Millsap,,8,7
1,8:40.0,G. Harris misses 3-pt jump shot from 24 ft,,8,7
1,8:34.0,Offensive rebound by P. Millsap,,8,7
1,8:34.0,P. Millsap makes 2-pt layup at rim,,10,7
1,8:24.0,,Shooting foul by P. Millsap (drawn by A. Aminu),10,7
1,8:24.0,,A. Aminu misses free throw 1 of 2,10,7
1,8:24.0,,Offensive rebound by Team,10,7
1,8:24.0,,A. Aminu makes free throw 2 of 2,10,8
1,8:10.0,Turnover by J. Murray (out of bounds lost ball),,10,8
1,8:02.0,,Personal foul by T. Craig (drawn by D. Lillard),10,8
1,7:54.0,,M. Harkless misses 3-pt jump shot from 27 ft,10,8
1,7:49.0,Defensive rebound by N. Jokić,,10,8
1,7:42.0,J. Murray makes 3-pt jump shot from 25 ft,,13,8
1,7:22.0,,M. Harkless misses 2-pt layup from 2 ft,13,8
1,7:21.0,,Offensive rebound by E. Freedom,13,8
1,7:21.0,,E. Freedom misses 2-pt layup from 1 ft,13,8
1,7:21.0,,Offensive rebound by E. Freedom,13,8
1,7:21.0,,E. Freedom misses 2-pt layup from 1 ft,13,8
1,7:21.0,,Offensive rebound by M. Harkless,13,8
1,7:21.0,,Shooting foul by N. Jokić (drawn by M. Harkless),13,8
1,7:21.0,,M. Harkless makes free throw 1 of 2,13,9
1,7:21.0,,M. Harkless makes free throw 2 of 2,13,10
1,7:13.0,Turnover by N. Jokić (lost ball; steal by M. Harkless),,13,10
1,7:06.0,,Turnover by M. Harkless (out of bounds lost ball),13,10
1,6:49.0,N. Jokić makes 2-pt jump shot from 12 ft (assist by J. Murray),,15,10
1,6:47.0,,Portland full timeout,15,10
1,6:20.0,,C. McCollum misses 2-pt jump shot from 16 ft (block by G. Harris),15,10
1,6:20.0,Defensive rebound by J. Murray,,15,10
1,6:19.0,Personal foul by C. McCollum (drawn by J. Murray),,15,10
1,6:11.0,J. Murray makes 2-pt dunk from 2 ft,,17,10
