QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW ORLEANS_ACTION,MIAMI_SCORE,NEW ORLEANS_SCORE
1,11:42.0,,J. Holiday makes 2-pt layup from 2 ft (assist by J. Randle),0,2
1,11:27.0,H. Whiteside misses 2-pt layup from 2 ft (block by A. Davis),,0,2
1,11:24.0,,Defensive rebound by J. Randle,0,2
1,11:17.0,,A. Davis misses 2-pt jump shot from 4 ft,0,2
1,11:13.0,Defensive rebound by J. Johnson,,0,2
1,11:07.0,Turnover by J. Richardson (bad pass; steal by J. Holiday),,0,2
1,11:02.0,,J. Holiday misses 2-pt layup from 2 ft,0,2
1,11:00.0,Defensive rebound by R. McGruder,,0,2
1,10:54.0,J. Winslow makes 2-pt layup from 2 ft (assist by J. Richardson),,2,2
1,10:31.0,,J. Holiday makes 2-pt jump shot from 4 ft,2,4
1,10:11.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),,4,4
1,9:50.0,,A. Davis misses 2-pt jump shot from 4 ft,4,4
1,9:49.0,,Offensive rebound by S. Hill,4,4
1,9:44.0,,T. Frazier misses 3-pt jump shot from 25 ft,4,4
1,9:40.0,Defensive rebound by R. McGruder,,4,4
1,9:34.0,H. Whiteside makes 2-pt jump shot from 16 ft (assist by R. McGruder),,6,4
1,9:10.0,,A. Davis misses 2-pt jump shot from 7 ft,6,4
1,9:08.0,Defensive rebound by R. McGruder,,6,4
1,8:57.0,J. Winslow misses 2-pt layup from 2 ft (block by J. Randle),,6,4
1,8:53.0,,Defensive rebound by A. Davis,6,4
1,8:51.0,,A. Davis makes 2-pt layup from 2 ft,6,6
1,8:51.0,,Shooting foul by H. Whiteside (drawn by A. Davis),6,6
1,8:51.0,,A. Davis misses free throw 1 of 1,6,6
1,8:49.0,,Offensive rebound by T. Frazier,6,6
1,8:47.0,,A. Davis misses 2-pt jump shot from 10 ft (block by H. Whiteside),6,6
1,8:41.0,Defensive rebound by J. Johnson,,6,6
1,8:36.0,J. Winslow misses 3-pt jump shot from 25 ft,,6,6
1,8:33.0,,Defensive rebound by J. Randle,6,6
1,8:29.0,,Turnover by J. Holiday (bad pass),6,6
1,8:10.0,J. Richardson misses 3-pt jump shot from 26 ft,,6,6
1,8:06.0,Offensive rebound by H. Whiteside,,6,6
1,8:04.0,H. Whiteside misses 2-pt layup from 3 ft,,6,6
1,8:02.0,,Defensive rebound by J. Randle,6,6
