QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
1,11:47.0,D. Mitchell misses 2-pt layup from 1 ft,,0,0
1,11:42.0,,Defensive rebound by T. Gibson,0,0
1,11:33.0,,J. Okogie misses 3-pt jump shot from 26 ft,0,0
1,11:33.0,Defensive rebound by D. Favors,,0,0
1,11:08.0,Shooting foul by J. Bayless (drawn by R. Gobert),,0,0
1,11:08.0,R. Gobert misses free throw 1 of 2,,0,0
1,11:08.0,Offensive rebound by Team,,0,0
1,11:08.0,R. Gobert makes free throw 2 of 2,,1,0
1,10:56.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),1,2
1,10:44.0,D. Favors makes 3-pt jump shot from 26 ft (assist by J. Ingles),,4,2
1,10:32.0,,A. Wiggins misses 3-pt jump shot from 27 ft,4,2
1,10:29.0,Defensive rebound by D. Mitchell,,4,2
1,10:19.0,D. Favors misses 3-pt jump shot from 25 ft,,4,2
1,10:16.0,,Defensive rebound by Team,4,2
1,10:05.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by J. Bayless),4,5
1,9:40.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Gobert),,7,5
1,9:27.0,,Turnover by A. Wiggins (lost ball; steal by R. Gobert),7,5
1,9:23.0,Shooting foul by T. Gibson (drawn by J. Ingles),,7,5
1,9:23.0,J. Ingles makes free throw 1 of 3,,8,5
1,9:23.0,J. Ingles makes free throw 2 of 3,,9,5
1,9:23.0,J. Ingles makes free throw 3 of 3,,10,5
1,9:09.0,,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),10,7
1,8:53.0,D. Mitchell makes 2-pt jump shot from 15 ft (assist by J. Ingles),,12,7
1,8:39.0,,T. Gibson misses 2-pt layup from 1 ft (block by R. Gobert),12,7
1,8:35.0,Defensive rebound by R. Rubio,,12,7
1,8:35.0,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),,14,7
1,8:35.0,Shooting foul by J. Okogie (drawn by D. Favors),,14,7
1,8:35.0,D. Favors misses free throw 1 of 1,,14,7
1,8:32.0,,Defensive rebound by K. Towns,14,7
1,8:22.0,,Turnover by A. Wiggins (bad pass),14,7
1,8:07.0,R. Rubio makes 2-pt layup from 1 ft,,16,7
1,8:07.0,,Minnesota full timeout,16,7
1,7:52.0,,Offensive foul by T. Gibson (drawn by J. Ingles),16,7
1,7:52.0,,Turnover by T. Gibson (offensive foul),16,7
1,7:52.0,,D. Šarić enters the game for T. Gibson,16,7
1,7:40.0,D. Mitchell misses 2-pt jump shot from 7 ft,,16,7
1,7:38.0,,Defensive rebound by D. Šarić,16,7
1,7:23.0,,A. Wiggins makes 2-pt dunk from 1 ft (assist by K. Towns),16,9
1,7:23.0,,Shooting foul by D. Favors (drawn by A. Wiggins),16,9
1,7:23.0,,A. Wiggins misses free throw 1 of 1,16,9
1,7:21.0,Defensive rebound by D. Favors,,16,9
