QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ATLANTA_ACTION,WASHINGTON_SCORE,ATLANTA_SCORE
1,11:46.0,,D. Dedmon misses 3-pt jump shot from 24 ft,0,0
1,11:42.0,,Offensive rebound by T. Young,0,0
1,11:40.0,,T. Young misses 2-pt layup from 1 ft,0,0
1,11:37.0,,Offensive rebound by D. Dedmon,0,0
1,11:37.0,,D. Dedmon misses 2-pt layup from 1 ft,0,0
1,11:36.0,,Offensive rebound by D. Dedmon,0,0
1,11:35.0,,D. Dedmon makes 2-pt layup from 1 ft,0,2
1,11:22.0,O. Porter misses 2-pt jump shot from 21 ft,,0,2
1,11:18.0,,Defensive rebound by D. Dedmon,0,2
1,11:11.0,,J. Collins makes 2-pt jump shot from 15 ft (assist by K. Bazemore),0,4
1,11:02.0,B. Beal makes 2-pt layup from 2 ft,,2,4
1,10:53.0,,J. Collins makes 2-pt dunk from 1 ft (assist by K. Bazemore),2,6
1,10:40.0,T. Bryant makes 3-pt jump shot from 24 ft (assist by T. Satoranský),,5,6
1,10:26.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by K. Huerter),5,8
1,10:13.0,B. Beal misses 2-pt layup from 1 ft (block by K. Bazemore),,5,8
1,10:11.0,,Defensive rebound by K. Huerter,5,8
1,10:08.0,,K. Huerter misses 2-pt layup from 2 ft,5,8
1,10:06.0,,Offensive rebound by J. Collins,5,8
1,10:02.0,,Shooting foul by T. Bryant (drawn by D. Dedmon),5,8
1,10:02.0,,D. Dedmon misses free throw 1 of 2,5,8
1,10:02.0,,Offensive rebound by Team,5,8
1,10:02.0,,D. Dedmon makes free throw 2 of 2,5,9
1,9:44.0,O. Porter makes 2-pt hook shot from 4 ft (assist by A. Rivers),,7,9
1,9:20.0,,K. Huerter misses 3-pt jump shot from 26 ft,7,9
1,9:16.0,Defensive rebound by A. Rivers,,7,9
1,9:10.0,A. Rivers misses 2-pt layup from 1 ft,,7,9
1,9:06.0,Offensive rebound by O. Porter,,7,9
1,9:04.0,O. Porter misses 2-pt layup from 2 ft,,7,9
1,9:02.0,,Defensive rebound by J. Collins,7,9
1,8:56.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by K. Bazemore),7,12
1,8:44.0,T. Satoranský makes 2-pt jump shot from 21 ft,,9,12
1,8:35.0,,Personal foul by A. Rivers (drawn by T. Young),9,12
1,8:31.0,,D. Dedmon misses 3-pt jump shot from 25 ft,9,12
1,8:28.0,Defensive rebound by A. Rivers,,9,12
1,8:13.0,O. Porter makes 2-pt jump shot from 17 ft (assist by B. Beal),,11,12
1,8:05.0,,Turnover by J. Collins (offensive foul),11,12
1,8:05.0,,Offensive foul by J. Collins (drawn by O. Porter),11,12
1,7:49.0,T. Bryant misses 2-pt jump shot from 8 ft,,11,12
1,7:47.0,Offensive rebound by T. Bryant,,11,12
1,7:47.0,T. Bryant makes 2-pt dunk from 2 ft,,13,12
1,7:47.0,Shooting foul by K. Bazemore (drawn by T. Bryant),,13,12
1,7:47.0,T. Bryant makes free throw 1 of 1,,14,12
1,7:39.0,,D. Dedmon misses 3-pt jump shot from 26 ft,14,12
1,7:34.0,,Offensive rebound by J. Collins,14,12
1,7:30.0,,D. Dedmon misses 2-pt jump shot from 9 ft,14,12
1,7:25.0,,Offensive rebound by J. Collins,14,12
1,7:25.0,,Personal foul by O. Porter (drawn by D. Dedmon),14,12
1,7:21.0,,J. Collins misses 3-pt jump shot from 25 ft,14,12
1,7:17.0,Defensive rebound by T. Bryant,,14,12
1,7:12.0,O. Porter makes 2-pt layup from 1 ft (assist by T. Satoranský),,16,12
1,6:58.0,,K. Huerter makes 3-pt jump shot from 22 ft (assist by T. Young),16,15
1,6:48.0,Personal foul by K. Huerter (drawn by T. Satoranský),,16,15
1,6:48.0,,Atlanta full timeout,16,15
1,6:48.0,,D. Bembry enters the game for K. Bazemore,16,15
1,6:48.0,,A. Len enters the game for D. Dedmon,16,15
1,6:34.0,T. Bryant misses 2-pt hook shot from 3 ft,,16,15
1,6:31.0,,Defensive rebound by J. Collins,16,15
1,6:28.0,,T. Young misses 2-pt jump shot from 12 ft,16,15
1,6:23.0,Defensive rebound by A. Rivers,,16,15
1,6:17.0,B. Beal makes 2-pt jump shot from 16 ft,,18,15
1,5:54.0,,J. Collins makes 2-pt layup from 2 ft (assist by D. Bembry),18,17
1,5:41.0,B. Beal misses 2-pt layup from 2 ft,,18,17
1,5:40.0,Offensive rebound by T. Bryant,,18,17
1,5:40.0,Shooting foul by A. Len (drawn by T. Bryant),,18,17
1,5:40.0,T. Bryant makes free throw 1 of 2,,19,17
1,5:40.0,M. Morris enters the game for O. Porter,,19,17
1,5:40.0,,V. Carter enters the game for J. Collins,19,17
1,5:40.0,,J. Lin enters the game for T. Young,19,17
1,5:40.0,T. Bryant makes free throw 2 of 2,,20,17
1,5:33.0,,A. Len misses 2-pt layup from 7 ft (block by T. Satoranský),20,17
1,5:30.0,Defensive rebound by Team,,20,17
1,5:15.0,A. Rivers misses 3-pt jump shot from 23 ft,,20,17
1,5:12.0,,Defensive rebound by K. Huerter,20,17
1,5:03.0,,D. Bembry makes 2-pt layup from 1 ft,20,19
1,4:51.0,B. Beal makes 2-pt jump shot from 11 ft (assist by T. Bryant),,22,19
1,4:38.0,,J. Lin makes 2-pt layup from 1 ft (assist by V. Carter),22,21
1,4:23.0,B. Beal makes 2-pt layup from 1 ft,,24,21
1,4:01.0,,A. Len misses 2-pt layup from 3 ft,24,21
1,3:58.0,Defensive rebound by T. Bryant,,24,21
1,3:52.0,T. Bryant misses 3-pt jump shot from 25 ft,,24,21
1,3:50.0,,Defensive rebound by Team,24,21
1,3:50.0,T. Brown enters the game for T. Bryant,,24,21
