QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BOSTON_ACTION,SACRAMENTO_SCORE,BOSTON_SCORE
1,11:42.0,N. Bjelica misses 3-pt jump shot from 27 ft,,0,0
1,11:40.0,,Defensive rebound by M. Morris,0,0
1,11:32.0,,A. Horford makes 2-pt hook shot from 4 ft (assist by M. Morris),0,2
1,11:21.0,Shooting foul by K. Irving (drawn by N. Bjelica),,0,2
1,11:21.0,N. Bjelica makes free throw 1 of 2,,1,2
1,11:21.0,N. Bjelica misses free throw 2 of 2,,1,2
1,11:21.0,,Defensive rebound by M. Morris,1,2
1,11:06.0,,K. Irving misses 2-pt jump shot from 17 ft,1,2
1,11:04.0,Defensive rebound by W. Cauley-Stein,,1,2
1,10:55.0,B. Hield misses 2-pt jump shot from 19 ft,,1,2
1,10:53.0,,Defensive rebound by J. Tatum,1,2
1,10:38.0,,A. Horford misses 2-pt hook shot from 5 ft,1,2
1,10:36.0,Defensive rebound by B. Hield,,1,2
1,10:19.0,H. Barnes makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),,3,2
1,10:07.0,,J. Tatum makes 2-pt jump shot from 23 ft (assist by K. Irving),3,4
1,9:50.0,H. Barnes makes 2-pt jump shot from 20 ft (assist by B. Hield),,5,4
1,9:31.0,,J. Tatum misses 3-pt jump shot from 26 ft,5,4
1,9:29.0,Defensive rebound by W. Cauley-Stein,,5,4
1,9:23.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Fox),,8,4
1,9:00.0,,A. Horford misses 3-pt jump shot from 23 ft,8,4
1,8:58.0,Defensive rebound by D. Fox,,8,4
1,8:53.0,H. Barnes misses 3-pt jump shot from 24 ft,,8,4
1,8:50.0,,Defensive rebound by J. Tatum,8,4
1,8:44.0,,Personal foul by D. Fox (drawn by J. Tatum),8,4
1,8:41.0,,K. Irving misses 3-pt jump shot from 25 ft,8,4
1,8:40.0,Defensive rebound by N. Bjelica,,8,4
1,8:31.0,N. Bjelica makes 2-pt layup from 2 ft (assist by D. Fox),,10,4
1,8:20.0,,M. Morris misses 2-pt jump shot from 9 ft,10,4
1,8:18.0,,Offensive rebound by M. Smart,10,4
1,8:16.0,,M. Morris misses 3-pt jump shot from 25 ft,10,4
1,8:14.0,,Offensive rebound by A. Horford,10,4
1,8:11.0,,J. Tatum misses 3-pt jump shot from 26 ft,10,4
1,8:09.0,Defensive rebound by W. Cauley-Stein,,10,4
1,7:55.0,Shooting foul by A. Horford (drawn by D. Fox),,10,4
1,7:55.0,D. Fox misses free throw 1 of 2,,10,4
1,7:55.0,Offensive rebound by Team,,10,4
1,7:55.0,D. Fox misses free throw 2 of 2,,10,4
1,7:55.0,,Defensive rebound by M. Morris,10,4
1,7:34.0,,K. Irving makes 2-pt jump shot from 17 ft,10,6
1,7:16.0,B. Hield makes 3-pt jump shot from 28 ft (assist by H. Barnes),,13,6
1,7:00.0,,M. Morris misses 3-pt jump shot from 24 ft,13,6
1,6:58.0,Defensive rebound by D. Fox,,13,6
1,6:51.0,B. Hield misses 2-pt jump shot from 20 ft,,13,6
1,6:49.0,,Defensive rebound by M. Morris,13,6
1,6:43.0,,A. Horford misses 2-pt hook shot from 4 ft,13,6
1,6:41.0,Defensive rebound by H. Barnes,,13,6
1,6:34.0,B. Hield makes 2-pt layup from 3 ft (assist by D. Fox),,15,6
1,6:34.0,,Boston full timeout,15,6
