QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DETROIT_ACTION,MILWAUKEE_SCORE,DETROIT_SCORE
1,11:35.0,,L. Kennard makes 2-pt jump shot from 14 ft (assist by R. Jackson),0,2
1,11:18.0,Turnover by G. Antetokounmpo (lost ball; steal by W. Ellington),,0,2
1,11:05.0,,Turnover by A. Drummond (bad pass),0,2
1,10:51.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,0,2
1,10:49.0,,Defensive rebound by L. Kennard,0,2
1,10:43.0,,R. Jackson makes 3-pt jump shot from 26 ft,0,5
1,10:26.0,Turnover by E. Bledsoe (bad pass),,0,5
1,10:19.0,,Turnover by R. Jackson (bad pass; steal by E. Bledsoe),0,5
1,10:13.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,2,5
1,10:05.0,,L. Kennard makes 2-pt layup from 4 ft (assist by R. Jackson),2,7
1,9:55.0,K. Middleton misses 2-pt jump shot from 5 ft,,2,7
1,9:52.0,,Defensive rebound by L. Kennard,2,7
1,9:46.0,,A. Drummond misses 2-pt hook shot from 5 ft (block by B. Lopez),2,7
1,9:44.0,,Offensive rebound by R. Jackson,2,7
1,9:40.0,,R. Jackson misses 3-pt jump shot from 26 ft,2,7
1,9:37.0,Defensive rebound by B. Lopez,,2,7
1,9:31.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,5,7
1,9:09.0,,A. Drummond misses 2-pt layup from 3 ft (block by B. Lopez),5,7
1,9:06.0,,Offensive rebound by A. Drummond,5,7
1,9:05.0,,A. Drummond misses 2-pt jump shot from 3 ft,5,7
1,9:05.0,,Offensive rebound by A. Drummond,5,7
1,9:05.0,,Turnover by R. Jackson (bad pass),5,7
1,8:48.0,Personal foul by B. Griffin (drawn by G. Antetokounmpo),,5,7
1,8:45.0,E. Bledsoe makes 2-pt layup from 3 ft,,7,7
1,8:45.0,Shooting foul by A. Drummond (drawn by E. Bledsoe),,7,7
1,8:45.0,E. Bledsoe makes free throw 1 of 1,,8,7
1,8:31.0,,B. Griffin misses 3-pt jump shot from 25 ft,8,7
1,8:29.0,,Offensive rebound by A. Drummond,8,7
1,8:27.0,,A. Drummond misses 2-pt layup from 2 ft,8,7
1,8:22.0,Defensive rebound by S. Brown,,8,7
1,8:17.0,K. Middleton misses 2-pt jump shot from 16 ft,,8,7
1,8:17.0,,Defensive rebound by Team,8,7
1,8:17.0,,Personal foul by G. Antetokounmpo (drawn by B. Griffin),8,7
1,8:01.0,,L. Kennard misses 2-pt jump shot from 15 ft,8,7
1,7:59.0,Defensive rebound by S. Brown,,8,7
1,7:54.0,E. Bledsoe makes 2-pt layup from 3 ft (assist by S. Brown),,10,7
1,7:41.0,,A. Drummond misses 2-pt layup from 2 ft (block by B. Lopez),10,7
1,7:41.0,,Offensive rebound by Team,10,7
1,7:41.0,P. Connaughton enters the game for S. Brown,,10,7
1,7:33.0,,R. Jackson makes 3-pt jump shot from 24 ft (assist by A. Drummond),10,10
1,7:26.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,10,10
1,7:22.0,,Defensive rebound by R. Jackson,10,10
1,7:16.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by B. Griffin),10,13
1,7:16.0,Milwaukee full timeout,,10,13
1,7:16.0,E. İlyasova enters the game for B. Lopez,,10,13
1,6:55.0,E. İlyasova makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,13,13
1,6:28.0,,B. Griffin misses 2-pt hook shot from 2 ft,13,13
1,6:24.0,,Offensive rebound by B. Griffin,13,13
1,6:24.0,,B. Griffin makes 2-pt layup at rim,13,15
1,6:18.0,Turnover by E. Bledsoe (back court),,13,15
1,6:18.0,G. Hill enters the game for E. Bledsoe,,13,15
1,6:01.0,,A. Drummond misses 2-pt hook shot from 6 ft,13,15
1,5:59.0,Defensive rebound by G. Antetokounmpo,,13,15
1,5:57.0,G. Hill misses 3-pt jump shot from 27 ft (block by A. Drummond),,13,15
1,5:52.0,,Defensive rebound by L. Kennard,13,15
1,5:39.0,,W. Ellington makes 3-pt jump shot from 27 ft (assist by B. Griffin),13,18
1,5:23.0,E. İlyasova makes 3-pt jump shot from 27 ft (assist by K. Middleton),,16,18
1,5:08.0,,B. Griffin makes 2-pt layup from 2 ft,16,20
1,4:55.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by K. Middleton),,19,20
1,4:39.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),19,22
1,4:30.0,Turnover by E. İlyasova (bad pass),,19,22
1,4:30.0,B. Lopez enters the game for G. Antetokounmpo,,19,22
1,4:30.0,,B. Brown enters the game for B. Griffin,19,22
1,4:30.0,,I. Smith enters the game for R. Jackson,19,22
1,4:15.0,,I. Smith misses 3-pt jump shot from 26 ft,19,22
1,4:12.0,Defensive rebound by K. Middleton,,19,22
1,4:06.0,K. Middleton makes 3-pt jump shot from 27 ft,,22,22
1,4:01.0,,Detroit full timeout,22,22
1,4:01.0,S. Brown enters the game for K. Middleton,,22,22
1,4:01.0,,L. Galloway enters the game for W. Ellington,22,22
1,3:47.0,,L. Kennard misses 2-pt jump shot from 11 ft,22,22
1,3:44.0,Defensive rebound by B. Lopez,,22,22
1,3:34.0,E. İlyasova misses 2-pt hook shot from 6 ft,,22,22
1,3:31.0,Offensive rebound by G. Hill,,22,22
1,3:31.0,G. Hill makes 2-pt layup from 1 ft,,24,22
1,3:16.0,,Turnover by A. Drummond (3 sec),24,22
1,2:52.0,P. Connaughton makes 2-pt jump shot from 9 ft (assist by G. Hill),,26,22
1,2:34.0,,B. Brown misses 3-pt jump shot from 25 ft,26,22
1,2:32.0,Defensive rebound by S. Brown,,26,22
1,2:28.0,B. Lopez misses 3-pt jump shot from 29 ft,,26,22
1,2:24.0,,Defensive rebound by B. Brown,26,22
1,2:18.0,,Shooting foul by G. Hill (drawn by B. Brown),26,22
1,2:18.0,,Technical foul by A. Drummond,26,22
1,2:18.0,Technical foul by S. Brown,,26,22
1,2:18.0,,B. Brown makes free throw 1 of 2,26,23
1,2:18.0,E. Bledsoe enters the game for P. Connaughton,,26,23
1,2:18.0,,B. Griffin enters the game for A. Drummond,26,23
1,2:18.0,,T. Maker enters the game for L. Kennard,26,23
1,2:18.0,,B. Brown makes free throw 2 of 2,26,24
1,2:02.0,B. Lopez makes 2-pt dunk from 2 ft (assist by G. Hill),,28,24
1,1:42.0,,B. Brown misses 2-pt layup from 6 ft (block by S. Brown),28,24
1,1:36.0,Defensive rebound by G. Hill,,28,24
1,1:36.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,28,24
1,1:30.0,,Defensive rebound by B. Griffin,28,24
1,1:27.0,,B. Griffin misses 3-pt jump shot from 25 ft,28,24
1,1:26.0,Defensive rebound by B. Lopez,,28,24
1,1:11.0,E. Bledsoe misses 2-pt layup from 3 ft,,28,24
1,1:11.0,Offensive rebound by G. Hill,,28,24
1,1:07.0,G. Hill makes 2-pt layup from 1 ft,,30,24
1,0:56.0,,L. Galloway misses 3-pt jump shot from 24 ft,30,24
1,0:56.0,,Offensive rebound by Team,30,24
1,0:56.0,,Personal foul by S. Brown (drawn by T. Maker),30,24
1,0:56.0,G. Antetokounmpo enters the game for E. İlyasova,,30,24
1,0:56.0,Violation by Team (delay of game),,30,24
1,0:45.0,,B. Griffin misses 2-pt layup from 5 ft,30,24
1,0:42.0,Defensive rebound by G. Antetokounmpo,,30,24
1,0:42.0,Personal foul by T. Maker (drawn by G. Antetokounmpo),,30,24
1,0:27.0,B. Lopez makes 2-pt jump shot from 10 ft (assist by G. Hill),,32,24
1,0:03.0,,I. Smith misses 3-pt jump shot from 25 ft,32,24
1,0:03.0,Defensive rebound by Team,,32,24
1,0:00.0,G. Antetokounmpo misses 2-pt jump shot from 15 ft,,32,24
1,0:00.0,Offensive rebound by Team,,32,24
2,11:47.0,E. Bledsoe misses 2-pt jump shot from 12 ft,,32,24
2,11:44.0,,Defensive rebound by R. Jackson,32,24
2,11:34.0,,B. Griffin misses 2-pt layup from 2 ft,32,24
2,11:34.0,Defensive rebound by Team,,32,24
2,11:34.0,,Loose ball foul by B. Griffin (drawn by S. Brown),32,24
2,11:20.0,N. Mirotić makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,35,24
2,11:03.0,,B. Griffin makes 2-pt layup from 1 ft,35,26
2,11:03.0,,Shooting foul by D. Wilson (drawn by B. Griffin),35,26
2,11:03.0,,B. Griffin makes free throw 1 of 1,35,27
