QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,INDIANA_ACTION,MILWAUKEE_SCORE,INDIANA_SCORE
1,11:40.0,Turnover by E. Bledsoe (bad pass; steal by B. Bogdanović),,0,0
1,11:25.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),0,3
1,10:57.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,0,3
1,10:55.0,Offensive rebound by G. Antetokounmpo,,0,3
1,10:54.0,G. Antetokounmpo makes 2-pt layup at rim,,2,3
1,10:26.0,,T. Young misses 2-pt jump shot from 18 ft,2,3
1,10:23.0,Defensive rebound by K. Middleton,,2,3
1,10:11.0,E. Bledsoe misses 2-pt jump shot from 4 ft,,2,3
1,10:08.0,,Defensive rebound by M. Turner,2,3
1,9:54.0,,M. Turner misses 2-pt jump shot from 9 ft,2,3
1,9:51.0,Defensive rebound by M. Brogdon,,2,3
1,9:46.0,K. Middleton misses 3-pt jump shot from 27 ft,,2,3
1,9:43.0,,Defensive rebound by T. Young,2,3
1,9:34.0,,W. Matthews misses 3-pt jump shot from 26 ft,2,3
1,9:31.0,Defensive rebound by G. Antetokounmpo,,2,3
1,9:26.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,5,3
1,9:08.0,,B. Bogdanović makes 2-pt jump shot from 16 ft,5,5
1,8:44.0,B. Lopez misses 3-pt jump shot from 27 ft,,5,5
1,8:41.0,,Defensive rebound by W. Matthews,5,5
1,8:34.0,,Turnover by D. Collison (bad pass; steal by G. Antetokounmpo),5,5
1,8:29.0,G. Antetokounmpo makes 2-pt layup at rim,,7,5
1,8:13.0,,Turnover by T. Young (bad pass; steal by G. Antetokounmpo),7,5
1,8:08.0,M. Brogdon makes 2-pt layup at rim (assist by G. Antetokounmpo),,9,5
1,7:53.0,,W. Matthews misses 2-pt jump shot from 16 ft,9,5
1,7:50.0,Defensive rebound by G. Antetokounmpo,,9,5
1,7:38.0,K. Middleton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),,12,5
1,7:19.0,,Shooting foul by B. Lopez (drawn by B. Bogdanović),12,5
1,7:19.0,,B. Bogdanović makes free throw 1 of 2,12,6
1,7:19.0,S. Brown enters the game for M. Brogdon,,12,6
1,7:19.0,,B. Bogdanović makes free throw 2 of 2,12,7
1,7:04.0,K. Middleton misses 2-pt jump shot from 16 ft,,12,7
1,7:01.0,,Defensive rebound by M. Turner,12,7
1,6:52.0,,W. Matthews makes 2-pt jump shot from 18 ft (assist by M. Turner),12,9
1,6:39.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,14,9
1,6:39.0,Shooting foul by B. Bogdanović (drawn by G. Antetokounmpo),,14,9
