QUARTER,TIME_REMAINING,MIAMI_ACTION,LA LAKERS_ACTION,MIAMI_SCORE,LA LAKERS_SCORE
1,11:40.0,Violation by Team (kicked ball),,0,0
1,11:32.0,,L. Ball misses 2-pt layup from 6 ft (block by J. Johnson),0,0
1,11:32.0,Defensive rebound by Team,,0,0
1,11:18.0,R. McGruder makes 3-pt jump shot from 25 ft (assist by J. Johnson),,3,0
1,11:07.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by L. Ball),3,3
1,10:48.0,J. Richardson misses 2-pt jump shot from 8 ft (block by J. Hart),,3,3
1,10:45.0,Offensive rebound by J. Richardson,,3,3
1,10:44.0,Personal foul by J. Hart (drawn by B. Adebayo),,3,3
1,10:34.0,G. Dragić makes 2-pt jump shot from 7 ft (assist by B. Adebayo),,5,3
1,10:24.0,,Turnover by J. McGee (out of bounds lost ball),5,3
1,10:14.0,G. Dragić misses 3-pt jump shot from 27 ft,,5,3
1,10:10.0,,Defensive rebound by J. McGee,5,3
1,10:07.0,,L. Ball misses 2-pt layup from 2 ft,5,3
1,10:03.0,,Offensive rebound by L. Ball,5,3
1,10:03.0,,L. Ball misses 2-pt layup from 1 ft,5,3
1,10:02.0,Defensive rebound by G. Dragić,,5,3
1,9:59.0,J. Johnson misses 3-pt jump shot from 23 ft,,5,3
1,9:54.0,,Defensive rebound by L. James,5,3
1,9:53.0,,Shooting foul by J. Richardson (drawn by J. Hart),5,3
1,9:53.0,,J. Hart misses free throw 1 of 2,5,3
1,9:53.0,,Offensive rebound by Team,5,3
1,9:53.0,,J. Hart makes free throw 2 of 2,5,4
1,9:39.0,J. Richardson makes 2-pt layup from 2 ft (assist by B. Adebayo),,7,4
1,9:29.0,,K. Kuzma makes 2-pt hook shot from 3 ft,7,6
1,9:10.0,G. Dragić makes 2-pt layup from 2 ft (assist by J. Johnson),,9,6
1,8:53.0,,J. McGee makes 2-pt layup from 1 ft (assist by L. James),9,8
1,8:38.0,Turnover by J. Johnson (out of bounds lost ball),,9,8
1,8:28.0,,K. Kuzma misses 2-pt layup from 3 ft (block by B. Adebayo),9,8
1,8:24.0,,Offensive rebound by J. McGee,9,8
1,8:24.0,,J. McGee misses 2-pt layup from 1 ft,9,8
1,8:22.0,,Offensive rebound by J. McGee,9,8
1,8:21.0,,J. McGee misses 2-pt layup from 1 ft,9,8
1,8:20.0,Defensive rebound by Team,,9,8
1,8:09.0,Turnover by J. Johnson (bad pass),,9,8
1,8:01.0,,J. McGee misses 2-pt dunk from 2 ft,9,8
1,7:57.0,Defensive rebound by R. McGruder,,9,8
1,7:51.0,J. Richardson misses 2-pt jump shot from 14 ft,,9,8
1,7:49.0,,Defensive rebound by J. Hart,9,8
1,7:41.0,,L. James misses 2-pt jump shot from 3 ft,9,8
1,7:38.0,Defensive rebound by J. Johnson,,9,8
1,7:35.0,G. Dragić misses 2-pt layup from 4 ft,,9,8
1,7:30.0,Offensive rebound by J. Johnson,,9,8
1,7:30.0,J. Johnson misses 2-pt layup at rim (block by J. McGee),,9,8
1,7:29.0,,Defensive rebound by J. Hart,9,8
1,7:27.0,,Turnover by K. Kuzma (bad pass; steal by J. Richardson),9,8
1,7:21.0,J. Johnson misses 3-pt jump shot from 23 ft,,9,8
1,7:19.0,,Defensive rebound by L. Ball,9,8
1,7:19.0,,Personal foul by J. Richardson (drawn by L. James),9,8
1,7:19.0,D. Wade enters the game for J. Richardson,,9,8
1,7:06.0,,K. Kuzma makes 2-pt jump shot from 3 ft,9,10
1,6:54.0,D. Wade misses 2-pt jump shot from 12 ft,,9,10
1,6:52.0,,Defensive rebound by L. James,9,10
