QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA CLIPPERS_ACTION,MILWAUKEE_SCORE,LA CLIPPERS_SCORE
1,11:37.0,K. Middleton misses 2-pt jump shot from 17 ft,,0,0
1,11:34.0,,Defensive rebound by P. Beverley,0,0
1,11:12.0,,Turnover by Team (shot clock),0,0
1,11:00.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,0,0
1,10:56.0,,Defensive rebound by M. Gortat,0,0
1,10:48.0,,M. Gortat makes 2-pt layup at rim (assist by T. Harris),0,2
1,10:44.0,Turnover by G. Antetokounmpo (bad pass),,0,2
1,10:35.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by M. Gortat),0,4
1,10:15.0,M. Brogdon misses 3-pt jump shot from 25 ft,,0,4
1,10:11.0,,Defensive rebound by M. Gortat,0,4
1,10:04.0,,D. Gallinari misses 3-pt jump shot from 27 ft,0,4
1,10:01.0,Defensive rebound by K. Middleton,,0,4
1,9:57.0,K. Middleton misses 2-pt layup from 4 ft,,0,4
1,9:50.0,Offensive rebound by G. Antetokounmpo,,0,4
1,9:50.0,G. Antetokounmpo misses 2-pt dunk from 1 ft,,0,4
1,9:49.0,,Defensive rebound by T. Harris,0,4
1,9:41.0,,T. Harris misses 3-pt jump shot from 27 ft,0,4
1,9:38.0,,Offensive rebound by D. Gallinari,0,4
1,9:35.0,,D. Gallinari makes 2-pt jump shot from 13 ft,0,6
1,9:16.0,B. Lopez misses 3-pt jump shot from 27 ft,,0,6
1,9:13.0,,Defensive rebound by T. Harris,0,6
1,9:09.0,,Turnover by T. Harris (bad pass; steal by B. Lopez),0,6
1,9:03.0,M. Brogdon makes 2-pt layup from 1 ft,,2,6
1,8:53.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,2,6
1,8:48.0,Defensive rebound by M. Brogdon,,2,6
1,8:39.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by B. Lopez),,5,6
1,8:24.0,,Def 3 sec tech foul by Team,5,6
1,8:24.0,,D. Gallinari makes technical free throw,5,7
1,8:18.0,,Personal foul by E. Bledsoe (drawn by S. Gilgeous-Alexander),5,7
1,8:05.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,5,7
1,8:03.0,Defensive rebound by G. Antetokounmpo,,5,7
1,7:57.0,B. Lopez misses 3-pt jump shot from 25 ft,,5,7
1,7:53.0,,Defensive rebound by T. Harris,5,7
1,7:48.0,,P. Beverley makes 3-pt jump shot from 28 ft,5,10
1,7:38.0,Offensive foul by G. Antetokounmpo (drawn by D. Gallinari),,5,10
1,7:38.0,Turnover by G. Antetokounmpo (offensive foul),,5,10
1,7:38.0,E. İlyasova enters the game for M. Brogdon,,5,10
1,7:28.0,,P. Beverley misses 2-pt jump shot from 8 ft (block by B. Lopez),5,10
1,7:28.0,,Offensive rebound by S. Gilgeous-Alexander,5,10
1,7:23.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by G. Antetokounmpo),5,10
1,7:19.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,7,10
1,7:08.0,,Shooting foul by K. Middleton (drawn by S. Gilgeous-Alexander),7,10
1,7:08.0,,S. Gilgeous-Alexander makes free throw 1 of 2,7,11
1,7:08.0,,S. Gilgeous-Alexander makes free throw 2 of 2,7,12
1,6:52.0,K. Middleton makes 2-pt jump shot from 10 ft,,9,12
1,6:36.0,,T. Harris misses 3-pt jump shot from 25 ft,9,12
1,6:32.0,Defensive rebound by B. Lopez,,9,12
1,6:26.0,E. Bledsoe misses 2-pt jump shot from 4 ft,,9,12
1,6:22.0,Offensive rebound by E. Bledsoe,,9,12
1,6:22.0,E. Bledsoe makes 2-pt layup from 1 ft,,11,12
1,6:12.0,,M. Gortat makes 2-pt jump shot from 10 ft (assist by S. Gilgeous-Alexander),11,14
1,5:56.0,K. Middleton misses 2-pt jump shot from 14 ft,,11,14
1,5:53.0,,Defensive rebound by M. Gortat,11,14
1,5:45.0,,D. Gallinari makes 3-pt jump shot from 26 ft,11,17
1,5:37.0,Milwaukee full timeout,,11,17
1,5:37.0,D. DiVincenzo enters the game for G. Antetokounmpo,,11,17
1,5:30.0,Shooting foul by D. Gallinari (drawn by B. Lopez),,11,17
1,5:30.0,B. Lopez makes free throw 1 of 2,,12,17
1,5:30.0,B. Lopez makes free throw 2 of 2,,13,17
1,5:14.0,,T. Harris makes 2-pt jump shot from 4 ft (assist by M. Gortat),13,19
1,4:52.0,E. Bledsoe makes 2-pt jump shot from 19 ft,,15,19
1,4:33.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,15,19
1,4:30.0,,Offensive rebound by P. Beverley,15,19
1,4:28.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by P. Beverley),15,22
1,4:15.0,D. DiVincenzo misses 2-pt layup from 3 ft (block by S. Gilgeous-Alexander),,15,22
1,4:13.0,,Defensive rebound by M. Gortat,15,22
1,4:06.0,,P. Beverley makes 2-pt jump shot from 10 ft,15,24
1,3:58.0,Personal foul by T. Harris (drawn by D. DiVincenzo),,15,24
1,3:58.0,M. Brogdon enters the game for E. Bledsoe,,15,24
1,3:58.0,J. Henson enters the game for B. Lopez,,15,24
1,3:58.0,,M. Harrell enters the game for P. Beverley,15,24
1,3:58.0,,L. Williams enters the game for M. Gortat,15,24
1,3:52.0,Turnover by K. Middleton (bad pass; steal by T. Harris),,15,24
1,3:44.0,,Turnover by L. Williams (bad pass; steal by K. Middleton),15,24
1,3:35.0,J. Henson makes 3-pt jump shot from 22 ft (assist by E. İlyasova),,18,24
1,3:22.0,,L. Williams misses 2-pt jump shot from 19 ft,18,24
1,3:20.0,Defensive rebound by J. Henson,,18,24
1,3:11.0,D. DiVincenzo misses 3-pt jump shot from 26 ft,,18,24
1,3:07.0,,Defensive rebound by L. Williams,18,24
1,3:00.0,,L. Williams misses 2-pt jump shot from 3 ft,18,24
1,2:58.0,Defensive rebound by M. Brogdon,,18,24
1,2:55.0,M. Brogdon misses 3-pt jump shot from 26 ft,,18,24
1,2:52.0,Offensive rebound by E. İlyasova,,18,24
1,2:51.0,E. İlyasova misses 2-pt jump shot from 9 ft,,18,24
1,2:51.0,,Defensive rebound by S. Gilgeous-Alexander,18,24
1,2:51.0,,LA Clippers full timeout,18,24
1,2:51.0,T. Snell enters the game for K. Middleton,,18,24
1,2:51.0,,M. Scott enters the game for D. Gallinari,18,24
1,2:40.0,,T. Harris makes 2-pt jump shot from 11 ft,18,26
1,2:26.0,Offensive foul by J. Henson (drawn by M. Harrell),,18,26
1,2:26.0,Turnover by J. Henson (offensive foul),,18,26
1,2:26.0,G. Antetokounmpo enters the game for E. İlyasova,,18,26
1,2:11.0,,M. Scott misses 3-pt jump shot from 26 ft,18,26
1,2:08.0,Defensive rebound by D. DiVincenzo,,18,26
1,2:01.0,M. Brogdon makes 2-pt layup from 3 ft (assist by J. Henson),,20,26
1,1:50.0,,L. Williams makes 2-pt jump shot from 17 ft,20,28
1,1:42.0,Shooting foul by M. Scott (drawn by G. Antetokounmpo),,20,28
1,1:42.0,G. Antetokounmpo misses free throw 1 of 2,,20,28
1,1:42.0,Offensive rebound by Team,,20,28
1,1:42.0,G. Antetokounmpo misses free throw 2 of 2,,20,28
1,1:39.0,,Defensive rebound by L. Williams,20,28
1,1:31.0,,L. Williams misses 3-pt jump shot from 27 ft,20,28
1,1:28.0,Defensive rebound by T. Snell,,20,28
1,1:16.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,20,28
1,1:13.0,,Defensive rebound by S. Gilgeous-Alexander,20,28
1,1:13.0,,S. Thornwell enters the game for S. Gilgeous-Alexander,20,28
1,1:13.0,,T. Wallace enters the game for T. Harris,20,28
