QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
1,11:38.0,,J. Nurkić misses 2-pt jump shot from 17 ft,0,0
1,11:36.0,,Offensive rebound by A. Aminu,0,0
1,11:35.0,,Turnover by M. Harkless (off goaltending),0,0
1,11:17.0,D. DeRozan misses 2-pt jump shot from 13 ft,,0,0
1,11:16.0,Offensive rebound by L. Aldridge,,0,0
1,11:12.0,B. Forbes makes 3-pt jump shot from 30 ft (assist by R. Gay),,3,0
1,11:01.0,,Offensive foul by M. Harkless (drawn by B. Forbes),3,0
1,11:01.0,,Turnover by M. Harkless (offensive foul),3,0
1,10:46.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. Bertāns),,5,0
1,10:30.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),5,2
1,10:16.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,7,2
1,10:05.0,,D. Lillard misses 3-pt jump shot from 26 ft,7,2
1,10:03.0,,Offensive rebound by A. Aminu,7,2
1,9:52.0,,J. Nurkić misses 2-pt layup from 2 ft,7,2
1,9:49.0,Defensive rebound by B. Forbes,,7,2
1,9:40.0,L. Aldridge misses 2-pt jump shot from 21 ft,,7,2
1,9:38.0,,Defensive rebound by C. McCollum,7,2
1,9:32.0,,C. McCollum misses 3-pt jump shot from 25 ft,7,2
1,9:29.0,Defensive rebound by D. DeRozan,,7,2
1,9:22.0,D. DeRozan misses 2-pt jump shot from 21 ft,,7,2
1,9:20.0,,Defensive rebound by J. Nurkić,7,2
1,9:13.0,,D. Lillard makes 2-pt layup from 1 ft,7,4
1,8:59.0,Personal foul by M. Harkless (drawn by L. Aldridge),,7,4
1,8:49.0,D. DeRozan misses 2-pt jump shot from 3 ft,,7,4
1,8:47.0,Offensive rebound by L. Aldridge,,7,4
1,8:47.0,Shooting foul by J. Nurkić (drawn by L. Aldridge),,7,4
1,8:47.0,L. Aldridge misses free throw 1 of 2,,7,4
1,8:47.0,Offensive rebound by Team,,7,4
1,8:47.0,L. Aldridge makes free throw 2 of 2,,8,4
1,8:39.0,,Personal foul by B. Forbes (drawn by J. Nurkić),8,4
1,8:34.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Harkless),8,7
