QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,HOUSTON_ACTION,MILWAUKEE_SCORE,HOUSTON_SCORE
1,1:54.0,,A. Rivers enters the game for J. Ennis,23,23
1,1:54.0,,P. Tucker enters the game for J. Harden,23,23
1,1:40.0,E. İlyasova makes 3-pt jump shot from 23 ft (assist by G. Hill),,26,23
1,1:24.0,,G. Green misses 3-pt jump shot from 25 ft,26,23
1,1:23.0,Defensive rebound by E. İlyasova,,26,23
1,1:10.0,Turnover by E. İlyasova (traveling),,26,23
1,1:10.0,G. Antetokounmpo enters the game for T. Maker,,26,23
1,0:55.0,,G. Green makes 3-pt jump shot from 27 ft (assist by G. Clark),26,26
1,0:40.0,S. Brown misses 3-pt jump shot from 23 ft,,26,26
1,0:38.0,,Defensive rebound by B. Knight,26,26
1,0:26.0,,G. Green misses 3-pt jump shot from 27 ft,26,26
1,0:23.0,Defensive rebound by E. İlyasova,,26,26
1,0:19.0,G. Antetokounmpo misses 2-pt jump shot from 7 ft (block by P. Tucker),,26,26
1,0:17.0,Offensive rebound by S. Brown,,26,26
1,0:12.0,G. Hill misses 3-pt jump shot from 24 ft,,26,26
1,0:11.0,,Defensive rebound by G. Clark,26,26
1,0:00.0,,A. Rivers makes 3-pt jump shot from 26 ft,26,29
2,11:43.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,26,29
2,11:42.0,Offensive rebound by G. Antetokounmpo,,26,29
2,11:32.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,26,29
2,11:29.0,,Defensive rebound by J. Ennis,26,29
2,11:20.0,,Shooting foul by E. Bledsoe (drawn by A. Rivers),26,29
2,11:20.0,,A. Rivers makes free throw 1 of 2,26,30
2,11:20.0,,A. Rivers makes free throw 2 of 2,26,31
2,11:00.0,T. Snell makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),,28,31
2,10:50.0,,G. Green misses 2-pt layup from 2 ft,28,31
2,10:48.0,Defensive rebound by G. Antetokounmpo,,28,31
2,10:37.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by S. Brown),,30,31
2,10:22.0,,A. Rivers misses 3-pt jump shot from 27 ft,30,31
2,10:21.0,Defensive rebound by G. Antetokounmpo,,30,31
2,10:16.0,Offensive foul by G. Antetokounmpo (drawn by P. Tucker),,30,31
2,10:16.0,Turnover by G. Antetokounmpo (offensive foul),,30,31
2,10:16.0,G. Hill enters the game for S. Brown,,30,31
2,10:02.0,,Turnover by P. Tucker (bad pass),30,31
2,9:49.0,Turnover by E. Bledsoe (bad pass; steal by P. Tucker),,30,31
2,9:35.0,,B. Knight makes 3-pt jump shot from 25 ft (assist by P. Tucker),30,34
2,9:21.0,Offensive foul by M. Brogdon (drawn by P. Tucker),,30,34
2,9:21.0,Turnover by M. Brogdon (offensive foul),,30,34
2,9:10.0,,P. Tucker misses 2-pt jump shot from 22 ft,30,34
2,9:08.0,Defensive rebound by M. Brogdon,,30,34
2,8:57.0,Turnover by E. Bledsoe (bad pass; steal by G. Green),,30,34
2,8:54.0,,Turnover by G. Green (bad pass; steal by M. Brogdon),30,34
2,8:51.0,M. Brogdon makes 2-pt layup from 2 ft,,32,34
2,8:40.0,,B. Knight misses 3-pt jump shot from 25 ft,32,34
2,8:38.0,Defensive rebound by G. Antetokounmpo,,32,34
2,8:27.0,M. Brogdon makes 2-pt layup from 1 ft (assist by T. Snell),,34,34
2,8:27.0,,Houston full timeout,34,34
2,8:27.0,B. Lopez enters the game for G. Antetokounmpo,,34,34
2,8:27.0,K. Middleton enters the game for M. Brogdon,,34,34
2,8:27.0,,C. Capela enters the game for J. Ennis,34,34
2,8:27.0,,J. Harden enters the game for G. Green,34,34
2,8:27.0,,D. House enters the game for B. Knight,34,34
2,8:16.0,,C. Capela misses 2-pt dunk from 2 ft,34,34
2,8:15.0,Defensive rebound by K. Middleton,,34,34
2,8:08.0,E. Bledsoe misses 2-pt layup from 1 ft,,34,34
2,8:06.0,,Defensive rebound by D. House,34,34
2,8:01.0,,J. Harden makes 2-pt layup from 1 ft,34,36
2,7:40.0,K. Middleton misses 2-pt jump shot from 4 ft,,34,36
2,7:39.0,,Defensive rebound by D. House,34,36
2,7:33.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),34,38
2,7:17.0,Turnover by B. Lopez (traveling),,34,38
2,6:56.0,,Turnover by D. House (lost ball; steal by K. Middleton),34,38
2,6:49.0,Turnover by B. Lopez (traveling),,34,38
2,6:37.0,,Turnover by J. Harden (bad pass; steal by B. Lopez),34,38
2,6:28.0,K. Middleton misses 3-pt jump shot from 26 ft,,34,38
2,6:26.0,Offensive rebound by E. Bledsoe,,34,38
