QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DETROIT_ACTION,SAN ANTONIO_SCORE,DETROIT_SCORE
1,11:47.0,,B. Griffin misses 2-pt layup from 7 ft (block by L. Aldridge),0,0
1,11:45.0,Defensive rebound by B. Forbes,,0,0
1,11:24.0,L. Aldridge misses 2-pt jump shot from 15 ft,,0,0
1,11:23.0,,Defensive rebound by A. Drummond,0,0
1,11:06.0,,B. Brown misses 2-pt jump shot from 5 ft (block by J. Poeltl),0,0
1,11:03.0,,Offensive rebound by A. Drummond,0,0
1,10:57.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by A. Drummond),0,3
1,10:48.0,D. DeRozan misses 2-pt jump shot from 18 ft,,0,3
1,10:48.0,,Defensive rebound by B. Griffin,0,3
1,10:39.0,,B. Griffin makes 2-pt jump shot from 8 ft,0,5
1,10:39.0,,Shooting foul by L. Aldridge (drawn by B. Griffin),0,5
1,10:39.0,,B. Griffin makes free throw 1 of 1,0,6
1,10:13.0,B. Forbes misses 2-pt jump shot from 19 ft,,0,6
1,10:11.0,,Defensive rebound by R. Bullock,0,6
1,10:02.0,,R. Bullock misses 3-pt jump shot from 26 ft,0,6
1,9:58.0,Defensive rebound by L. Aldridge,,0,6
1,9:43.0,L. Aldridge makes 2-pt layup from 2 ft (assist by D. DeRozan),,2,6
1,9:18.0,,R. Jackson misses 3-pt jump shot from 26 ft,2,6
1,9:15.0,Defensive rebound by D. White,,2,6
1,9:11.0,D. DeRozan makes 2-pt jump shot from 13 ft,,4,6
1,9:11.0,Shooting foul by B. Brown (drawn by D. DeRozan),,4,6
1,9:11.0,D. DeRozan makes free throw 1 of 1,,5,6
1,8:59.0,,B. Brown makes 2-pt layup from 1 ft (assist by R. Bullock),5,8
1,8:40.0,Turnover by L. Aldridge (traveling),,5,8
1,8:28.0,,B. Brown misses 2-pt layup from 5 ft,5,8
1,8:26.0,Defensive rebound by L. Aldridge,,5,8
1,8:18.0,D. White misses 3-pt jump shot from 24 ft,,5,8
1,8:14.0,Offensive rebound by J. Poeltl,,5,8
1,8:11.0,D. DeRozan makes 2-pt jump shot from 10 ft (assist by J. Poeltl),,7,8
1,7:57.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by B. Brown),7,11
1,7:43.0,D. DeRozan misses 2-pt jump shot from 16 ft,,7,11
1,7:39.0,Offensive rebound by J. Poeltl,,7,11
1,7:36.0,B. Forbes misses 3-pt jump shot from 26 ft,,7,11
1,7:32.0,,Defensive rebound by R. Bullock,7,11
1,7:26.0,,B. Brown misses 3-pt jump shot from 24 ft,7,11
1,7:24.0,Defensive rebound by Team,,7,11
1,7:04.0,L. Aldridge makes 2-pt jump shot from 15 ft,,9,11
1,6:49.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),9,14
1,6:37.0,L. Aldridge misses 2-pt jump shot from 18 ft,,9,14
1,6:32.0,,Defensive rebound by B. Brown,9,14
1,6:20.0,,B. Griffin makes 3-pt jump shot from 24 ft,9,17
1,6:19.0,San Antonio full timeout,,9,17
1,6:19.0,P. Mills enters the game for D. White,,9,17
1,6:08.0,Turnover by J. Poeltl (bad pass; steal by A. Drummond),,9,17
1,6:05.0,,A. Drummond makes 2-pt dunk from 1 ft,9,19
1,6:05.0,San Antonio full timeout,,9,19
1,6:05.0,M. Belinelli enters the game for L. Aldridge,,9,19
1,6:05.0,D. Bertāns enters the game for D. DeRozan,,9,19
1,6:05.0,P. Gasol enters the game for B. Forbes,,9,19
1,6:05.0,D. White enters the game for J. Poeltl,,9,19
1,5:50.0,D. Bertāns misses 3-pt jump shot from 26 ft,,9,19
1,5:46.0,,Defensive rebound by A. Drummond,9,19
1,5:27.0,,B. Griffin misses 2-pt layup at rim,9,19
1,5:25.0,Defensive rebound by P. Gasol,,9,19
1,5:06.0,P. Gasol misses 2-pt jump shot from 11 ft,,9,19
1,5:04.0,,Defensive rebound by A. Drummond,9,19
1,4:55.0,,R. Jackson makes 2-pt jump shot from 12 ft,9,21
1,4:43.0,D. White misses 2-pt jump shot from 6 ft,,9,21
1,4:39.0,,Defensive rebound by A. Drummond,9,21
1,4:35.0,,R. Jackson misses 3-pt jump shot from 26 ft,9,21
1,4:31.0,Defensive rebound by P. Mills,,9,21
1,4:21.0,D. White makes 2-pt layup from 1 ft (assist by P. Gasol),,11,21
1,3:55.0,,A. Drummond misses 2-pt layup at rim (block by P. Gasol),11,21
1,3:53.0,Defensive rebound by P. Gasol,,11,21
1,3:46.0,Shooting foul by R. Jackson (drawn by M. Belinelli),,11,21
1,3:46.0,M. Belinelli makes free throw 1 of 2,,12,21
1,3:46.0,M. Belinelli makes free throw 2 of 2,,13,21
1,3:46.0,,Detroit full timeout,13,21
1,3:46.0,,J. Calderón enters the game for R. Jackson,13,21
1,3:27.0,,Turnover by B. Griffin (bad pass; steal by M. Belinelli),13,21
1,3:16.0,P. Mills makes 3-pt jump shot from 27 ft (assist by D. Bertāns),,16,21
1,2:57.0,,B. Griffin misses 3-pt jump shot from 25 ft,16,21
1,2:55.0,,Offensive rebound by J. Calderón,16,21
1,2:43.0,,R. Bullock misses 3-pt jump shot from 26 ft,16,21
1,2:38.0,,Offensive rebound by A. Drummond,16,21
1,2:38.0,,A. Drummond makes 2-pt layup at rim,16,23
1,2:23.0,P. Gasol makes 2-pt jump shot from 13 ft (assist by D. White),,18,23
1,2:11.0,,R. Bullock makes 2-pt jump shot from 20 ft (assist by B. Griffin),18,25
1,1:58.0,M. Belinelli makes 2-pt jump shot from 21 ft (assist by D. Bertāns),,20,25
1,1:38.0,,B. Griffin makes 2-pt layup from 2 ft (assist by J. Calderón),20,27
1,1:28.0,D. White makes 2-pt layup from 2 ft,,22,27
1,1:27.0,Violation by Team (delay of game),,22,27
1,1:11.0,,B. Griffin makes 2-pt dunk from 1 ft,22,29
1,1:02.0,P. Mills misses 2-pt layup from 2 ft,,22,29
1,0:59.0,,Defensive rebound by A. Drummond,22,29
1,0:53.0,,B. Brown makes 2-pt layup from 1 ft,22,31
1,0:41.0,Shooting foul by B. Brown (drawn by P. Mills),,22,31
1,0:41.0,P. Mills makes free throw 1 of 3,,23,31
1,0:41.0,P. Mills makes free throw 2 of 3,,24,31
1,0:41.0,L. Aldridge enters the game for D. Bertāns,,24,31
1,0:41.0,D. DeRozan enters the game for P. Gasol,,24,31
1,0:41.0,B. Forbes enters the game for D. White,,24,31
1,0:41.0,,S. Johnson enters the game for B. Brown,24,31
1,0:41.0,,L. Kennard enters the game for B. Griffin,24,31
1,0:41.0,P. Mills makes free throw 3 of 3,,25,31
1,0:29.0,,J. Calderón misses 3-pt jump shot from 26 ft,25,31
1,0:26.0,Defensive rebound by M. Belinelli,,25,31
1,0:06.0,D. DeRozan misses 2-pt jump shot from 11 ft,,25,31
1,0:03.0,,Defensive rebound by S. Johnson,25,31
1,0:01.0,,Personal foul by D. DeRozan (drawn by S. Johnson),25,31
2,11:46.0,B. Forbes makes 2-pt jump shot from 12 ft (assist by P. Mills),,27,31
2,11:31.0,,Turnover by A. Drummond (traveling),27,31
2,11:20.0,Personal foul by L. Kennard (drawn by D. DeRozan),,27,31
2,11:10.0,P. Mills misses 3-pt jump shot from 27 ft,,27,31
2,11:06.0,,Defensive rebound by A. Drummond,27,31
2,11:00.0,,S. Johnson misses 3-pt jump shot from 23 ft,27,31
2,10:57.0,Defensive rebound by P. Mills,,27,31
2,10:51.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by P. Mills),,30,31
2,10:50.0,,Detroit full timeout,30,31
2,10:26.0,,S. Johnson misses 3-pt jump shot from 24 ft,30,31
2,10:23.0,Defensive rebound by D. DeRozan,,30,31
2,10:17.0,D. DeRozan makes 2-pt jump shot from 20 ft,,32,31
2,9:58.0,,L. Kennard misses 2-pt jump shot from 15 ft,32,31
2,9:55.0,Defensive rebound by D. DeRozan,,32,31
2,9:48.0,D. DeRozan makes 2-pt jump shot from 12 ft,,34,31
2,9:27.0,,A. Drummond misses 2-pt hook shot from 8 ft,34,31
2,9:27.0,,Offensive rebound by L. Galloway,34,31
2,9:23.0,,A. Drummond misses 2-pt jump shot from 8 ft (block by D. DeRozan),34,31
2,9:23.0,Defensive rebound by P. Mills,,34,31
2,9:17.0,D. DeRozan misses 2-pt layup from 3 ft (block by S. Johnson),,34,31
2,9:13.0,,Defensive rebound by J. Calderón,34,31
2,9:11.0,,Personal foul by M. Belinelli (drawn by A. Drummond),34,31
2,9:11.0,D. Bertāns enters the game for M. Belinelli,,34,31
2,9:11.0,D. White enters the game for P. Mills,,34,31
2,9:02.0,,Turnover by A. Drummond (traveling),34,31
2,8:53.0,Offensive foul by L. Aldridge (drawn by A. Drummond),,34,31
2,8:53.0,Turnover by L. Aldridge (offensive foul),,34,31
2,8:39.0,,Turnover by A. Drummond (lost ball; steal by D. DeRozan),34,31
2,8:36.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,37,31
2,8:12.0,,L. Kennard makes 2-pt jump shot from 8 ft,37,33
2,7:57.0,D. Bertāns misses 3-pt jump shot from 26 ft,,37,33
2,7:54.0,,Defensive rebound by S. Johnson,37,33
2,7:47.0,,A. Drummond misses 2-pt hook shot from 8 ft,37,33
2,7:45.0,Defensive rebound by D. Bertāns,,37,33
2,7:41.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. Bertāns),,40,33
2,7:13.0,,S. Johnson misses 2-pt jump shot from 8 ft (block by D. DeRozan),40,33
2,7:11.0,Defensive rebound by L. Aldridge,,40,33
2,7:04.0,D. White makes 2-pt jump shot from 11 ft (assist by D. DeRozan),,42,33
2,7:04.0,Shooting foul by A. Drummond (drawn by D. White),,42,33
2,7:04.0,,Detroit full timeout,42,33
2,7:04.0,,R. Bullock enters the game for A. Drummond,42,33
2,7:04.0,,B. Griffin enters the game for L. Galloway,42,33
2,7:04.0,,J. Leuer enters the game for S. Johnson,42,33
2,7:04.0,D. White makes free throw 1 of 1,,43,33
2,6:43.0,,Turnover by B. Griffin (step out of bounds),43,33
2,6:24.0,D. DeRozan makes 2-pt jump shot from 6 ft,,45,33
2,6:10.0,,B. Griffin makes 2-pt layup from 3 ft (assist by L. Kennard),45,35
2,6:00.0,D. DeRozan misses 2-pt jump shot from 7 ft,,45,35
2,5:55.0,,Defensive rebound by J. Leuer,45,35
2,5:51.0,,L. Kennard misses 3-pt jump shot from 25 ft,45,35
2,5:50.0,Defensive rebound by Team,,45,35
2,5:37.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. DeRozan),,47,35
2,5:22.0,,J. Calderón makes 3-pt jump shot from 24 ft (assist by B. Griffin),47,38
2,4:58.0,D. Bertāns makes 2-pt jump shot from 13 ft (assist by L. Aldridge),,49,38
2,4:41.0,,L. Kennard makes 3-pt jump shot from 26 ft (assist by R. Bullock),49,41
2,4:40.0,San Antonio full timeout,,49,41
2,4:40.0,M. Belinelli enters the game for D. DeRozan,,49,41
2,4:40.0,,B. Brown enters the game for J. Calderón,49,41
2,4:40.0,,R. Jackson enters the game for L. Kennard,49,41
2,4:22.0,Shooting foul by B. Griffin (drawn by L. Aldridge),,49,41
2,4:22.0,L. Aldridge makes free throw 1 of 2,,50,41
2,4:22.0,P. Mills enters the game for B. Forbes,,50,41
2,4:22.0,L. Aldridge misses free throw 2 of 2,,50,41
2,4:19.0,Offensive rebound by D. Bertāns,,50,41
2,4:11.0,Shooting foul by J. Leuer (drawn by L. Aldridge),,50,41
2,4:11.0,L. Aldridge makes free throw 1 of 2,,51,41
2,4:11.0,L. Aldridge makes free throw 2 of 2,,52,41
2,3:49.0,,B. Griffin makes 2-pt layup from 6 ft,52,43
2,3:49.0,,Shooting foul by L. Aldridge (drawn by B. Griffin),52,43
2,3:49.0,J. Poeltl enters the game for L. Aldridge,,52,43
2,3:49.0,,A. Drummond enters the game for J. Leuer,52,43
2,3:49.0,,B. Griffin makes free throw 1 of 1,52,44
2,3:27.0,J. Poeltl makes 2-pt layup from 2 ft (assist by D. Bertāns),,54,44
2,3:12.0,,R. Bullock misses 3-pt jump shot from 26 ft,54,44
2,3:10.0,Defensive rebound by D. White,,54,44
2,3:01.0,P. Mills makes 3-pt jump shot from 23 ft (assist by D. Bertāns),,57,44
2,2:33.0,,R. Bullock misses 3-pt jump shot from 25 ft,57,44
2,2:29.0,Defensive rebound by P. Mills,,57,44
2,2:21.0,M. Belinelli misses 3-pt jump shot from 24 ft,,57,44
2,2:18.0,,Defensive rebound by A. Drummond,57,44
2,2:11.0,,R. Jackson makes 2-pt jump shot from 14 ft,57,46
2,1:51.0,P. Mills misses 3-pt jump shot from 27 ft,,57,46
2,1:48.0,,Defensive rebound by R. Bullock,57,46
2,1:32.0,,B. Griffin misses 2-pt layup from 6 ft,57,46
2,1:30.0,,Offensive rebound by A. Drummond,57,46
2,1:30.0,,A. Drummond misses 2-pt layup from 3 ft,57,46
2,1:28.0,Defensive rebound by J. Poeltl,,57,46
2,1:23.0,M. Belinelli misses 2-pt layup from 3 ft,,57,46
2,1:22.0,,Defensive rebound by R. Jackson,57,46
2,1:18.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Brown),57,49
2,0:54.0,D. White makes 2-pt jump shot from 10 ft,,59,49
2,0:34.0,,R. Jackson makes 2-pt jump shot from 18 ft,59,51
2,0:12.0,P. Mills misses 2-pt layup from 2 ft,,59,51
2,0:12.0,Offensive rebound by J. Poeltl,,59,51
2,0:12.0,Shooting foul by R. Jackson (drawn by J. Poeltl),,59,51
2,0:12.0,J. Poeltl misses free throw 1 of 2,,59,51
