QUARTER,TIME_REMAINING,DETROIT_ACTION,MINNESOTA_ACTION,DETROIT_SCORE,MINNESOTA_SCORE
1,11:45.0,L. Kennard misses 3-pt jump shot from 25 ft,,0,0
1,11:45.0,Offensive rebound by B. Griffin,,0,0
1,11:44.0,B. Griffin makes 2-pt layup from 1 ft,,2,0
1,11:32.0,,D. Rose misses 2-pt jump shot from 17 ft,2,0
1,11:30.0,Defensive rebound by R. Jackson,,2,0
1,11:21.0,A. Drummond misses 2-pt hook shot from 10 ft,,2,0
1,11:21.0,,Defensive rebound by K. Towns,2,0
1,11:06.0,,T. Gibson misses 2-pt hook shot from 8 ft,2,0
1,11:03.0,Defensive rebound by A. Drummond,,2,0
1,10:40.0,L. Kennard makes 3-pt jump shot from 26 ft,,5,0
1,10:21.0,,T. Gibson misses 2-pt jump shot from 9 ft,5,0
1,10:20.0,Defensive rebound by A. Drummond,,5,0
1,10:13.0,A. Drummond makes 2-pt layup from 2 ft (assist by L. Kennard),,7,0
1,10:13.0,Shooting foul by T. Gibson (drawn by A. Drummond),,7,0
1,10:13.0,A. Drummond makes free throw 1 of 1,,8,0
1,10:02.0,,A. Wiggins misses 2-pt jump shot from 18 ft,8,0
1,9:59.0,Defensive rebound by A. Drummond,,8,0
1,9:50.0,R. Jackson makes 2-pt hook shot from 10 ft,,10,0
1,9:45.0,,Minnesota full timeout,10,0
1,9:34.0,,D. Rose misses 2-pt jump shot from 15 ft,10,0
1,9:33.0,,Offensive rebound by Team,10,0
1,9:32.0,Violation by Team (kicked ball),,10,0
1,9:29.0,,R. Covington misses 3-pt jump shot from 22 ft,10,0
1,9:27.0,Defensive rebound by R. Bullock,,10,0
1,9:17.0,Personal foul by K. Towns (drawn by A. Drummond),,10,0
1,9:08.0,R. Bullock makes 2-pt jump shot from 19 ft,,12,0
1,8:55.0,,D. Rose makes 2-pt jump shot from 8 ft,12,2
1,8:46.0,B. Griffin misses 3-pt jump shot from 25 ft,,12,2
1,8:40.0,,Defensive rebound by D. Rose,12,2
1,8:39.0,,D. Rose makes 2-pt layup from 1 ft,12,4
1,8:19.0,R. Jackson misses 3-pt jump shot from 28 ft,,12,4
1,8:19.0,,Defensive rebound by Team,12,4
1,8:00.0,,A. Wiggins makes 2-pt jump shot from 12 ft,12,6
1,7:39.0,R. Bullock misses 2-pt jump shot from 19 ft,,12,6
1,7:36.0,,Defensive rebound by T. Gibson,12,6
1,7:29.0,,K. Towns misses 3-pt jump shot from 26 ft,12,6
1,7:24.0,,Offensive rebound by T. Gibson,12,6
1,7:24.0,,T. Gibson makes 2-pt layup at rim,12,8
1,7:12.0,R. Bullock misses 3-pt jump shot from 26 ft,,12,8
1,7:08.0,,Defensive rebound by K. Towns,12,8
1,7:02.0,,T. Gibson makes 2-pt layup from 1 ft (assist by D. Rose),12,10
1,6:55.0,Detroit full timeout,,12,10
1,6:41.0,R. Bullock misses 3-pt jump shot from 23 ft,,12,10
1,6:39.0,,Defensive rebound by T. Gibson,12,10
1,6:30.0,,K. Towns misses 3-pt jump shot from 28 ft,12,10
1,6:28.0,Defensive rebound by B. Griffin,,12,10
1,6:24.0,Shooting foul by R. Covington (drawn by A. Drummond),,12,10
1,6:24.0,A. Drummond makes free throw 1 of 2,,13,10
1,6:24.0,A. Drummond makes free throw 2 of 2,,14,10
1,6:06.0,,A. Wiggins misses 2-pt jump shot from 10 ft,14,10
1,6:03.0,Defensive rebound by B. Griffin,,14,10
1,5:53.0,Personal foul by T. Gibson (drawn by B. Griffin),,14,10
1,5:53.0,,J. Okogie enters the game for R. Covington,14,10
1,5:53.0,,D. Šarić enters the game for T. Gibson,14,10
1,5:46.0,B. Griffin makes 2-pt jump shot from 15 ft (assist by R. Jackson),,16,10
1,5:33.0,,D. Rose makes 2-pt jump shot from 19 ft,16,12
1,5:25.0,L. Kennard misses 3-pt jump shot from 22 ft,,16,12
1,5:23.0,,Defensive rebound by A. Wiggins,16,12
1,5:15.0,,A. Wiggins makes 2-pt jump shot from 16 ft,16,14
1,5:07.0,A. Drummond makes 2-pt jump shot from 9 ft (assist by R. Jackson),,18,14
1,4:49.0,,K. Towns makes 2-pt dunk at rim (assist by D. Šarić),18,16
1,4:28.0,B. Griffin misses 3-pt jump shot from 24 ft,,18,16
1,4:25.0,,Defensive rebound by D. Rose,18,16
1,4:22.0,,D. Rose misses 2-pt layup at rim,18,16
1,4:22.0,,Offensive rebound by Team,18,16
1,4:22.0,Loose ball foul by L. Kennard (drawn by D. Šarić),,18,16
1,4:22.0,J. Calderón enters the game for B. Griffin,,18,16
