QUARTER,TIME_REMAINING,DETROIT_ACTION,MINNESOTA_ACTION,DETROIT_SCORE,MINNESOTA_SCORE
1,4:22.0,L. Galloway enters the game for R. Jackson,,18,16
1,4:22.0,S. Johnson enters the game for L. Kennard,,18,16
1,4:17.0,,Personal foul by L. Galloway (drawn by K. Towns),18,16
1,4:06.0,,A. Wiggins misses 2-pt jump shot from 17 ft,18,16
1,4:04.0,Defensive rebound by R. Bullock,,18,16
1,4:02.0,Turnover by S. Johnson (bad pass),,18,16
1,3:53.0,,K. Towns misses 3-pt jump shot from 26 ft,18,16
1,3:50.0,,Offensive rebound by J. Okogie,18,16
1,3:49.0,,J. Okogie makes 2-pt layup from 1 ft,18,18
1,3:30.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Galloway),,21,18
1,3:17.0,,Shooting foul by L. Galloway (drawn by D. Rose),21,18
1,3:17.0,,D. Rose makes free throw 1 of 2,21,19
1,3:17.0,,D. Rose makes free throw 2 of 2,21,20
1,3:05.0,A. Drummond misses 2-pt layup from 5 ft,,21,20
1,3:03.0,,Defensive rebound by A. Wiggins,21,20
1,2:59.0,,Turnover by A. Wiggins (bad pass; steal by R. Bullock),21,20
1,2:56.0,R. Bullock makes 2-pt layup from 1 ft,,23,20
1,2:50.0,,Personal foul by S. Johnson (drawn by K. Towns),23,20
1,2:50.0,,T. Jones enters the game for D. Rose,23,20
1,2:36.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by T. Jones),23,22
1,2:23.0,J. Calderón makes 2-pt layup from 1 ft,,25,22
1,2:12.0,,T. Jones misses 2-pt jump shot from 16 ft,25,22
1,2:11.0,Defensive rebound by S. Johnson,,25,22
1,1:55.0,L. Galloway misses 3-pt jump shot from 25 ft,,25,22
1,1:52.0,,Defensive rebound by J. Okogie,25,22
1,1:47.0,,J. Okogie misses 3-pt jump shot from 26 ft,25,22
1,1:43.0,,Offensive rebound by A. Wiggins,25,22
1,1:42.0,,T. Jones misses 3-pt jump shot from 25 ft,25,22
1,1:42.0,Defensive rebound by J. Calderón,,25,22
1,1:34.0,S. Johnson misses 3-pt jump shot from 27 ft,,25,22
1,1:30.0,,Defensive rebound by A. Wiggins,25,22
1,1:20.0,,K. Towns makes 2-pt jump shot from 8 ft,25,24
1,1:20.0,,Shooting foul by A. Drummond (drawn by K. Towns),25,24
1,1:20.0,B. Brown enters the game for R. Bullock,,25,24
1,1:20.0,,K. Towns misses free throw 1 of 1,25,24
1,1:18.0,Defensive rebound by A. Drummond,,25,24
1,1:02.0,Turnover by J. Calderón (bad pass; steal by K. Towns),,25,24
1,1:00.0,,K. Towns makes 2-pt dunk from 1 ft (assist by T. Jones),25,26
1,0:47.0,L. Galloway misses 2-pt jump shot from 8 ft (block by K. Towns),,25,26
1,0:43.0,,Defensive rebound by D. Šarić,25,26
1,0:32.0,,T. Jones misses 2-pt jump shot from 10 ft,25,26
1,0:30.0,Defensive rebound by A. Drummond,,25,26
1,0:25.0,S. Johnson makes 2-pt layup from 2 ft,,27,26
1,0:04.0,,A. Wiggins misses 2-pt layup from 3 ft,27,26
1,0:02.0,Defensive rebound by B. Brown,,27,26
1,0:00.0,L. Galloway misses 2-pt jump shot from 19 ft,,27,26
1,0:00.0,Offensive rebound by Team,,27,26
2,11:35.0,,G. Dieng makes 2-pt jump shot from 13 ft (assist by T. Jones),27,28
2,11:14.0,S. Johnson misses 3-pt jump shot from 25 ft,,27,28
2,11:11.0,,Defensive rebound by J. Okogie,27,28
2,11:01.0,,D. Šarić misses 2-pt jump shot from 22 ft,27,28
2,10:57.0,Defensive rebound by B. Brown,,27,28
2,10:47.0,S. Johnson makes 3-pt jump shot from 24 ft (assist by J. Calderón),,30,28
2,10:25.0,,Shooting foul by J. Calderón (drawn by G. Dieng),30,28
2,10:25.0,,G. Dieng makes free throw 1 of 2,30,29
2,10:25.0,,G. Dieng makes free throw 2 of 2,30,30
2,10:12.0,Personal foul by R. Covington (drawn by L. Galloway),,30,30
2,10:03.0,Offensive foul by S. Johnson (drawn by D. Šarić),,30,30
2,10:03.0,Turnover by S. Johnson (offensive foul),,30,30
2,9:50.0,,D. Šarić makes 2-pt jump shot from 14 ft (assist by T. Jones),30,32
2,9:29.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by B. Brown),,33,32
2,9:22.0,,Shooting foul by L. Galloway (drawn by R. Covington),33,32
2,9:22.0,,R. Covington misses free throw 1 of 3,33,32
2,9:22.0,,Offensive rebound by Team,33,32
2,9:22.0,,R. Covington makes free throw 2 of 3,33,33
2,9:22.0,R. Bullock enters the game for L. Galloway,,33,33
2,9:22.0,,R. Covington makes free throw 3 of 3,33,34
2,9:12.0,B. Brown makes 2-pt layup from 1 ft (assist by J. Calderón),,35,34
2,9:04.0,,Shooting foul by J. Leuer (drawn by G. Dieng),35,34
2,9:04.0,,G. Dieng makes free throw 1 of 2,35,35
2,9:04.0,,G. Dieng makes free throw 2 of 2,35,36
2,8:42.0,J. Leuer misses 2-pt jump shot from 6 ft,,35,36
2,8:39.0,,Defensive rebound by G. Dieng,35,36
2,8:28.0,,R. Covington misses 3-pt jump shot from 29 ft,35,36
2,8:26.0,Defensive rebound by Team,,35,36
2,8:12.0,R. Bullock misses 3-pt jump shot from 26 ft,,35,36
2,8:09.0,,Defensive rebound by R. Covington,35,36
2,8:01.0,,R. Covington makes 2-pt layup from 1 ft,35,38
2,7:55.0,B. Brown makes 2-pt dunk from 1 ft (assist by J. Calderón),,37,38
2,7:47.0,,Minnesota full timeout,37,38
2,7:47.0,B. Griffin enters the game for S. Johnson,,37,38
2,7:36.0,,D. Šarić makes 2-pt layup from 2 ft (assist by R. Covington),37,40
2,7:36.0,,Shooting foul by J. Calderón (drawn by D. Šarić),37,40
2,7:36.0,,D. Šarić makes free throw 1 of 1,37,41
2,7:12.0,J. Calderón misses 3-pt jump shot from 26 ft,,37,41
2,7:09.0,,Defensive rebound by D. Šarić,37,41
2,7:03.0,,R. Covington misses 3-pt jump shot from 25 ft,37,41
2,6:58.0,Defensive rebound by B. Brown,,37,41
2,6:36.0,J. Calderón misses 3-pt jump shot from 26 ft,,37,41
2,6:33.0,Offensive rebound by B. Brown,,37,41
2,6:24.0,B. Griffin misses 3-pt jump shot from 26 ft,,37,41
2,6:23.0,Offensive rebound by Team,,37,41
2,6:23.0,,Loose ball foul by G. Dieng (drawn by J. Leuer),37,41
2,6:23.0,A. Drummond enters the game for J. Calderón,,37,41
2,6:23.0,R. Jackson enters the game for J. Leuer,,37,41
2,6:23.0,,D. Rose enters the game for G. Dieng,37,41
2,6:23.0,,K. Towns enters the game for T. Jones,37,41
2,6:14.0,R. Bullock misses 2-pt jump shot from 7 ft,,37,41
2,6:11.0,,Defensive rebound by K. Towns,37,41
2,5:59.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by K. Towns),37,44
2,5:51.0,Detroit full timeout,,37,44
2,5:34.0,Turnover by B. Brown (out of bounds lost ball),,37,44
2,5:20.0,,D. Rose makes 2-pt layup from 1 ft,37,46
2,5:10.0,Turnover by A. Drummond (step out of bounds),,37,46
2,4:57.0,,D. Šarić misses 3-pt jump shot from 25 ft,37,46
2,4:56.0,Defensive rebound by Team,,37,46
2,4:45.0,Shooting foul by K. Towns (drawn by B. Griffin),,37,46
2,4:45.0,B. Griffin misses free throw 1 of 2,,37,46
2,4:45.0,Offensive rebound by Team,,37,46
2,4:45.0,L. Kennard enters the game for B. Brown,,37,46
2,4:45.0,,T. Gibson enters the game for R. Covington,37,46
2,4:45.0,,A. Wiggins enters the game for D. Šarić,37,46
2,4:45.0,B. Griffin makes free throw 2 of 2,,38,46
2,4:34.0,,Turnover by D. Rose (bad pass),38,46
2,4:25.0,B. Griffin makes 2-pt dunk at rim (assist by R. Jackson),,40,46
2,4:11.0,,A. Wiggins misses 2-pt jump shot from 19 ft,40,46
2,4:08.0,Defensive rebound by A. Drummond,,40,46
2,3:55.0,R. Bullock misses 3-pt jump shot from 27 ft,,40,46
2,3:50.0,,Defensive rebound by T. Gibson,40,46
2,3:44.0,,D. Rose makes 2-pt jump shot from 11 ft,40,48
2,3:23.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by L. Kennard),,43,48
2,3:06.0,,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),43,50
2,2:42.0,L. Kennard misses 3-pt jump shot from 25 ft,,43,50
2,2:39.0,,Defensive rebound by J. Okogie,43,50
2,2:36.0,,Personal foul by R. Jackson (drawn by J. Okogie),43,50
2,2:36.0,,J. Okogie makes free throw 1 of 2,43,51
2,2:36.0,,J. Okogie makes free throw 2 of 2,43,52
2,2:27.0,R. Jackson makes 2-pt layup from 1 ft,,45,52
2,2:27.0,Shooting foul by T. Gibson (drawn by R. Jackson),,45,52
2,2:27.0,,D. Šarić enters the game for T. Gibson,45,52
2,2:27.0,R. Jackson makes free throw 1 of 1,,46,52
2,2:18.0,,D. Rose misses 2-pt jump shot from 20 ft,46,52
2,2:17.0,,Offensive rebound by Team,46,52
2,2:17.0,,Personal foul by R. Jackson (drawn by K. Towns),46,52
2,2:17.0,Technical foul by R. Jackson,,46,52
2,2:17.0,,K. Towns makes technical free throw,46,53
2,2:17.0,,K. Towns makes free throw 1 of 2,46,54
2,2:17.0,,K. Towns makes free throw 2 of 2,46,55
2,2:10.0,R. Jackson misses 2-pt jump shot from 12 ft,,46,55
2,2:07.0,Offensive rebound by Team,,46,55
2,1:59.0,Personal foul by D. Šarić (drawn by R. Jackson),,46,55
2,1:59.0,R. Jackson makes free throw 1 of 2,,47,55
2,1:59.0,R. Jackson makes free throw 2 of 2,,48,55
2,1:45.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by D. Rose),48,58
2,1:23.0,R. Bullock misses 2-pt layup from 3 ft,,48,58
2,1:20.0,Offensive rebound by A. Drummond,,48,58
2,1:20.0,Shooting foul by D. Rose (drawn by A. Drummond),,48,58
2,1:20.0,A. Drummond misses free throw 1 of 2,,48,58
2,1:20.0,Offensive rebound by Team,,48,58
2,1:20.0,A. Drummond misses free throw 2 of 2,,48,58
2,1:19.0,,Defensive rebound by D. Šarić,48,58
2,1:03.0,,D. Rose misses 3-pt jump shot from 24 ft,48,58
2,1:00.0,Defensive rebound by L. Kennard,,48,58
2,0:51.0,B. Griffin misses 3-pt jump shot from 25 ft,,48,58
2,0:47.0,,Defensive rebound by D. Rose,48,58
2,0:43.0,,K. Towns makes 2-pt jump shot from 8 ft (assist by D. Rose),48,60
2,0:37.0,R. Jackson makes 3-pt jump shot from 26 ft,,51,60
2,0:23.0,,D. Šarić misses 3-pt jump shot from 25 ft,51,60
2,0:20.0,Defensive rebound by A. Drummond,,51,60
2,0:14.0,B. Griffin makes 2-pt layup from 2 ft (assist by A. Drummond),,53,60
2,0:03.0,,Shooting foul by A. Drummond (drawn by A. Wiggins),53,60
2,0:03.0,,A. Wiggins makes free throw 1 of 2,53,61
2,0:03.0,,G. Dieng enters the game for K. Towns,53,61
2,0:03.0,,A. Wiggins makes free throw 2 of 2,53,62
2,0:00.0,Offensive foul by A. Drummond (drawn by A. Wiggins),,53,62
2,0:00.0,Turnover by A. Drummond (offensive foul),,53,62
2,0:00.0,,K. Towns enters the game for G. Dieng,53,62
2,0:00.0,,A. Wiggins misses 3-pt jump shot from 37 ft,53,62
2,0:00.0,,Offensive rebound by Team,53,62
3,11:49.0,,D. Rose misses 2-pt jump shot from 17 ft,53,62
3,11:48.0,Defensive rebound by Team,,53,62
3,11:48.0,,Loose ball foul by K. Towns (drawn by B. Griffin),53,62
3,11:28.0,R. Bullock makes 3-pt jump shot from 24 ft (assist by L. Kennard),,56,62
3,11:07.0,,D. Rose makes 2-pt jump shot from 14 ft,56,64
3,10:46.0,B. Griffin misses 2-pt jump shot from 10 ft,,56,64
3,10:44.0,,Defensive rebound by K. Towns,56,64
3,10:36.0,,K. Towns misses 3-pt jump shot from 26 ft,56,64
3,10:34.0,Defensive rebound by A. Drummond,,56,64
3,10:22.0,B. Griffin makes 2-pt layup from 5 ft,,58,64
3,10:12.0,,D. Rose makes 2-pt jump shot from 17 ft,58,66
3,9:52.0,R. Bullock makes 2-pt jump shot from 19 ft,,60,66
3,9:38.0,,A. Wiggins misses 2-pt jump shot from 8 ft,60,66
3,9:33.0,,Offensive rebound by A. Wiggins,60,66
3,9:25.0,,D. Rose makes 2-pt jump shot from 9 ft,60,68
3,9:07.0,B. Griffin makes 2-pt layup from 2 ft,,62,68
3,8:59.0,,Personal foul by R. Jackson (drawn by K. Towns),62,68
3,8:52.0,,D. Rose misses 2-pt jump shot from 17 ft,62,68
3,8:50.0,Defensive rebound by Team,,62,68
3,8:39.0,L. Kennard misses 3-pt jump shot from 25 ft (block by R. Covington),,62,68
3,8:35.0,Offensive rebound by A. Drummond,,62,68
3,8:31.0,Turnover by L. Kennard (bad pass; steal by R. Covington),,62,68
3,8:27.0,,R. Covington misses 3-pt jump shot from 26 ft,62,68
3,8:24.0,,Offensive rebound by T. Gibson,62,68
3,8:23.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by T. Gibson),62,71
3,8:08.0,L. Kennard misses 2-pt jump shot from 18 ft,,62,71
3,8:05.0,,Defensive rebound by T. Gibson,62,71
3,7:55.0,,K. Towns misses 2-pt jump shot from 19 ft,62,71
3,7:52.0,Defensive rebound by A. Drummond,,62,71
3,7:45.0,R. Jackson makes 2-pt layup from 5 ft,,64,71
3,7:45.0,Shooting foul by D. Rose (drawn by R. Jackson),,64,71
3,7:45.0,R. Jackson makes free throw 1 of 1,,65,71
3,7:36.0,,D. Rose makes 2-pt layup from 1 ft,65,73
3,7:29.0,,Technical foul by T. Gibson,65,73
3,7:29.0,R. Jackson makes technical free throw,,66,73
3,7:22.0,Personal foul by R. Covington (drawn by R. Bullock),,66,73
3,7:09.0,R. Jackson misses 3-pt jump shot from 24 ft,,66,73
3,7:03.0,,Defensive rebound by R. Covington,66,73
3,7:00.0,,Shooting foul by R. Bullock (drawn by R. Covington),66,73
3,7:00.0,,R. Covington misses free throw 1 of 2,66,73
3,7:00.0,,Offensive rebound by Team,66,73
3,7:00.0,,R. Covington makes free throw 2 of 2,66,74
3,6:48.0,B. Griffin makes 3-pt jump shot from 24 ft (assist by R. Bullock),,69,74
3,6:34.0,,A. Wiggins misses 2-pt jump shot from 2 ft (block by A. Drummond),69,74
3,6:32.0,Defensive rebound by L. Kennard,,69,74
3,6:22.0,Turnover by A. Drummond (bad pass; steal by A. Wiggins),,69,74
3,6:19.0,,A. Wiggins makes 2-pt layup from 3 ft,69,76
3,6:19.0,,Shooting foul by B. Griffin (drawn by A. Wiggins),69,76
3,6:19.0,,Minnesota full timeout,69,76
3,6:19.0,,A. Wiggins makes free throw 1 of 1,69,77
3,6:01.0,L. Kennard misses 2-pt jump shot from 19 ft,,69,77
3,5:58.0,Offensive rebound by A. Drummond,,69,77
3,5:56.0,R. Bullock makes 3-pt jump shot from 27 ft (assist by A. Drummond),,72,77
3,5:40.0,,Shooting foul by R. Jackson (drawn by D. Rose),72,77
3,5:40.0,,D. Rose makes free throw 1 of 2,72,78
3,5:40.0,B. Brown enters the game for R. Jackson,,72,78
3,5:40.0,J. Calderón enters the game for L. Kennard,,72,78
3,5:40.0,,D. Rose makes free throw 2 of 2,72,79
3,5:28.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by B. Griffin),,75,79
3,5:19.0,,A. Wiggins misses 2-pt layup from 1 ft,75,79
3,5:15.0,Defensive rebound by B. Griffin,,75,79
3,5:12.0,Turnover by B. Griffin (bad pass; steal by A. Wiggins),,75,79
3,5:10.0,,Offensive foul by R. Covington (drawn by B. Griffin),75,79
3,5:10.0,,Turnover by R. Covington (offensive foul),75,79
3,5:10.0,,J. Okogie enters the game for R. Covington,75,79
3,5:00.0,,Violation by Team (kicked ball),75,79
3,4:54.0,R. Bullock misses 3-pt jump shot from 26 ft,,75,79
3,4:53.0,Offensive rebound by Team,,75,79
3,4:53.0,,Loose ball foul by T. Gibson (drawn by A. Drummond),75,79
3,4:53.0,,D. Šarić enters the game for T. Gibson,75,79
3,4:50.0,Personal foul by D. Šarić (drawn by B. Griffin),,75,79
3,4:50.0,B. Griffin misses free throw 1 of 2,,75,79
3,4:50.0,Offensive rebound by Team,,75,79
3,4:50.0,B. Griffin misses free throw 2 of 2,,75,79
3,4:47.0,,Defensive rebound by A. Wiggins,75,79
3,4:37.0,,D. Rose misses 2-pt jump shot from 15 ft,75,79
3,4:32.0,,Offensive rebound by K. Towns,75,79
3,4:31.0,,K. Towns makes 2-pt jump shot from 5 ft,75,81
3,4:15.0,B. Brown misses 3-pt jump shot from 26 ft,,75,81
3,4:14.0,,Defensive rebound by Team,75,81
3,4:00.0,,D. Šarić makes 2-pt dunk from 2 ft (assist by D. Rose),75,83
3,3:58.0,Detroit full timeout,,75,83
3,3:46.0,Shooting foul by K. Towns (drawn by A. Drummond),,75,83
3,3:46.0,A. Drummond makes free throw 1 of 2,,76,83
3,3:46.0,,G. Dieng enters the game for K. Towns,76,83
3,3:46.0,A. Drummond misses free throw 2 of 2,,76,83
3,3:44.0,,Defensive rebound by G. Dieng,76,83
3,3:27.0,,D. Šarić makes 3-pt jump shot from 23 ft (assist by G. Dieng),76,86
3,3:02.0,A. Drummond makes 2-pt layup from 2 ft (assist by B. Griffin),,78,86
3,2:50.0,,D. Rose misses 2-pt layup from 2 ft,78,86
3,2:49.0,,Offensive rebound by G. Dieng,78,86
3,2:46.0,,G. Dieng misses 2-pt layup from 2 ft,78,86
3,2:46.0,,Offensive rebound by G. Dieng,78,86
3,2:38.0,,G. Dieng misses 2-pt layup from 1 ft,78,86
3,2:37.0,Defensive rebound by R. Bullock,,78,86
3,2:34.0,B. Brown misses 2-pt layup from 5 ft,,78,86
3,2:33.0,,Defensive rebound by D. Šarić,78,86
3,2:33.0,L. Galloway enters the game for R. Bullock,,78,86
3,2:33.0,S. Johnson enters the game for B. Griffin,,78,86
3,2:33.0,,T. Jones enters the game for D. Rose,78,86
3,2:18.0,,A. Wiggins misses 2-pt jump shot from 16 ft,78,86
3,2:15.0,,Offensive rebound by G. Dieng,78,86
3,2:09.0,,G. Dieng makes 2-pt jump shot from 16 ft,78,88
3,1:42.0,Turnover by A. Drummond (bad pass; steal by A. Wiggins),,78,88
3,1:38.0,,D. Šarić makes 2-pt layup from 1 ft (assist by A. Wiggins),78,90
3,1:13.0,Turnover by B. Brown (lost ball; steal by T. Jones),,78,90
3,1:08.0,,A. Wiggins makes 2-pt layup at rim,78,92
3,1:04.0,Detroit full timeout,,78,92
3,1:04.0,Z. Pachulia enters the game for A. Drummond,,78,92
3,1:04.0,,Violation by Team (delay of game),78,92
3,0:48.0,Personal foul by G. Dieng (drawn by Z. Pachulia),,78,92
3,0:48.0,Z. Pachulia misses free throw 1 of 2,,78,92
3,0:48.0,Offensive rebound by Team,,78,92
3,0:48.0,Z. Pachulia misses free throw 2 of 2,,78,92
3,0:46.0,,Defensive rebound by D. Šarić,78,92
3,0:27.0,,A. Wiggins misses 2-pt jump shot from 16 ft,78,92
3,0:24.0,Defensive rebound by J. Calderón,,78,92
3,0:01.0,L. Galloway misses 3-pt jump shot from 25 ft,,78,92
3,0:00.0,,Defensive rebound by G. Dieng,78,92
4,11:46.0,Turnover by S. Johnson (bad pass; steal by D. Šarić),,78,92
4,11:37.0,,Turnover by G. Dieng (lost ball; steal by S. Johnson),78,92
4,11:20.0,L. Galloway makes 3-pt jump shot from 22 ft (assist by J. Calderón),,81,92
4,11:06.0,,Personal foul by B. Griffin (drawn by J. Okogie),81,92
4,10:58.0,,Personal foul by B. Griffin (drawn by J. Okogie),81,92
4,10:47.0,,R. Covington misses 2-pt jump shot from 9 ft,81,92
4,10:44.0,Defensive rebound by J. Calderón,,81,92
4,10:43.0,B. Griffin makes 2-pt layup from 1 ft (assist by J. Calderón),,83,92
4,10:43.0,,Violation by Team (def goaltending),83,92
4,10:43.0,Shooting foul by J. Okogie (drawn by B. Griffin),,83,92
4,10:43.0,,K. Towns enters the game for G. Dieng,83,92
4,10:43.0,B. Griffin makes free throw 1 of 1,,84,92
4,10:28.0,,K. Towns misses 3-pt jump shot from 26 ft,84,92
4,10:24.0,,Offensive rebound by J. Okogie,84,92
4,10:24.0,,J. Okogie misses 2-pt layup from 1 ft,84,92
4,10:21.0,Defensive rebound by B. Griffin,,84,92
4,10:16.0,S. Johnson misses 3-pt jump shot from 26 ft,,84,92
4,10:13.0,,Defensive rebound by K. Towns,84,92
4,10:05.0,,Shooting foul by J. Calderón (drawn by J. Okogie),84,92
4,10:05.0,,J. Okogie misses free throw 1 of 2,84,92
4,10:05.0,,Offensive rebound by Team,84,92
4,10:05.0,,J. Okogie makes free throw 2 of 2,84,93
4,9:58.0,B. Griffin makes 2-pt jump shot from 13 ft (assist by J. Calderón),,86,93
4,9:58.0,Shooting foul by D. Šarić (drawn by B. Griffin),,86,93
4,9:58.0,B. Griffin makes free throw 1 of 1,,87,93
4,9:44.0,,Personal foul by Z. Pachulia (drawn by K. Towns),87,93
4,9:35.0,,Personal foul by J. Calderón (drawn by J. Okogie),87,93
4,9:35.0,,J. Okogie makes free throw 1 of 2,87,94
4,9:35.0,,J. Okogie makes free throw 2 of 2,87,95
4,9:26.0,J. Calderón misses 3-pt jump shot from 26 ft,,87,95
4,9:24.0,,Defensive rebound by J. Okogie,87,95
4,9:07.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by T. Jones),87,98
4,8:47.0,L. Galloway misses 3-pt jump shot from 22 ft,,87,98
4,8:43.0,,Defensive rebound by K. Towns,87,98
4,8:35.0,,R. Covington misses 2-pt layup from 3 ft,87,98
4,8:33.0,Defensive rebound by Z. Pachulia,,87,98
4,8:13.0,B. Griffin makes 3-pt jump shot from 23 ft (assist by J. Calderón),,90,98
4,8:12.0,,Minnesota full timeout,90,98
4,8:12.0,R. Bullock enters the game for J. Calderón,,90,98
4,8:12.0,A. Drummond enters the game for S. Johnson,,90,98
4,8:12.0,R. Jackson enters the game for Z. Pachulia,,90,98
4,8:12.0,,D. Rose enters the game for T. Jones,90,98
4,7:56.0,,K. Towns misses 2-pt jump shot from 8 ft,90,98
4,7:54.0,Defensive rebound by A. Drummond,,90,98
4,7:37.0,R. Bullock makes 2-pt jump shot from 6 ft,,92,98
4,7:26.0,,D. Rose makes 2-pt jump shot from 6 ft,92,100
4,7:14.0,R. Bullock misses 2-pt jump shot from 9 ft (block by K. Towns),,92,100
4,7:11.0,Offensive rebound by L. Galloway,,92,100
4,7:09.0,B. Griffin makes 3-pt jump shot from 24 ft (assist by L. Galloway),,95,100
4,6:56.0,,D. Šarić misses 3-pt jump shot from 27 ft,95,100
4,6:54.0,Defensive rebound by L. Galloway,,95,100
4,6:44.0,B. Griffin misses 3-pt jump shot from 25 ft,,95,100
4,6:38.0,,Defensive rebound by R. Covington,95,100
4,6:24.0,,D. Rose misses 3-pt jump shot from 26 ft,95,100
4,6:21.0,Defensive rebound by Team,,95,100
4,6:08.0,Personal foul by R. Covington (drawn by A. Drummond),,95,100
4,6:02.0,R. Jackson makes 3-pt jump shot from 25 ft,,98,100
4,6:00.0,,Minnesota full timeout,98,100
